state,value
11111,1
11112,0.931
11113,0.505
11121,0.883
11122,0.831
11123,0.444
11131,0.431
11132,0.419
11133,0.281
11211,0.901
11212,0.85
11213,0.463
11221,0.802
11222,0.77
11223,0.48
11231,0.39
11232,0.455
11233,0.239
11311,0.573
11312,0.561
11313,0.422
11321,0.513
11322,0.579
11323,0.362
11331,0.349
11332,0.337
11333,0.188
12111,0.885
12112,0.833
12113,0.446
12121,0.785
12122,0.753
12123,0.463
12131,0.373
12132,0.438
12133,0.222
12211,0.803
12212,0.772
12213,0.482
12221,0.723
12222,0.711
12223,0.519
12231,0.409
12232,0.494
12233,0.258
12311,0.515
12312,0.58
12313,0.364
12321,0.532
12322,0.618
12323,0.381
12331,0.291
12332,0.356
12333,0.129
13111,0.431
13112,0.419
13113,0.28
13121,0.37
13122,0.436
13123,0.219
13131,0.207
13132,0.195
13133,0.045
13211,0.389
13212,0.455
13213,0.238
13221,0.406
13222,0.492
13223,0.255
13231,0.165
13232,0.231
13233,0.004
13311,0.349
13312,0.337
13313,0.187
13321,0.288
13322,0.354
13323,0.127
13331,0.114
13332,0.102
13333,-0.058
21111,0.824
21112,0.772
21113,0.385
21121,0.724
21122,0.692
21123,0.402
21131,0.312
21132,0.378
21133,0.161
21211,0.742
21212,0.711
21213,0.421
21221,0.662
21222,0.651
21223,0.458
21231,0.348
21232,0.433
21233,0.197
21311,0.454
21312,0.52
21313,0.303
21321,0.471
21322,0.557
21323,0.32
21331,0.23
21332,0.295
21333,0.068
22111,0.725
22112,0.694
22113,0.404
22121,0.645
22122,0.634
22123,0.442
22131,0.331
22132,0.417
22133,0.18
22211,0.664
22212,0.652
22213,0.46
22221,0.604
22222,0.612
22223,0.517
22231,0.387
22232,0.493
22233,0.236
22311,0.473
22312,0.559
22313,0.322
22321,0.51
22322,0.616
22323,0.359
22331,0.249
22332,0.334
22333,0.088
23111,0.311
23112,0.377
23113,0.16
23121,0.329
23122,0.414
23123,0.178
23131,0.087
23132,0.153
23133,-0.074
23211,0.347
23212,0.433
23213,0.196
23221,0.384
23222,0.49
23223,0.234
23231,0.123
23232,0.209
23233,-0.038
23311,0.229
23312,0.295
23313,0.068
23321,0.246
23322,0.332
23323,0.085
23331,-0.005
23332,0.06
23333,-0.177
31111,0.368
31112,0.356
31113,0.217
31121,0.308
31122,0.373
31123,0.157
31131,0.144
31132,0.132
31133,-0.017
31211,0.326
31212,0.392
31213,0.175
31221,0.344
31222,0.429
31223,0.193
31231,0.102
31232,0.168
31233,-0.059
31311,0.286
31312,0.274
31313,0.125
31321,0.226
31322,0.291
31323,0.064
31331,0.051
31332,0.039
31333,-0.12
32111,0.309
32112,0.375
32113,0.159
32121,0.327
32122,0.413
32123,0.176
32131,0.085
32132,0.151
32133,-0.076
32211,0.345
32212,0.431
32213,0.195
32221,0.383
32222,0.488
32223,0.232
32231,0.121
32232,0.207
32233,-0.04
32311,0.227
32312,0.293
32313,0.066
32321,0.245
32322,0.33
32323,0.083
32331,-0.007
32332,0.059
32333,-0.179
33111,0.143
33112,0.131
33113,-0.018
33121,0.083
33122,0.149
33123,-0.078
33131,-0.091
33132,-0.103
33133,-0.263
33211,0.102
33212,0.167
33213,-0.06
33221,0.119
33222,0.205
33223,-0.042
33231,-0.133
33232,-0.067
33233,-0.305
33311,0.051
33312,0.039
33313,-0.121
33321,-0.01
33322,0.056
33323,-0.181
33331,-0.194
33332,-0.206
33333,-0.376
