"state","value"
11111,1
11112,0.841
11113,0.504
11121,0.807
11122,0.716
11123,0.583
11131,0.463
11132,0.576
11133,0.372
11211,0.782
11212,0.691
11213,0.559
11221,0.658
11222,0.606
11223,0.519
11231,0.518
11232,0.512
11233,0.427
11311,0.471
11312,0.584
11313,0.38
11321,0.55
11322,0.544
11323,0.459
11331,0.339
11332,0.452
11333,0.266
12111,0.807
12112,0.716
12113,0.583
12121,0.682
12122,0.63
12123,0.544
12131,0.542
12132,0.537
12133,0.451
12211,0.658
12212,0.606
12213,0.52
12221,0.572
12222,0.561
12223,0.52
12231,0.478
12232,0.513
12233,0.388
12311,0.55
12312,0.544
12313,0.459
12321,0.511
12322,0.545
12323,0.42
12331,0.418
12332,0.413
12333,0.345
13111,0.442
13112,0.555
13113,0.351
13121,0.521
13122,0.515
13123,0.43
13131,0.31
13132,0.423
13133,0.237
13211,0.497
13212,0.491
13213,0.406
13221,0.457
13222,0.492
13223,0.367
13231,0.365
13232,0.359
13233,0.292
13311,0.318
13312,0.431
13313,0.245
13321,0.397
13322,0.392
13323,0.324
13331,0.204
13332,0.317
13333,0.148
21111,0.744
21112,0.652
21113,0.52
21121,0.619
21122,0.567
21123,0.481
21131,0.479
21132,0.473
21133,0.388
21211,0.594
21212,0.543
21213,0.456
21221,0.509
21222,0.498
21223,0.457
21231,0.415
21232,0.449
21233,0.325
21311,0.487
21312,0.481
21313,0.396
21321,0.447
21322,0.482
21323,0.357
21331,0.355
21332,0.35
21333,0.282
22111,0.619
22112,0.567
22113,0.481
22121,0.533
22122,0.522
22123,0.481
22131,0.44
22132,0.474
22133,0.349
22211,0.509
22212,0.498
22213,0.457
22221,0.464
22222,0.492
22223,0.497
22231,0.416
22232,0.49
22233,0.325
22311,0.447
22312,0.482
22313,0.357
22321,0.448
22322,0.522
22323,0.357
22331,0.316
22332,0.35
22333,0.243
23111,0.458
23112,0.452
23113,0.367
23121,0.418
23122,0.453
23123,0.328
23131,0.326
23132,0.32
23133,0.253
23211,0.394
23212,0.428
23213,0.303
23221,0.394
23222,0.469
23223,0.304
23231,0.262
23232,0.297
23233,0.189
23311,0.334
23312,0.328
23313,0.261
23321,0.295
23322,0.329
23323,0.221
23331,0.22
23332,0.214
23333,0.164
31111,0.373
31112,0.485
31113,0.282
31121,0.451
31122,0.446
31123,0.361
31131,0.241
31132,0.354
31133,0.168
31211,0.427
31212,0.422
31213,0.337
31221,0.388
31222,0.422
31223,0.297
31231,0.296
31232,0.29
31233,0.222
31311,0.249
31312,0.362
31313,0.176
31321,0.328
31322,0.322
31323,0.255
31331,0.135
31332,0.247
31333,0.079
32111,0.452
32112,0.446
32113,0.361
32121,0.412
32122,0.447
32123,0.322
32131,0.32
32132,0.314
32133,0.247
32211,0.388
32212,0.422
32213,0.297
32221,0.388
32222,0.462
32223,0.298
32231,0.256
32232,0.291
32233,0.183
32311,0.328
32312,0.322
32313,0.255
32321,0.288
32322,0.323
32323,0.215
32331,0.214
32332,0.208
32333,0.158
33111,0.22
33112,0.332
33113,0.146
33121,0.299
33122,0.293
33123,0.225
33131,0.105
33132,0.218
33133,0.05
33211,0.274
33212,0.269
33213,0.201
33221,0.235
33222,0.269
33223,0.162
33231,0.16
33232,0.155
33233,0.104
33311,0.113
33312,0.226
33313,0.057
33321,0.192
33322,0.187
33323,0.136
33331,0.016
33332,0.129
33333,-0.022
