"state","value"
11111,1
11112,0.745000005
11113,0.386000007
11121,0.763999999
11122,0.661000013
11123,0.302000016
11131,0.423999995
11132,0.32100001
11133,0.218000039
11211,0.816999972
11212,0.713999987
11213,0.354999989
11221,0.73299998
11222,0.629999995
11223,0.270999998
11231,0.392999977
11232,0.289999992
11233,0.187000021
11311,0.530000031
11312,0.427000016
11313,0.324000031
11321,0.44600001
11322,0.343000025
11323,0.240000054
11331,0.362000018
11332,0.259000033
11333,0.156000063
12111,0.764999986
12112,0.662
12113,0.303000003
12121,0.680999994
12122,0.578000009
12123,0.219000027
12131,0.340999991
12132,0.23800002
12133,0.135000035
12211,0.733999968
12212,0.630999982
12213,0.271999985
12221,0.649999976
12222,0.546999991
12223,0.188000008
12231,0.309999973
12232,0.207000002
12233,0.104000017
12311,0.446999997
12312,0.344000012
12313,0.241000041
12321,0.363000005
12322,0.26000002
12323,0.15700005
12331,0.279000014
12332,0.176000044
12333,0.073000029
13111,0.425999969
13112,0.322999984
13113,0.220000014
13121,0.341999978
13122,0.239000008
13123,0.136000022
13131,0.257999986
13132,0.155000016
13133,0.051999997
13211,0.394999951
13212,0.291999966
13213,0.188999996
13221,0.31099996
13222,0.207999989
13223,0.105000004
13231,0.226999983
13232,0.123999998
13233,0.020999981
13311,0.363999993
13312,0.261000007
13313,0.158000037
13321,0.280000001
13322,0.177000031
13323,0.074000016
13331,0.196000025
13332,0.093000039
13333,-0.009999963
21111,0.773999989
21112,0.671000004
21113,0.312000006
21121,0.689999998
21122,0.587000012
21123,0.22800003
21131,0.349999994
21132,0.247000024
21133,0.144000039
21211,0.742999971
21212,0.639999986
21213,0.280999988
21221,0.658999979
21222,0.555999994
21223,0.197000012
21231,0.318999976
21232,0.216000006
21233,0.11300002
21311,0.456
21312,0.353000015
21313,0.25000003
21321,0.372000009
21322,0.269000024
21323,0.166000053
21331,0.288000017
21332,0.185000047
21333,0.082000032
22111,0.690999985
22112,0.588
22113,0.229000017
22121,0.606999993
22122,0.504000008
22123,0.145000026
22131,0.26699999
22132,0.164000019
22133,0.061000001
22211,0.659999967
22212,0.556999981
22213,0.197999999
22221,0.575999975
22222,0.47299999
22223,0.114000008
22231,0.235999987
22232,0.133000001
22233,0.029999984
22311,0.372999996
22312,0.270000011
22313,0.16700004
22321,0.289000005
22322,0.186000034
22323,0.083000019
22331,0.205000028
22332,0.102000043
22333,-0.000999975
23111,0.351999968
23112,0.248999998
23113,0.146000013
23121,0.267999977
23122,0.165000007
23123,0.061999988
23131,0.184
23132,0.081000015
23133,-0.021999987
23211,0.32099995
23212,0.21799998
23213,0.114999995
23221,0.236999974
23222,0.133999988
23223,0.030999972
23231,0.152999982
23232,0.049999993
23233,-0.053000007
23311,0.289999992
23312,0.187000021
23313,0.084000006
23321,0.206000015
23322,0.10300003
23323,1.22e-08
23331,0.122000024
23332,0.019000037
23333,-0.083999962
31111,0.443999976
31112,0.340999991
31113,0.23800002
31121,0.359999985
31122,0.256999999
31123,0.154000029
31131,0.275999993
31132,0.173000023
31133,0.070000008
31211,0.412999958
31212,0.309999973
31213,0.207000002
31221,0.328999966
31222,0.225999996
31223,0.123000011
31231,0.24499999
31232,0.142000005
31233,0.038999986
31311,0.381999999
31312,0.279000014
31313,0.176000044
31321,0.298000008
31322,0.195000038
31323,0.092000052
31331,0.214000031
31332,0.111000046
31333,0.008000028
32111,0.360999972
32112,0.257999986
32113,0.155000016
32121,0.27699998
32122,0.17400001
32123,0.070999995
32131,0.193000004
32132,0.090000018
32133,-0.012999984
32211,0.329999954
32212,0.226999983
32213,0.123999998
32221,0.245999977
32222,0.142999992
32223,0.039999973
32231,0.161999986
32232,0.058999997
32233,-0.044000003
32311,0.298999995
32312,0.196000025
32313,0.093000039
32321,0.215000018
32322,0.112000033
32323,0.009000015
32331,0.131000027
32332,0.02800004
32333,-0.074999958
33111,0.277999967
33112,0.174999997
33113,0.071999982
33121,0.193999991
33122,0.091000006
33123,-0.011999997
33131,0.109999999
33132,0.007000011
33133,-0.095999986
33211,0.246999964
33212,0.143999979
33213,0.04099996
33221,0.162999973
33222,0.059999984
33223,-0.043000016
33231,0.078999951
33232,-0.024000021
33233,-0.127000034
33311,0.216000006
33312,0.11300002
33313,0.010000003
33321,0.132000014
33322,0.029000027
33323,-0.073999971
33331,0.047999989
33332,-0.054999981
33333,-0.158000007
