"state","value"
11111,1
11112,0.89
11113,0.712
11121,0.874
11122,0.764
11123,0.586
11131,0.579
11132,0.469
11133,0.291
11211,0.935
11212,0.825
11213,0.647
11221,0.809
11222,0.699
11223,0.521
11231,0.514
11232,0.404
11233,0.226
11311,0.814
11312,0.704
11313,0.526
11321,0.688
11322,0.578
11323,0.4
11331,0.393
11332,0.283
11333,0.105
12111,0.903
12112,0.793
12113,0.615
12121,0.777
12122,0.667
12123,0.489
12131,0.482
12132,0.372
12133,0.194
12211,0.838
12212,0.728
12213,0.55
12221,0.712
12222,0.602
12223,0.424
12231,0.417
12232,0.307
12233,0.129
12311,0.717
12312,0.607
12313,0.429
12321,0.591
12322,0.481
12323,0.303
12331,0.296
12332,0.186
12333,0.00800000000000001
13111,0.775
13112,0.665
13113,0.487
13121,0.649
13122,0.539
13123,0.361
13131,0.354
13132,0.244
13133,0.0660000000000001
13211,0.71
13212,0.6
13213,0.422
13221,0.584
13222,0.474
13223,0.296
13231,0.289
13232,0.179
13233,0.00099999999999989
13311,0.589
13312,0.479
13313,0.301
13321,0.463
13322,0.353
13323,0.175
13331,0.168
13332,0.0579999999999999
13333,-0.12
21111,0.939
21112,0.829
21113,0.651
21121,0.813
21122,0.703
21123,0.525
21131,0.518
21132,0.408
21133,0.23
21211,0.874
21212,0.764
21213,0.586
21221,0.748
21222,0.638
21223,0.46
21231,0.453
21232,0.343
21233,0.165
21311,0.753
21312,0.643
21313,0.465
21321,0.627
21322,0.517
21323,0.339
21331,0.332
21332,0.222
21333,0.044
22111,0.842
22112,0.732
22113,0.554
22121,0.716
22122,0.606
22123,0.428
22131,0.421
22132,0.311
22133,0.133
22211,0.777
22212,0.667
22213,0.489
22221,0.651
22222,0.541
22223,0.363
22231,0.356
22232,0.246
22233,0.0680000000000001
22311,0.656
22312,0.546
22313,0.368
22321,0.53
22322,0.42
22323,0.242
22331,0.235
22332,0.125
22333,-0.0529999999999999
23111,0.714
23112,0.604
23113,0.426
23121,0.588
23122,0.478
23123,0.3
23131,0.293
23132,0.183
23133,0.00499999999999989
23211,0.649
23212,0.539
23213,0.361
23221,0.523
23222,0.413
23223,0.235
23231,0.228
23232,0.118
23233,-0.0600000000000001
23311,0.528
23312,0.418
23313,0.24
23321,0.402
23322,0.292
23323,0.114
23331,0.107
23332,-0.00300000000000011
23333,-0.181
31111,0.573
31112,0.463
31113,0.285
31121,0.447
31122,0.337
31123,0.159
31131,0.152
31132,0.042
31133,-0.136
31211,0.508
31212,0.398
31213,0.22
31221,0.382
31222,0.272
31223,0.0940000000000001
31231,0.087
31232,-0.0230000000000001
31233,-0.201
31311,0.387
31312,0.277
31313,0.099
31321,0.261
31322,0.151
31323,-0.0269999999999999
31331,-0.034
31332,-0.144
31333,-0.322
32111,0.476
32112,0.366
32113,0.188
32121,0.35
32122,0.24
32123,0.0620000000000001
32131,0.0549999999999999
32132,-0.0550000000000002
32133,-0.233
32211,0.411
32212,0.301
32213,0.123
32221,0.285
32222,0.175
32223,-0.00299999999999989
32231,-0.01
32232,-0.12
32233,-0.298
32311,0.29
32312,0.18
32313,0.002
32321,0.164
32322,0.054
32323,-0.124
32331,-0.131
32332,-0.241
32333,-0.419
33111,0.348
33112,0.238
33113,0.0600000000000001
33121,0.222
33122,0.112
33123,-0.0660000000000001
33131,-0.073
33132,-0.183
33133,-0.361
33211,0.283
33212,0.173
33213,-0.00500000000000012
33221,0.157
33222,0.0469999999999999
33223,-0.131
33231,-0.138
33232,-0.248
33233,-0.426
33311,0.162
33312,0.0519999999999999
33313,-0.126
33321,0.0359999999999999
33322,-0.0740000000000001
33323,-0.252
33331,-0.259
33332,-0.369
33333,-0.547
