"state","value"
11111,1
11112,0.801
11113,0.756
11121,0.787
11122,0.737
11123,0.692
11131,0.683
11132,0.633
11133,0.588
11211,0.754
11212,0.704
11213,0.659
11221,0.69
11222,0.64
11223,0.595
11231,0.586
11232,0.536
11233,0.491
11311,0.667
11312,0.617
11313,0.572
11321,0.603
11322,0.553
11323,0.508
11331,0.499
11332,0.449
11333,0.404
12111,0.739
12112,0.689
12113,0.644
12121,0.675
12122,0.625
12123,0.58
12131,0.571
12132,0.521
12133,0.476
12211,0.642
12212,0.592
12213,0.547
12221,0.578
12222,0.528
12223,0.483
12231,0.474
12232,0.424
12233,0.379
12311,0.555
12312,0.505
12313,0.46
12321,0.491
12322,0.441
12323,0.396
12331,0.387
12332,0.337
12333,0.292
13111,0.633
13112,0.583
13113,0.538
13121,0.569
13122,0.519
13123,0.474
13131,0.465
13132,0.415
13133,0.37
13211,0.536
13212,0.486
13213,0.441
13221,0.472
13222,0.422
13223,0.377
13231,0.368
13232,0.318
13233,0.273
13311,0.449
13312,0.399
13313,0.354
13321,0.385
13322,0.335
13323,0.29
13331,0.281
13332,0.231
13333,0.186
21111,0.731
21112,0.681
21113,0.636
21121,0.667
21122,0.617
21123,0.572
21131,0.563
21132,0.513
21133,0.468
21211,0.634
21212,0.584
21213,0.539
21221,0.57
21222,0.52
21223,0.475
21231,0.466
21232,0.416
21233,0.371
21311,0.547
21312,0.497
21313,0.452
21321,0.483
21322,0.433
21323,0.388
21331,0.379
21332,0.329
21333,0.284
22111,0.619
22112,0.569
22113,0.524
22121,0.555
22122,0.505
22123,0.46
22131,0.451
22132,0.401
22133,0.356
22211,0.522
22212,0.472
22213,0.427
22221,0.458
22222,0.408
22223,0.363
22231,0.354
22232,0.304
22233,0.259
22311,0.435
22312,0.385
22313,0.34
22321,0.371
22322,0.321
22323,0.276
22331,0.267
22332,0.217
22333,0.172
23111,0.513
23112,0.463
23113,0.418
23121,0.449
23122,0.399
23123,0.354
23131,0.345
23132,0.295
23133,0.25
23211,0.416
23212,0.366
23213,0.321
23221,0.352
23222,0.302
23223,0.257
23231,0.248
23232,0.198
23233,0.153
23311,0.329
23312,0.279
23313,0.234
23321,0.265
23322,0.215
23323,0.17
23331,0.161
23332,0.111
23333,0.066
31111,0.488
31112,0.438
31113,0.393
31121,0.424
31122,0.374
31123,0.329
31131,0.32
31132,0.27
31133,0.225
31211,0.391
31212,0.341
31213,0.296
31221,0.327
31222,0.277
31223,0.232
31231,0.223
31232,0.173
31233,0.128
31311,0.304
31312,0.254
31313,0.209
31321,0.24
31322,0.19
31323,0.145
31331,0.136
31332,0.086
31333,0.041
32111,0.376
32112,0.326
32113,0.281
32121,0.312
32122,0.262
32123,0.217
32131,0.208
32132,0.158
32133,0.113
32211,0.279
32212,0.229
32213,0.184
32221,0.215
32222,0.165
32223,0.12
32231,0.111
32232,0.061
32233,0.016
32311,0.192
32312,0.142
32313,0.097
32321,0.128
32322,0.078
32323,0.033
32331,0.024
32332,-0.026
32333,-0.071
33111,0.27
33112,0.22
33113,0.175
33121,0.206
33122,0.156
33123,0.111
33131,0.102
33132,0.052
33133,0.007
33211,0.173
33212,0.123
33213,0.078
33221,0.109
33222,0.059
33223,0.014
33231,0.005
33232,-0.045
33233,-0.09
33311,0.086
33312,0.036
33313,-0.009
33321,0.022
33322,-0.028
33323,-0.073
33331,-0.082
33332,-0.132
33333,-0.177
