"state","value"
11111,1
11112,0.825999975
11113,0.609000027
11121,0.843999982
11122,0.780999959
11123,0.56400001
11131,0.591000021
11132,0.527999997
11133,0.311000019
11211,0.816999972
11212,0.753999949
11213,0.537
11221,0.771999955
11222,0.708999932
11223,0.491999984
11231,0.518999994
11232,0.45599997
11233,0.238999993
11311,0.783999979
11312,0.720999956
11313,0.504000008
11321,0.738999963
11322,0.675999939
11323,0.458999991
11331,0.486000001
11332,0.422999978
11333,0.206
12111,0.818000019
12112,0.754999995
12113,0.538000047
12121,0.773000002
12122,0.709999979
12123,0.493000031
12131,0.520000041
12132,0.457000017
12133,0.240000039
12211,0.745999992
12212,0.682999969
12213,0.466000021
12221,0.700999975
12222,0.637999952
12223,0.421000004
12231,0.448000014
12232,0.38500002
12233,0.168000013
12311,0.713
12312,0.649999976
12313,0.433000028
12321,0.667999983
12322,0.604999959
12323,0.387999982
12331,0.415000021
12332,0.352000028
12333,0.13500002
13111,0.665000021
13112,0.601999998
13113,0.38500002
13121,0.620000005
13122,0.556999981
13123,0.340000004
13131,0.367000014
13132,0.30400002
13133,0.087000012
13211,0.592999995
13212,0.529999971
13213,0.312999994
13221,0.547999978
13222,0.484999955
13223,0.267999977
13231,0.294999987
13232,0.231999993
13233,0.014999988
13311,0.560000002
13312,0.496999979
13313,0.280000001
13321,0.514999986
13322,0.451999962
13323,0.234999985
13331,0.261999995
13332,0.199000001
13333,-0.018000005
21111,0.842999995
21112,0.779999971
21113,0.563000023
21121,0.797999978
21122,0.734999955
21123,0.518000007
21131,0.545000017
21132,0.481999993
21133,0.265000015
21211,0.770999968
21212,0.707999945
21213,0.490999997
21221,0.725999951
21222,0.662999928
21223,0.44599998
21231,0.47299999
21232,0.409999967
21233,0.192999989
21311,0.737999976
21312,0.674999952
21313,0.458000004
21321,0.692999959
21322,0.629999936
21323,0.412999988
21331,0.439999998
21332,0.377000004
21333,0.159999996
22111,0.772000015
22112,0.708999991
22113,0.492000043
22121,0.726999998
22122,0.663999975
22123,0.447000027
22131,0.474000037
22132,0.411000013
22133,0.194000036
22211,0.699999988
22212,0.636999965
22213,0.420000017
22221,0.654999971
22222,0.591999948
22223,0.37499997
22231,0.40200001
22232,0.339000016
22233,0.122000009
22311,0.666999996
22312,0.603999972
22313,0.386999995
22321,0.621999979
22322,0.558999956
22323,0.341999978
22331,0.368999988
22332,0.305999994
22333,0.088999987
23111,0.619000018
23112,0.555999994
23113,0.339000016
23121,0.574000001
23122,0.510999978
23123,0.294
23131,0.32100001
23132,0.258000016
23133,0.041000009
23211,0.546999991
23212,0.483999968
23213,0.26699999
23221,0.501999974
23222,0.438999951
23223,0.221999973
23231,0.248999983
23232,0.18599999
23233,-0.031000016
23311,0.513999999
23312,0.450999975
23313,0.233999997
23321,0.468999982
23322,0.405999959
23323,0.188999981
23331,0.215999991
23332,0.152999997
23333,-0.06400001
31111,0.566999972
31112,0.503999949
31113,0.286999971
31121,0.521999955
31122,0.458999932
31123,0.241999954
31131,0.268999964
31132,0.20599997
31133,-0.011000035
31211,0.494999945
31212,0.431999922
31213,0.214999944
31221,0.449999928
31222,0.386999935
31223,0.169999927
31231,0.196999937
31232,0.133999944
31233,-0.083000064
31311,0.461999953
31312,0.398999929
31313,0.181999952
31321,0.416999936
31322,0.353999943
31323,0.136999935
31331,0.163999945
31332,0.100999951
31333,-0.116000056
32111,0.495999992
32112,0.432999969
32113,0.215999991
32121,0.450999975
32122,0.387999982
32123,0.170999974
32131,0.197999984
32132,0.13499999
32133,-0.082000017
32211,0.423999965
32212,0.360999972
32213,0.143999964
32221,0.378999978
32222,0.315999985
32223,0.098999977
32231,0.125999972
32232,0.062999979
32233,-0.154000029
32311,0.390999973
32312,0.327999979
32313,0.110999972
32321,0.345999986
32322,0.282999992
32323,0.065999985
32331,0.09299998
32332,0.029999988
32333,-0.187000021
33111,0.342999965
33112,0.279999971
33113,0.062999964
33121,0.297999978
33122,0.234999985
33123,0.017999979
33131,0.044999972
33132,-0.018000027
33133,-0.235000029
33211,0.270999968
33212,0.207999974
33213,-0.009000031
33221,0.225999981
33222,0.162999988
33223,-0.05400002
33231,-0.027000031
33232,-0.090000033
33233,-0.307000011
33311,0.237999976
33312,0.174999982
33313,-0.042000026
33321,0.192999989
33322,0.129999995
33323,-0.087000012
33331,-0.060000025
33332,-0.123000026
33333,-0.340000004
