"state","value"
11111,1
11112,0.808
11113,0.582
11121,0.798
11122,0.698
11123,0.472
11131,0.537
11132,0.437
11133,0.265
11211,0.782
11212,0.682
11213,0.456
11221,0.672
11222,0.572
11223,0.346
11231,0.411
11232,0.311
11233,0.139
11311,0.524
11312,0.424
11313,0.252
11321,0.414
11322,0.314
11323,0.142
11331,0.207
11332,0.107
11333,-0.011
12111,0.79
12112,0.69
12113,0.464
12121,0.68
12122,0.58
12123,0.354
12131,0.419
12132,0.319
12133,0.147
12211,0.664
12212,0.564
12213,0.338
12221,0.554
12222,0.454
12223,0.228
12231,0.293
12232,0.193
12233,0.021
12311,0.406
12312,0.306
12313,0.134
12321,0.296
12322,0.196
12323,0.024
12331,0.089
12332,-0.011
12333,-0.129
13111,0.514
13112,0.414
13113,0.242
13121,0.404
13122,0.304
13123,0.132
13131,0.197
13132,0.097
13133,-0.021
13211,0.388
13212,0.288
13213,0.116
13221,0.278
13222,0.178
13223,0.006
13231,0.071
13232,-0.029
13233,-0.147
13311,0.184
13312,0.084
13313,-0.034
13321,0.074
13322,-0.026
13323,-0.144
13331,-0.079
13332,-0.179
13333,-0.243
21111,0.8
21112,0.7
21113,0.474
21121,0.69
21122,0.59
21123,0.364
21131,0.429
21132,0.329
21133,0.157
21211,0.674
21212,0.574
21213,0.348
21221,0.564
21222,0.464
21223,0.238
21231,0.303
21232,0.203
21233,0.031
21311,0.416
21312,0.316
21313,0.144
21321,0.306
21322,0.206
21323,0.034
21331,0.099
21332,-0.001
21333,-0.119
22111,0.682
22112,0.582
22113,0.356
22121,0.572
22122,0.472
22123,0.246
22131,0.311
22132,0.211
22133,0.039
22211,0.556
22212,0.456
22213,0.23
22221,0.446
22222,0.297
22223,0.071
22231,0.185
22232,0.036
22233,-0.136
22311,0.298
22312,0.198
22313,0.026
22321,0.188
22322,0.039
22323,-0.133
22331,-0.019
22332,-0.168
22333,-0.286
23111,0.406
23112,0.306
23113,0.134
23121,0.296
23122,0.196
23123,0.024
23131,0.089
23132,-0.011
23133,-0.129
23211,0.28
23212,0.18
23213,0.008
23221,0.17
23222,0.021
23223,-0.151
23231,-0.037
23232,-0.186
23233,-0.304
23311,0.076
23312,-0.024
23313,-0.142
23321,-0.034
23322,-0.183
23323,-0.301
23331,-0.187
23332,-0.336
23333,-0.4
31111,0.487
31112,0.387
31113,0.215
31121,0.377
31122,0.277
31123,0.105
31131,0.17
31132,0.07
31133,-0.048
31211,0.361
31212,0.261
31213,0.089
31221,0.251
31222,0.151
31223,-0.021
31231,0.044
31232,-0.056
31233,-0.174
31311,0.157
31312,0.057
31313,-0.061
31321,0.047
31322,-0.053
31323,-0.171
31331,-0.106
31332,-0.206
31333,-0.27
32111,0.369
32112,0.269
32113,0.097
32121,0.259
32122,0.159
32123,-0.013
32131,0.052
32132,-0.048
32133,-0.166
32211,0.243
32212,0.143
32213,-0.029
32221,0.133
32222,-0.016
32223,-0.188
32231,-0.074
32232,-0.223
32233,-0.341
32311,0.039
32312,-0.061
32313,-0.179
32321,-0.071
32322,-0.22
32323,-0.338
32331,-0.224
32332,-0.373
32333,-0.437
33111,0.147
33112,0.047
33113,-0.071
33121,0.037
33122,-0.063
33123,-0.181
33131,-0.116
33132,-0.216
33133,-0.28
33211,0.021
33212,-0.079
33213,-0.197
33221,-0.089
33222,-0.238
33223,-0.356
33231,-0.242
33232,-0.391
33233,-0.455
33311,-0.129
33312,-0.229
33313,-0.293
33321,-0.239
33322,-0.388
33323,-0.452
33331,-0.338
33332,-0.487
33333,-0.497
