"state","value"
11111,1
11112,0.964100003
11113,0.822899997
11121,0.972599983
11122,0.936699986
11123,0.79549998
11131,0.959100008
11132,0.923200011
11133,0.782000005
11211,0.963
11212,0.927100003
11213,0.785899997
11221,0.935599983
11222,0.899699986
11223,0.75849998
11231,0.922100008
11232,0.886200011
11233,0.745000005
11311,0.946200013
11312,0.910300016
11313,0.76910001
11321,0.918799996
11322,0.8829
11323,0.741699994
11331,0.905300021
11332,0.869400024
11333,0.728200018
12111,0.955900013
12112,0.920000017
12113,0.778800011
12121,0.928499997
12122,0.8926
12123,0.751399994
12131,0.915000021
12132,0.879100025
12133,0.737900019
12211,0.918900013
12212,0.883000016
12213,0.74180001
12221,0.891499996
12222,0.855599999
12223,0.714399993
12231,0.878000021
12232,0.842100024
12233,0.700900018
12311,0.902100027
12312,0.86620003
12313,0.725000024
12321,0.87470001
12322,0.838800013
12323,0.697600007
12331,0.861200035
12332,0.825300038
12333,0.684100032
13111,0.708800018
13112,0.672900021
13113,0.531700015
13121,0.681400001
13122,0.645500004
13123,0.504299998
13131,0.667900026
13132,0.632000029
13133,0.490800023
13211,0.671800017
13212,0.635900021
13213,0.494700015
13221,0.644400001
13222,0.608500004
13223,0.467299998
13231,0.630900025
13232,0.595000029
13233,0.453800023
13311,0.655000031
13312,0.619100034
13313,0.477900028
13321,0.627600014
13322,0.591700017
13323,0.450500011
13331,0.614100039
13332,0.578200042
13333,0.437000036
21111,0.923399985
21112,0.887499988
21113,0.746299982
21121,0.895999968
21122,0.860099971
21123,0.718899965
21131,0.882499993
21132,0.846599996
21133,0.70539999
21211,0.886399984
21212,0.850499988
21213,0.709299982
21221,0.858999968
21222,0.823099971
21223,0.681899965
21231,0.845499992
21232,0.809599996
21233,0.66839999
21311,0.869599998
21312,0.833700001
21313,0.692499995
21321,0.842199981
21322,0.806299984
21323,0.665099978
21331,0.828700006
21332,0.792800009
21333,0.651600003
22111,0.879299998
22112,0.843400002
22113,0.702199996
22121,0.851899981
22122,0.815999985
22123,0.674799979
22131,0.838400006
22132,0.80250001
22133,0.661300004
22211,0.842299998
22212,0.806400001
22213,0.665199995
22221,0.814899981
22222,0.778999984
22223,0.637799978
22231,0.801400006
22232,0.765500009
22233,0.624300003
22311,0.825500011
22312,0.789600015
22313,0.648400009
22321,0.798099995
22322,0.762199998
22323,0.620999992
22331,0.784600019
22332,0.748700023
22333,0.607500017
23111,0.632200003
23112,0.596300006
23113,0.4551
23121,0.604799986
23122,0.568899989
23123,0.427699983
23131,0.591300011
23132,0.555400014
23133,0.414200008
23211,0.595200002
23212,0.559300005
23213,0.418099999
23221,0.567799985
23222,0.531899989
23223,0.390699983
23231,0.55430001
23232,0.518400013
23233,0.377200007
23311,0.578400016
23312,0.542500019
23313,0.401300013
23321,0.550999999
23322,0.515100002
23323,0.373899996
23331,0.537500024
23332,0.501600027
23333,0.360400021
31111,0.733200014
31112,0.697300017
31113,0.556100011
31121,0.705799997
31122,0.6699
31123,0.528699994
31131,0.692300022
31132,0.656400025
31133,0.515200019
31211,0.696200013
31212,0.660300016
31213,0.51910001
31221,0.668799996
31222,0.6329
31223,0.491699994
31231,0.655300021
31232,0.619400024
31233,0.478200018
31311,0.679400027
31312,0.64350003
31313,0.502300024
31321,0.65200001
31322,0.616100013
31323,0.474900007
31331,0.638500035
31332,0.602600038
31333,0.461400032
32111,0.689100027
32112,0.65320003
32113,0.512000024
32121,0.66170001
32122,0.625800014
32123,0.484600008
32131,0.648200035
32132,0.612300038
32133,0.471100032
32211,0.652100027
32212,0.61620003
32213,0.475000024
32221,0.62470001
32222,0.588800013
32223,0.447600007
32231,0.611200035
32232,0.575300038
32233,0.434100032
32311,0.63530004
32312,0.599400043
32313,0.458200037
32321,0.607900023
32322,0.572000027
32323,0.430800021
32331,0.594400048
32332,0.558500051
32333,0.417300045
33111,0.442000002
33112,0.406100005
33113,0.264899999
33121,0.414600015
33122,0.378700018
33123,0.237500012
33131,0.40110001
33132,0.365200013
33133,0.224000007
33211,0.405000001
33212,0.369100004
33213,0.227899998
33221,0.377600014
33222,0.341700017
33223,0.200500011
33231,0.364100009
33232,0.328200012
33233,0.187000006
33311,0.388200015
33312,0.352300018
33313,0.211100012
33321,0.360800028
33322,0.324900031
33323,0.183700025
33331,0.347300023
33332,0.311400026
33333,0.17020002
