state,value
11111,1
11112,0.999000013
11113,0.611000001
11121,0.887000024
11122,0.887000024
11123,0.499000013
11131,0.361000001
11132,0.361000001
11133,0.296000004
11211,0.999000013
11212,0.999000013
11213,0.611000001
11221,0.887000024
11222,0.887000024
11223,0.499000013
11231,0.361000001
11232,0.361000001
11233,0.296000004
11311,0.675999999
11312,0.675999999
11313,0.611000001
11321,0.56400001
11322,0.56400001
11323,0.499000013
11331,0.361000001
11332,0.361000001
11333,0.296000004
12111,0.912
12112,0.912
12113,0.523999989
12121,0.800000012
12122,0.800000012
12123,0.412
12131,0.273999989
12132,0.273999989
12133,0.209000006
12211,0.912
12212,0.912
12213,0.523999989
12221,0.800000012
12222,0.800000012
12223,0.412
12231,0.273999989
12232,0.273999989
12233,0.209000006
12311,0.588999987
12312,0.588999987
12313,0.523999989
12321,0.476999998
12322,0.476999998
12323,0.412
12331,0.273999989
12332,0.273999989
12333,0.209000006
13111,0.501999974
13112,0.501999974
13113,0.436999977
13121,0.389999986
13122,0.389999986
13123,0.324999988
13131,0.186999992
13132,0.186999992
13133,0.121999994
13211,0.501999974
13212,0.501999974
13213,0.436999977
13221,0.389999986
13222,0.389999986
13223,0.324999988
13231,0.186999992
13232,0.186999992
13233,0.121999994
13311,0.501999974
13312,0.501999974
13313,0.436999977
13321,0.389999986
13322,0.389999986
13323,0.324999988
13331,0.186999992
13332,0.186999992
13333,0.121999994
21111,0.900000036
21112,0.900000036
21113,0.512000024
21121,0.788000047
21122,0.788000047
21123,0.400000036
21131,0.262000024
21132,0.262000024
21133,0.197000042
21211,0.900000036
21212,0.900000036
21213,0.512000024
21221,0.788000047
21222,0.788000047
21223,0.400000036
21231,0.262000024
21232,0.262000024
21233,0.197000042
21311,0.577000022
21312,0.577000022
21313,0.512000024
21321,0.465000033
21322,0.465000033
21323,0.400000036
21331,0.262000024
21332,0.262000024
21333,0.197000042
22111,0.813000023
22112,0.813000023
22113,0.425000012
22121,0.701000035
22122,0.701000035
22123,0.313000023
22131,0.175000027
22132,0.175000027
22133,0.110000029
22211,0.813000023
22212,0.813000023
22213,0.425000012
22221,0.701000035
22222,0.701000035
22223,0.313000023
22231,0.175000027
22232,0.175000027
22233,0.110000029
22311,0.49000001
22312,0.49000001
22313,0.425000012
22321,0.378000021
22322,0.378000021
22323,0.313000023
22331,0.175000027
22332,0.175000027
22333,0.110000029
23111,0.402999997
23112,0.402999997
23113,0.338
23121,0.291000009
23122,0.291000009
23123,0.226000026
23131,0.088000014
23132,0.088000014
23133,0.023000015
23211,0.402999997
23212,0.402999997
23213,0.338
23221,0.291000009
23222,0.291000009
23223,0.226000026
23231,0.088000014
23232,0.088000014
23233,0.023000015
23311,0.402999997
23312,0.402999997
23313,0.338
23321,0.291000009
23322,0.291000009
23323,0.226000026
23331,0.088000014
23332,0.088000014
23333,0.023000015
31111,0.348999977
31112,0.348999977
31113,0.283999979
31121,0.237000003
31122,0.237000003
31123,0.172000006
31131,0.033999994
31132,0.033999994
31133,-0.031000005
31211,0.348999977
31212,0.348999977
31213,0.283999979
31221,0.237000003
31222,0.237000003
31223,0.172000006
31231,0.033999994
31232,0.033999994
31233,-0.031000005
31311,0.348999977
31312,0.348999977
31313,0.283999979
31321,0.237000003
31322,0.237000003
31323,0.172000006
31331,0.033999994
31332,0.033999994
31333,-0.031000005
32111,0.261999965
32112,0.261999965
32113,0.196999982
32121,0.149999991
32122,0.149999991
32123,0.084999993
32131,-0.053000018
32132,-0.053000018
32133,-0.118000031
32211,0.261999965
32212,0.261999965
32213,0.196999982
32221,0.149999991
32222,0.149999991
32223,0.084999993
32231,-0.053000018
32232,-0.053000018
32233,-0.118000031
32311,0.261999965
32312,0.261999965
32313,0.196999982
32321,0.149999991
32322,0.149999991
32323,0.084999993
32331,-0.053000018
32332,-0.053000018
32333,-0.118000031
33111,0.174999997
33112,0.174999997
33113,0.109999999
33121,0.063000008
33122,0.063000008
33123,-0.00199999
33131,-0.140000015
33132,-0.140000015
33133,-0.205000013
33211,0.174999997
33212,0.174999997
33213,0.109999999
33221,0.063000008
33222,0.063000008
33223,-0.00199999
33231,-0.140000015
33232,-0.140000015
33233,-0.205000013
33311,0.174999997
33312,0.174999997
33313,0.109999999
33321,0.063000008
33322,0.063000008
33323,-0.00199999
33331,-0.140000015
33332,-0.140000015
33333,-0.205000013
