"state","value"
11111,1
11112,0.75658544
11113,0.43336592
11121,0.9019972
11122,0.737292511
11123,0.422315089
11131,0.43234776
11132,0.353401059
11133,0.202425221
11211,0.81480568
11212,0.666022163
11213,0.381492019
11221,0.794028135
11222,0.649038598
11223,0.371763973
11231,0.380595733
11232,0.311098952
11233,0.178194922
11311,0.51259728
11312,0.418997017
11313,0.239998046
11321,0.499526049
11322,0.408312593
11323,0.233878096
11331,0.239434189
11332,0.195713506
11333,0.112103088
12111,0.7478848
12112,0.611321036
12113,0.350159663
12121,0.728813738
12122,0.595732349
12123,0.341230592
12131,0.34933699
12132,0.285548056
12133,0.163559579
12211,0.658362989
12212,0.538145908
12213,0.308245552
12221,0.641574733
12222,0.524423187
12223,0.30038529
12231,0.307521352
12232,0.251367953
12233,0.143981497
12311,0.414178602
12312,0.338549589
12313,0.193918422
12321,0.403617048
12322,0.329916575
12323,0.188973502
12331,0.193462825
12332,0.158136513
12333,0.090579295
13111,0.43521712
13112,0.355746474
13113,0.203768656
13121,0.424119083
13122,0.346674939
13123,0.198572555
13131,0.203289917
13132,0.166169178
13133,0.095180339
13211,0.383121631
13212,0.313163621
13213,0.179377548
13221,0.373352029
13222,0.305177949
13223,0.17480342
13231,0.178956114
13232,0.146278727
13233,0.083787252
13311,0.241023241
13312,0.197012397
13313,0.112847081
13321,0.234877148
13322,0.191988581
13323,0.109969481
13331,0.112581956
13332,0.092024491
13333,0.052710872
21111,0.87441432
21112,0.714746265
21113,0.409400785
21121,0.852116755
21122,0.696520235
21123,0.398961065
21131,0.408438929
21132,0.33385798
21133,0.191231106
21211,0.769746926
21212,0.629191137
21213,0.360395511
21221,0.750118379
21222,0.613146763
21223,0.351205425
21231,0.359548789
21232,0.29389518
21233,0.168340743
21311,0.48425065
21312,0.395826482
21313,0.226726155
21321,0.471902259
21322,0.385732906
21323,0.220944638
21331,0.226193479
21332,0.18489055
21333,0.105903787
22111,0.706526771
22112,0.577514982
22113,0.330795834
22121,0.688510338
22122,0.56278835
22123,0.32236054
22131,0.330018655
22132,0.269757248
22133,0.154514734
22211,0.621955516
22212,0.508386439
22213,0.291199573
22221,0.60609565
22222,0.495422585
22223,0.283773984
22231,0.290515422
22232,0.237467306
22233,0.13601932
22311,0.391274526
22312,0.319827797
22313,0.183194733
22321,0.381297025
22322,0.311672188
22323,0.178523267
22331,0.182764331
22332,0.149391564
22333,0.08557026
23111,0.411149613
23112,0.336073694
23113,0.192500249
23121,0.400665298
23122,0.327503815
23123,0.187591493
23131,0.192047984
23132,0.156980022
23133,0.089916866
23211,0.361935005
23212,0.295845673
23213,0.169457969
23221,0.352705662
23222,0.288301608
23223,0.165136791
23231,0.169059841
23232,0.138189514
23233,0.079153817
23311,0.227694656
23312,0.186117612
23313,0.106606638
23321,0.221888442
23322,0.181371613
23323,0.103888169
23331,0.106356174
23332,0.086935536
23333,0.049795961
31111,0.36348312
31112,0.297111102
31113,0.170182797
31121,0.3542143
31122,0.289534769
31123,0.165843135
31131,0.169782965
31132,0.138780596
31133,0.079492384
31211,0.319974191
31212,0.261546903
31213,0.149811916
31221,0.311814849
31222,0.254877457
31223,0.145991712
31231,0.149459944
31232,0.122168559
31233,0.069977146
31311,0.201296952
31312,0.164540128
31313,0.094247233
31321,0.19616388
31322,0.160344355
31323,0.091843928
31331,0.094025806
31332,0.076856694
31333,0.044022882
32111,0.293694361
32112,0.240065771
32113,0.1375077
32121,0.286205155
32122,0.233944093
32123,0.134001253
32131,0.137184636
32132,0.112134721
32133,0.064229847
32211,0.258539146
32212,0.211329898
32213,0.121048028
32221,0.251946398
32222,0.205940986
32223,0.117961303
32231,0.120763635
32232,0.098712195
32233,0.056541534
32311,0.162647937
32312,0.132948424
32313,0.076151764
32321,0.158500415
32322,0.129558239
32323,0.074209894
32331,0.075972851
32332,0.062100209
32333,0.035570489
33111,0.170909763
33112,0.13970164
33113,0.080019951
33121,0.166551564
33122,0.136139248
33123,0.077979442
33131,0.07983195
33132,0.065254636
33133,0.037377319
33211,0.150451864
33212,0.122979354
33213,0.070441563
33221,0.146615342
33222,0.11984338
33223,0.068645303
33231,0.070276066
33232,0.057443656
33233,0.032903254
33311,0.094649827
33312,0.077366768
33313,0.044315049
33321,0.092236256
33322,0.075393916
33323,0.043185015
33331,0.044210934
33332,0.036138018
33333,0.020699559
