"state","value"
11111,1
11112,0.914000034
11113,0.541000009
11121,0.887000024
11122,0.825000048
11123,0.452000022
11131,0.424000025
11132,0.362000048
11133,0.280000031
11211,0.905000031
11212,0.843000054
11213,0.470000029
11221,0.816000044
11222,0.754000068
11223,0.381000042
11231,0.353000045
11232,0.291000068
11233,0.209000066
11311,0.49000001
11312,0.428000033
11313,0.346000016
11321,0.401000023
11322,0.339000046
11323,0.257000029
11331,0.229000047
11332,0.16700004
11333,0.085000046
12111,0.842000008
12112,0.780000031
12113,0.407000005
12121,0.753000021
12122,0.691000044
12123,0.318000019
12131,0.290000021
12132,0.22800006
12133,0.146000043
12211,0.771000028
12212,0.709000051
12213,0.336000025
12221,0.682000041
12222,0.620000064
12223,0.247000054
12231,0.219000056
12232,0.15700005
12233,0.075000055
12311,0.356000006
12312,0.29400003
12313,0.212000027
12321,0.26700002
12322,0.205000058
12323,0.123000033
12331,0.095000006
12332,0.033
12333,-0.049000002
13111,0.375999987
13112,0.31400001
13113,0.232000008
13121,0.287
13122,0.225000039
13123,0.143000022
13131,0.114999987
13132,0.052999981
13133,-0.029000005
13211,0.305000007
13212,0.243000045
13213,0.161000028
13221,0.216000035
13222,0.154000029
13223,0.072000034
13231,0.044000007
13232,-0.017999997
13233,-0.100000001
13311,0.181000009
13312,0.118999995
13313,0.037000008
13321,0.092000015
13322,0.030000011
13323,-0.051999994
13331,-0.080000021
13332,-0.14200002
13333,-0.224000007
21111,0.870000005
21112,0.808000028
21113,0.435000002
21121,0.781000018
21122,0.719000041
21123,0.346000016
21131,0.318000019
21132,0.256000042
21133,0.17400004
21211,0.799000025
21212,0.737000048
21213,0.364000022
21221,0.710000038
21222,0.648000062
21223,0.275000036
21231,0.247000054
21232,0.185000077
21233,0.103000052
21311,0.384000003
21312,0.322000027
21313,0.240000024
21321,0.295000017
21322,0.233000055
21323,0.151000038
21331,0.123000003
21332,0.060999997
21333,-0.020999989
22111,0.736000001
22112,0.674000025
22113,0.300999999
22121,0.647000015
22122,0.585000038
22123,0.212000027
22131,0.184
22132,0.121999986
22133,0.039999999
22211,0.665000021
22212,0.603000045
22213,0.230000034
22221,0.576000035
22222,0.514000058
22223,0.141000047
22231,0.113000013
22232,0.051000006
22233,-0.030999979
22311,0.25
22312,0.188000038
22313,0.106000014
22321,0.161000028
22322,0.099000014
22323,0.017000029
22331,-0.010999999
22332,-0.073000021
22333,-0.155000001
23111,0.269999981
23112,0.208000019
23113,0.126000002
23121,0.181000009
23122,0.118999995
23123,0.037000008
23131,0.008999982
23132,-0.05300004
23133,-0.13500002
23211,0.199000016
23212,0.137000009
23213,0.055000015
23221,0.110000022
23222,0.048000015
23223,-0.033999972
23231,-0.062000014
23232,-0.12400002
23233,-0.206
23311,0.074999996
23312,0.01299999
23313,-0.069000013
23321,-0.01399999
23322,-0.076000012
23323,-0.157999992
23331,-0.186000019
23332,-0.248000026
23333,-0.330000013
31111,0.254999995
31112,0.193000033
31113,0.111000009
31121,0.166000023
31122,0.10400001
31123,0.022000024
31131,-0.006000004
31132,-0.068000026
31133,-0.150000006
31211,0.184
31212,0.121999986
31213,0.039999999
31221,0.095000006
31222,0.033
31223,-0.049000002
31231,-0.077000029
31232,-0.139000028
31233,-0.221000016
31311,0.06000001
31312,-0.001999995
31313,-0.083999999
31321,-0.028999975
31322,-0.090999998
31323,-0.172999978
31331,-0.20099999
31332,-0.263000011
31333,-0.344999999
32111,0.120999999
32112,0.058999993
32113,-0.022999993
32121,0.032000013
32122,-0.029999992
32123,-0.111999996
32131,-0.140000015
32132,-0.202000007
32133,-0.284000009
32211,0.04999999
32212,-0.012000016
32213,-0.094000019
32221,-0.038999997
32222,-0.101000018
32223,-0.182999998
32231,-0.21100001
32232,-0.273000032
32233,-0.355000019
32311,-0.074000008
32312,-0.136000007
32313,-0.217999995
32321,-0.163000003
32322,-0.224999994
32323,-0.307000011
32331,-0.335000008
32332,-0.396999985
32333,-0.479000002
33111,-0.053999998
33112,-0.116000004
33113,-0.197999984
33121,-0.142999992
33122,-0.204999983
33123,-0.287
33131,-0.314999998
33132,-0.376999974
33133,-0.458999991
33211,-0.124999993
33212,-0.186999992
33213,-0.268999994
33221,-0.213999987
33222,-0.275999993
33223,-0.35799998
33231,-0.385999978
33232,-0.447999984
33233,-0.529999971
33311,-0.248999998
33312,-0.31099999
33313,-0.392999977
33321,-0.338
33322,-0.399999976
33323,-0.481999993
33331,-0.50999999
33332,-0.571999967
33333,-0.653999984
