"state","value"
11111,1
11112,0.681999981
11113,0.646000028
11121,0.731000006
11122,0.57099998
11123,0.535000026
11131,0.68900001
11132,0.528999984
11133,0.493000031
11211,0.795000017
11212,0.63499999
11213,0.599000037
11221,0.684000015
11222,0.523999989
11223,0.488000035
11231,0.64200002
11232,0.481999993
11233,0.44600004
11311,0.711000025
11312,0.550999999
11313,0.515000045
11321,0.600000024
11322,0.439999998
11323,0.404000044
11331,0.558000028
11332,0.398000002
11333,0.362000048
12111,0.744000018
12112,0.583999991
12113,0.548000038
12121,0.633000016
12122,0.47299999
12123,0.437000036
12131,0.591000021
12132,0.430999994
12133,0.395000041
12211,0.697000027
12212,0.537
12213,0.501000047
12221,0.586000025
12222,0.425999999
12223,0.390000045
12231,0.54400003
12232,0.384000003
12233,0.34800005
12311,0.613000035
12312,0.453000009
12313,0.417000055
12321,0.502000034
12322,0.342000008
12323,0.306000024
12331,0.460000038
12332,0.300000042
12333,0.264000028
13111,0.699000001
13112,0.538999975
13113,0.503000021
13121,0.588
13122,0.427999973
13123,0.39200002
13131,0.546000004
13132,0.385999978
13133,0.350000024
13211,0.65200001
13212,0.491999984
13213,0.45600003
13221,0.541000009
13222,0.380999982
13223,0.345000029
13231,0.499000013
13232,0.339000016
13233,0.303000003
13311,0.568000019
13312,0.407999992
13313,0.372000039
13321,0.457000017
13322,0.297000021
13323,0.261000007
13331,0.415000021
13332,0.255000025
13333,0.218999997
21111,0.783999979
21112,0.623999953
21113,0.588
21121,0.672999978
21122,0.512999952
21123,0.476999998
21131,0.630999982
21132,0.470999956
21133,0.435000002
21211,0.736999989
21212,0.576999962
21213,0.541000009
21221,0.625999987
21222,0.465999961
21223,0.430000007
21231,0.583999991
21232,0.423999965
21233,0.388000011
21311,0.652999997
21312,0.492999971
21313,0.457000017
21321,0.541999996
21322,0.381999969
21323,0.346000016
21331,0.5
21332,0.340000004
21333,0.30399999
22111,0.68599999
22112,0.525999963
22113,0.49000001
22121,0.574999988
22122,0.414999962
22123,0.379000008
22131,0.532999992
22132,0.372999966
22133,0.336999983
22211,0.638999999
22212,0.478999972
22213,0.443000019
22221,0.527999997
22222,0.367999971
22223,0.331999987
22231,0.486000001
22232,0.326000005
22233,0.289999992
22311,0.555000007
22312,0.394999981
22313,0.359000027
22321,0.444000006
22322,0.284000009
22323,0.247999981
22331,0.40200001
22332,0.241999999
22333,0.205999985
23111,0.640999973
23112,0.480999947
23113,0.444999993
23121,0.529999971
23122,0.369999945
23123,0.333999962
23131,0.487999976
23132,0.327999979
23133,0.291999966
23211,0.593999982
23212,0.433999956
23213,0.398000002
23221,0.48299998
23222,0.322999984
23223,0.286999971
23231,0.440999985
23232,0.280999988
23233,0.24499996
23311,0.50999999
23312,0.349999964
23313,0.313999981
23321,0.398999989
23322,0.238999978
23323,0.202999964
23331,0.356999993
23332,0.196999982
23333,0.160999969
31111,0.611999989
31112,0.451999962
31113,0.416000009
31121,0.500999987
31122,0.340999991
31123,0.304999977
31131,0.458999991
31132,0.298999995
31133,0.262999982
31211,0.564999998
31212,0.404999971
31213,0.369000018
31221,0.453999996
31222,0.294
31223,0.257999986
31231,0.412
31232,0.252000004
31233,0.215999976
31311,0.481000006
31312,0.32100001
31313,0.284999996
31321,0.370000005
31322,0.209999993
31323,0.17399998
31331,0.328000009
31332,0.167999998
31333,0.131999984
32111,0.513999999
32112,0.353999972
32113,0.317999989
32121,0.402999997
32122,0.242999986
32123,0.206999972
32131,0.361000001
32132,0.20099999
32133,0.164999977
32211,0.467000008
32212,0.307000011
32213,0.270999998
32221,0.356000006
32222,0.195999995
32223,0.159999982
32231,0.31400001
32232,0.153999999
32233,0.117999993
32311,0.383000016
32312,0.223000005
32313,0.186999992
32321,0.272000015
32322,0.112000011
32323,0.076000012
32331,0.230000004
32332,0.070000015
32333,0.034000017
33111,0.468999982
33112,0.308999985
33113,0.272999972
33121,0.35799998
33122,0.197999969
33123,0.161999956
33131,0.315999985
33132,0.155999973
33133,0.119999968
33211,0.421999991
33212,0.261999995
33213,0.225999966
33221,0.31099999
33222,0.150999978
33223,0.114999972
33231,0.268999994
33232,0.10899999
33233,0.072999991
33311,0.33799997
33312,0.177999958
33313,0.141999945
33321,0.226999953
33322,0.066999964
33323,0.030999966
33331,0.184999958
33332,0.024999969
33333,-0.01100003
