"state","value"
11111,1
11112,0.910000026
11113,0.621999979
11121,0.888000011
11122,0.798000038
11123,0.50999999
11131,0.56099999
11132,0.471000046
11133,0.357000023
11211,0.843999982
11212,0.754000008
11213,0.465999991
11221,0.731999993
11222,0.64200002
11223,0.354000002
11231,0.405000001
11232,0.314999998
11233,0.201000005
11311,0.636999965
11312,0.546999991
11313,0.432999998
11321,0.524999976
11322,0.435000032
11323,0.32100001
11331,0.372000009
11332,0.282000005
11333,0.168000013
12111,0.787999988
12112,0.698000014
12113,0.409999996
12121,0.675999999
12122,0.586000025
12123,0.298000008
12131,0.349000007
12132,0.259000003
12133,0.145000011
12211,0.631999969
12212,0.541999996
12213,0.253999978
12221,0.519999981
12222,0.429999977
12223,0.14199999
12231,0.192999989
12232,0.102999978
12233,-0.011000012
12311,0.424999982
12312,0.335000008
12313,0.220999986
12321,0.312999994
12322,0.22299999
12323,0.10899999
12331,0.159999996
12332,0.069999985
12333,-0.044000003
13111,0.5
13112,0.410000056
13113,0.296000034
13121,0.388000041
13122,0.298000038
13123,0.184000045
13131,0.235000044
13132,0.145000041
13133,0.031000042
13211,0.344000012
13212,0.254000008
13213,0.140000015
13221,0.232000023
13222,0.14200002
13223,0.028000021
13231,0.079000019
13232,-0.010999982
13233,-0.124999978
13311,0.311000019
13312,0.221000016
13313,0.107000016
13321,0.199000031
13322,0.10900002
13323,-0.004999971
13331,0.046000015
13332,-0.043999989
13333,-0.157999992
21111,0.845000029
21112,0.755000055
21113,0.467000037
21121,0.73300004
21122,0.643000066
21123,0.355000049
21131,0.406000048
21132,0.316000044
21133,0.202000052
21211,0.68900001
21212,0.599000037
21213,0.311000019
21221,0.577000022
21222,0.487000018
21223,0.199000031
21231,0.25000003
21232,0.160000026
21233,0.04600003
21311,0.482000023
21312,0.392000049
21313,0.278000027
21321,0.370000035
21322,0.280000031
21323,0.166000038
21331,0.217000037
21332,0.127000034
21333,0.013000037
22111,0.633000016
22112,0.543000042
22113,0.255000025
22121,0.521000028
22122,0.431000024
22123,0.143000036
22131,0.194000036
22132,0.104000024
22133,-0.009999965
22211,0.477000028
22212,0.387000024
22213,0.099000029
22221,0.365000039
22222,0.275000036
22223,-0.012999956
22231,0.038000029
22232,-0.051999975
22233,-0.165999979
22311,0.270000011
22312,0.180000007
22313,0.066000007
22321,0.158000022
22322,0.068000011
22323,-0.045999978
22331,0.005000005
22332,-0.085000001
22333,-0.199000001
23111,0.345000058
23112,0.255000055
23113,0.141000062
23121,0.23300007
23122,0.143000066
23123,0.029000068
23131,0.080000065
23132,-0.009999936
23133,-0.123999931
23211,0.18900007
23212,0.099000059
23213,-0.014999931
23221,0.077000074
23222,-0.012999927
23223,-0.12699993
23231,-0.075999938
23232,-0.165999934
23233,-0.279999942
23311,0.156000048
23312,0.066000037
23313,-0.047999952
23321,0.044000041
23322,-0.045999963
23323,-0.159999967
23331,-0.10899996
23332,-0.198999956
23333,-0.312999964
31111,0.454000026
31112,0.364000052
31113,0.25000003
31121,0.342000037
31122,0.252000034
31123,0.138000041
31131,0.18900004
31132,0.099000029
31133,-0.014999961
31211,0.298000038
31212,0.208000034
31213,0.094000034
31221,0.186000049
31222,0.096000038
31223,-0.017999953
31231,0.033000033
31232,-0.05699997
31233,-0.170999974
31311,0.265000015
31312,0.175000012
31313,0.061000016
31321,0.153000027
31322,0.063000016
31323,-0.05099998
31331,9.89437e-09
31332,-0.089999996
31333,-0.203999996
32111,0.242000014
32112,0.15200001
32113,0.038000014
32121,0.130000025
32122,0.040000018
32123,-0.073999986
32131,-0.022999993
32132,-0.112999991
32133,-0.226999998
32211,0.086000018
32212,-0.003999983
32213,-0.117999978
32221,-0.025999984
32222,-0.115999982
32223,-0.229999989
32231,-0.178999975
32232,-0.268999964
32233,-0.382999986
32311,0.053000014
32312,-0.036999989
32313,-0.150999993
32321,-0.058999989
32322,-0.148999989
32323,-0.262999982
32331,-0.211999983
32332,-0.301999986
32333,-0.415999979
33111,0.128000021
33112,0.038000014
33113,-0.07599999
33121,0.016000012
33122,-0.073999994
33123,-0.187999994
33131,-0.13699998
33132,-0.226999983
33133,-0.340999991
33211,-0.027999988
33212,-0.117999986
33213,-0.231999993
33221,-0.139999986
33222,-0.229999989
33223,-0.343999982
33231,-0.292999983
33232,-0.382999986
33233,-0.496999979
33311,-0.060999986
33312,-0.150999993
33313,-0.264999986
33321,-0.172999993
33322,-0.262999982
33323,-0.377000004
33331,-0.325999975
33332,-0.415999979
33333,-0.529999971
