"state","value"
11111,1
11112,0.90200001
11113,0.722000003
11121,0.900000036
11122,0.822000027
11123,0.64200002
11131,0.64200002
11132,0.56400001
11133,0.384000003
11211,0.955000043
11212,0.877000034
11213,0.697000027
11221,0.87500006
11222,0.797000051
11223,0.617000043
11231,0.617000043
11232,0.539000034
11233,0.359000027
11311,0.734000027
11312,0.656000018
11313,0.476000011
11321,0.654000044
11322,0.576000035
11323,0.396000028
11331,0.395999998
11332,0.317999989
11333,0.138000011
12111,0.92900002
12112,0.851000011
12113,0.671000004
12121,0.849000037
12122,0.771000028
12123,0.591000021
12131,0.591000021
12132,0.513000011
12133,0.333000004
12211,0.904000044
12212,0.826000035
12213,0.646000028
12221,0.824000061
12222,0.746000051
12223,0.566000044
12231,0.566000044
12232,0.488000005
12233,0.308000028
12311,0.683000028
12312,0.605000019
12313,0.425000012
12321,0.603000045
12322,0.525000036
12323,0.345000029
12331,0.344999999
12332,0.26699999
12333,0.087000005
13111,0.625
13112,0.546999991
13113,0.366999984
13121,0.545000017
13122,0.466999978
13123,0.287
13131,0.286999971
13132,0.208999991
13133,0.028999981
13211,0.600000024
13212,0.522000015
13213,0.342000008
13221,0.520000041
13222,0.442000002
13223,0.262000024
13231,0.261999995
13232,0.184000015
13233,0.004000006
13311,0.378999978
13312,0.300999969
13313,0.120999984
13321,0.298999965
13322,0.220999986
13323,0.040999975
13331,0.04099999
13332,-0.037000012
13333,-0.217000008
21111,0.958000004
21112,0.879999995
21113,0.699999988
21121,0.878000021
21122,0.800000012
21123,0.620000005
21131,0.620000005
21132,0.541999996
21133,0.361999989
21211,0.933000028
21212,0.855000019
21213,0.675000012
21221,0.853000045
21222,0.775000036
21223,0.595000029
21231,0.595000029
21232,0.51700002
21233,0.337000012
21311,0.712000012
21312,0.634000003
21313,0.453999996
21321,0.632000029
21322,0.55400002
21323,0.374000013
21331,0.373999983
21332,0.295999974
21333,0.115999989
22111,0.907000005
22112,0.828999996
22113,0.648999989
22121,0.827000022
22122,0.749000013
22123,0.569000006
22131,0.569000006
22132,0.490999967
22133,0.31099999
22211,0.882000029
22212,0.80400002
22213,0.624000013
22221,0.802000046
22222,0.724000037
22223,0.54400003
22231,0.54400003
22232,0.465999991
22233,0.286000013
22311,0.661000013
22312,0.583000004
22313,0.402999997
22321,0.58100003
22322,0.503000021
22323,0.323000014
22331,0.322999984
22332,0.24499999
22333,0.06499999
23111,0.602999985
23112,0.524999976
23113,0.344999969
23121,0.523000002
23122,0.444999963
23123,0.264999986
23131,0.264999956
23132,0.186999977
23133,0.006999967
23211,0.578000009
23212,0.49999997
23213,0.319999993
23221,0.497999996
23222,0.419999987
23223,0.240000024
23231,0.239999995
23232,0.162
23233,-0.018000009
23311,0.356999964
23312,0.278999954
23313,0.09899997
23321,0.27699995
23322,0.198999971
23323,0.01899996
23331,0.018999975
23332,-0.059000026
23333,-0.239000022
31111,0.331999987
31112,0.253999978
31113,0.073999994
31121,0.251999974
31122,0.173999995
31123,-0.006000015
31131,-0.006000002
31132,-0.084000006
31133,-0.263999999
31211,0.306999981
31212,0.229000002
31213,0.048999991
31221,0.226999998
31222,0.149000004
31223,-0.031000007
31231,-0.031000009
31232,-0.109000012
31233,-0.289000005
31311,0.085999995
31312,0.007999999
31313,-0.171999991
31321,0.005999999
31322,-0.072000004
31323,-0.252000004
31331,-0.252000004
31332,-0.330000013
31333,-0.50999999
32111,0.280999988
32112,0.203000009
32113,0.022999998
32121,0.201000005
32122,0.123000003
32123,-0.057
32131,-0.057
32132,-0.135000005
32133,-0.314999998
32211,0.255999982
32212,0.178000003
32213,-0.002000006
32221,0.175999999
32222,0.09799999
32223,-0.08200001
32231,-0.08200001
32232,-0.159999996
32233,-0.340000004
32311,0.035
32312,-0.043000001
32313,-0.22299999
32321,-0.045000002
32322,-0.123000003
32323,-0.303000003
32331,-0.303000003
32332,-0.381000012
32333,-0.56099999
33111,-0.023000002
33112,-0.101000004
33113,-0.281000018
33121,-0.103000008
33122,-0.180999994
33123,-0.361000001
33131,-0.361000001
33132,-0.43900001
33133,-0.618999958
33211,-0.048000004
33212,-0.126000002
33213,-0.306000024
33221,-0.128000006
33222,-0.206
33223,-0.386000007
33231,-0.386000007
33232,-0.464000016
33233,-0.643999994
33311,-0.268999994
33312,-0.347000003
33313,-0.52699995
33321,-0.349000007
33322,-0.427000016
33323,-0.606999993
33331,-0.606999993
33332,-0.685000002
33333,-0.86500001
