"state","value"
11111,1
11112,0.821
11113,0.714
11121,0.844
11122,0.746
11123,0.639
11131,0.77
11132,0.672
11133,0.541
11211,0.834
11212,0.736
11213,0.629
11221,0.759
11222,0.661
11223,0.554
11231,0.685
11232,0.587
11233,0.456
11311,0.792
11312,0.694
11313,0.563
11321,0.717
11322,0.619
11323,0.488
11331,0.619
11332,0.521
11333,0.39
12111,0.816
12112,0.718
12113,0.611
12121,0.741
12122,0.643
12123,0.536
12131,0.667
12132,0.569
12133,0.438
12211,0.731
12212,0.633
12213,0.526
12221,0.656
12222,0.558
12223,0.451
12231,0.582
12232,0.484
12233,0.353
12311,0.689
12312,0.591
12313,0.46
12321,0.614
12322,0.516
12323,0.385
12331,0.516
12332,0.418
12333,0.287
13111,0.684
13112,0.586
13113,0.455
13121,0.609
13122,0.511
13123,0.38
13131,0.511
13132,0.413
13133,0.282
13211,0.599
13212,0.501
13213,0.37
13221,0.524
13222,0.426
13223,0.295
13231,0.426
13232,0.328
13233,0.197
13311,0.533
13312,0.435
13313,0.304
13321,0.458
13322,0.36
13323,0.229
13331,0.36
13332,0.262
13333,0.131
21111,0.826
21112,0.728
21113,0.621
21121,0.751
21122,0.653
21123,0.546
21131,0.677
21132,0.579
21133,0.448
21211,0.741
21212,0.643
21213,0.536
21221,0.666
21222,0.568
21223,0.461
21231,0.592
21232,0.494
21233,0.363
21311,0.699
21312,0.601
21313,0.47
21321,0.624
21322,0.526
21323,0.395
21331,0.526
21332,0.428
21333,0.297
22111,0.723
22112,0.625
22113,0.518
22121,0.648
22122,0.55
22123,0.443
22131,0.574
22132,0.476
22133,0.345
22211,0.638
22212,0.54
22213,0.433
22221,0.563
22222,0.465
22223,0.358
22231,0.489
22232,0.391
22233,0.26
22311,0.596
22312,0.498
22313,0.367
22321,0.521
22322,0.423
22323,0.292
22331,0.423
22332,0.325
22333,0.194
23111,0.591
23112,0.493
23113,0.362
23121,0.516
23122,0.418
23123,0.287
23131,0.418
23132,0.32
23133,0.189
23211,0.506
23212,0.408
23213,0.277
23221,0.431
23222,0.333
23223,0.202
23231,0.333
23232,0.235
23233,0.104
23311,0.44
23312,0.342
23313,0.211
23321,0.365
23322,0.267
23323,0.136
23331,0.267
23332,0.169
23333,0.038
31111,0.699
31112,0.601
31113,0.47
31121,0.624
31122,0.526
31123,0.395
31131,0.526
31132,0.428
31133,0.297
31211,0.614
31212,0.516
31213,0.385
31221,0.539
31222,0.441
31223,0.31
31231,0.441
31232,0.343
31233,0.212
31311,0.548
31312,0.45
31313,0.319
31321,0.473
31322,0.375
31323,0.244
31331,0.375
31332,0.277
31333,0.146
32111,0.596
32112,0.498
32113,0.367
32121,0.521
32122,0.423
32123,0.292
32131,0.423
32132,0.325
32133,0.194
32211,0.511
32212,0.413
32213,0.282
32221,0.436
32222,0.338
32223,0.207
32231,0.338
32232,0.24
32233,0.109
32311,0.445
32312,0.347
32313,0.216
32321,0.37
32322,0.272
32323,0.141
32331,0.272
32332,0.174
32333,0.043
33111,0.44
33112,0.342
33113,0.211
33121,0.365
33122,0.267
33123,0.136
33131,0.267
33132,0.169
33133,0.038
33211,0.355
33212,0.257
33213,0.126
33221,0.28
33222,0.182
33223,0.051
33231,0.182
33232,0.084
33233,-0.047
33311,0.289
33312,0.191
33313,0.06
33321,0.214
33322,0.116
33323,-0.015
33331,0.116
33332,0.018
33333,-0.113
