"state","value"
11111,1
11112,0.899
11113,0.66
11121,0.915
11122,0.814
11123,0.575
11131,0.705
11132,0.604
11133,0.365
11211,0.91
11212,0.809
11213,0.57
11221,0.825
11222,0.724
11223,0.485
11231,0.615
11232,0.514
11233,0.275
11311,0.865
11312,0.764
11313,0.525
11321,0.78
11322,0.679
11323,0.44
11331,0.57
11332,0.469
11333,0.23
12111,0.826
12112,0.725
12113,0.486
12121,0.741
12122,0.64
12123,0.401
12131,0.531
12132,0.43
12133,0.191
12211,0.736
12212,0.635
12213,0.396
12221,0.651
12222,0.55
12223,0.311
12231,0.441
12232,0.34
12233,0.101
12311,0.691
12312,0.59
12313,0.351
12321,0.606
12322,0.505
12323,0.266
12331,0.396
12332,0.295
12333,0.056
13111,0.71
13112,0.609
13113,0.37
13121,0.625
13122,0.524
13123,0.285
13131,0.415
13132,0.314
13133,0.075
13211,0.62
13212,0.519
13213,0.28
13221,0.535
13222,0.434
13223,0.195
13231,0.325
13232,0.224
13233,-0.015
13311,0.575
13312,0.474
13313,0.235
13321,0.49
13322,0.389
13323,0.15
13331,0.28
13332,0.179
13333,-0.06
21111,0.881
21112,0.78
21113,0.541
21121,0.796
21122,0.695
21123,0.456
21131,0.586
21132,0.485
21133,0.246
21211,0.791
21212,0.69
21213,0.451
21221,0.706
21222,0.605
21223,0.366
21231,0.496
21232,0.395
21233,0.156
21311,0.746
21312,0.645
21313,0.406
21321,0.661
21322,0.56
21323,0.321
21331,0.451
21332,0.35
21333,0.111
22111,0.707
22112,0.606
22113,0.367
22121,0.521
22122,0.521
22123,0.282
22131,0.412
22132,0.311
22133,0.072
22211,0.617
22212,0.516
22213,0.277
22221,0.532
22222,0.431
22223,0.192
22231,0.322
22232,0.221
22233,-0.018
22311,0.572
22312,0.471
22313,0.232
22321,0.487
22322,0.386
22323,0.147
22331,0.277
22332,0.176
22333,-0.063
23111,0.591
23112,0.49
23113,0.251
23121,0.506
23122,0.405
23123,0.166
23131,0.296
23132,0.195
23133,-0.044
23211,0.501
23212,0.4
23213,0.161
23221,0.416
23222,0.315
23223,0.076
23231,0.206
23232,0.105
23233,-0.134
23311,0.456
23312,0.355
23313,0.116
23321,0.371
23322,0.27
23323,0.031
23331,0.161
23332,0.06
23333,-0.179
31111,0.497
31112,0.396
31113,0.157
31121,0.412
31122,0.311
31123,0.072
31131,0.101
31132,0.101
31133,-0.138
31211,0.407
31212,0.306
31213,0.067
31221,0.322
31222,0.221
31223,-0.018
31231,0.112
31232,0.011
31233,-0.228
31311,0.362
31312,0.261
31313,0.022
31321,0.277
31322,0.176
31323,-0.063
31331,0.067
31332,-0.034
31333,-0.273
32111,0.323
32112,0.222
32113,-0.017
32121,0.238
32122,0.137
32123,-0.102
32131,0.028
32132,-0.073
32133,-0.312
32211,0.233
32212,0.132
32213,-0.107
32221,0.148
32222,0.047
32223,-0.192
32231,-0.062
32232,-0.163
32233,-0.402
32311,0.188
32312,0.087
32313,-0.152
32321,0.103
32322,0.002
32323,-0.237
32331,-0.107
32332,-0.208
32333,-0.447
33111,0.207
33112,0.106
33113,-0.133
33121,0.122
33122,0.021
33123,-0.218
33131,-0.088
33132,-0.189
33133,-0.428
33211,0.117
33212,0.016
33213,-0.223
33221,0.032
33222,-0.069
33223,-0.308
33231,-0.178
33232,-0.279
33233,-0.518
33311,0.072
33312,-0.029
33313,-0.268
33321,-0.013
33322,-0.114
33323,-0.353
33331,-0.223
33332,-0.324
33333,-0.563
