"state","value"
11111,1
11112,0.907000005
11113,0.741999984
11121,0.912999988
11122,0.870000005
11123,0.704999983
11131,0.748999953
11132,0.70599997
11133,0.590999961
11211,0.898999989
11212,0.856000006
11213,0.690999985
11221,0.861999989
11222,0.819000006
11223,0.653999984
11231,0.697999954
11232,0.654999971
11233,0.539999962
11311,0.691999972
11312,0.648999989
11313,0.533999979
11321,0.654999971
11322,0.611999989
11323,0.496999979
11331,0.540999949
11332,0.497999966
11333,0.382999957
12111,0.903999984
12112,0.861000001
12113,0.69599998
12121,0.866999984
12122,0.824000001
12123,0.658999979
12131,0.702999949
12132,0.659999967
12133,0.544999957
12211,0.852999985
12212,0.810000002
12213,0.644999981
12221,0.815999985
12222,0.773000002
12223,0.60799998
12231,0.65199995
12232,0.608999968
12233,0.493999958
12311,0.645999968
12312,0.602999985
12313,0.487999976
12321,0.608999968
12322,0.565999985
12323,0.450999975
12331,0.494999945
12332,0.451999962
12333,0.336999953
13111,0.763999999
13112,0.721000016
13113,0.606000006
13121,0.726999998
13122,0.684000015
13123,0.569000006
13131,0.612999976
13132,0.569999993
13133,0.454999983
13211,0.713
13212,0.670000017
13213,0.555000007
13221,0.675999999
13222,0.633000016
13223,0.518000007
13231,0.561999977
13232,0.518999994
13233,0.403999984
13311,0.555999994
13312,0.513000011
13313,0.398000002
13321,0.518999994
13322,0.476000011
13323,0.361000001
13331,0.404999971
13332,0.361999959
13333,0.246999994
21111,0.853999972
21112,0.81099999
21113,0.645999968
21121,0.816999972
21122,0.773999989
21123,0.608999968
21131,0.652999938
21132,0.609999955
21133,0.494999945
21211,0.802999973
21212,0.75999999
21213,0.594999969
21221,0.765999973
21222,0.72299999
21223,0.557999969
21231,0.601999938
21232,0.558999956
21233,0.443999946
21311,0.595999956
21312,0.552999973
21313,0.437999964
21321,0.558999956
21322,0.515999973
21323,0.400999963
21331,0.444999933
21332,0.40199995
21333,0.286999941
22111,0.807999969
22112,0.764999986
22113,0.599999964
22121,0.770999968
22122,0.727999985
22123,0.562999964
22131,0.606999934
22132,0.563999951
22133,0.448999941
22211,0.756999969
22212,0.713999987
22213,0.548999965
22221,0.719999969
22222,0.676999986
22223,0.511999965
22231,0.555999935
22232,0.512999952
22233,0.397999942
22311,0.549999952
22312,0.506999969
22313,0.39199996
22321,0.512999952
22322,0.469999969
22323,0.354999959
22331,0.398999959
22332,0.355999947
22333,0.240999982
23111,0.667999983
23112,0.625
23113,0.50999999
23121,0.630999982
23122,0.588
23123,0.47299999
23131,0.51699996
23132,0.473999977
23133,0.358999968
23211,0.616999984
23212,0.574000001
23213,0.458999991
23221,0.579999983
23222,0.537
23223,0.421999991
23231,0.465999961
23232,0.422999978
23233,0.307999969
23311,0.459999979
23312,0.416999996
23313,0.301999986
23321,0.422999978
23322,0.379999965
23323,0.264999986
23331,0.308999985
23332,0.265999973
23333,0.151000023
31111,0.481999993
31112,0.43900001
31113,0.324000001
31121,0.444999993
31122,0.40200001
31123,0.287
31131,0.331
31132,0.287999988
31133,0.173000038
31211,0.430999994
31212,0.387999982
31213,0.273000002
31221,0.393999994
31222,0.350999981
31223,0.236000016
31231,0.280000001
31232,0.237000003
31233,0.122000024
31311,0.273999989
31312,0.230999991
31313,0.116000012
31321,0.237000003
31322,0.194000006
31323,0.079000011
31331,0.123000026
31332,0.080000028
31333,-0.034999982
32111,0.43599999
32112,0.392999977
32113,0.277999997
32121,0.398999989
32122,0.355999976
32123,0.241000012
32131,0.284999996
32132,0.241999999
32133,0.127000019
32211,0.38499999
32212,0.341999978
32213,0.227000013
32221,0.34799999
32222,0.304999977
32223,0.190000027
32231,0.234000012
32232,0.191000015
32233,0.07600002
32311,0.228
32312,0.185000002
32313,0.070000008
32321,0.191000015
32322,0.148000017
32323,0.033000004
32331,0.077000022
32332,0.03400002
32333,-0.080999985
33111,0.345999986
33112,0.302999973
33113,0.188000023
33121,0.308999985
33122,0.265999973
33123,0.151000023
33131,0.195000023
33132,0.15200001
33133,0.037000012
33211,0.294999987
33212,0.251999974
33213,0.137000009
33221,0.257999986
33222,0.214999989
33223,0.100000009
33231,0.144000024
33232,0.101000026
33233,-0.013999983
33311,0.138000011
33312,0.095000014
33313,-0.019999996
33321,0.101000011
33322,0.05800001
33323,-0.056999996
33331,-0.012999996
33332,-0.055999998
33333,-0.170999989
