"state","value"
11111,1
11112,0.804
11113,0.654
11121,0.791
11122,0.747
11123,0.597
11131,0.548
11132,0.504
11133,0.354
11211,0.777
11212,0.733
11213,0.583
11221,0.72
11222,0.676
11223,0.526
11231,0.477
11232,0.433
11233,0.283
11311,0.429
11312,0.385
11313,0.235
11321,0.372
11322,0.328
11323,0.178
11331,-0.13
11332,0.163
11333,0.013
12111,0.729
12112,0.685
12113,0.535
12121,0.672
12122,0.628
12123,0.478
12131,0.429
12132,0.385
12133,0.235
12211,0.658
12212,0.614
12213,0.464
12221,0.601
12222,0.557
12223,0.407
12231,0.358
12232,0.314
12233,0.164
12311,0.31
12312,0.266
12313,0.116
12321,0.253
12322,0.209
12323,0.059
12331,0.088
12332,0.044
12333,-0.106
13111,0.511
13112,0.467
13113,0.317
13121,0.454
13122,0.41
13123,0.26
13131,0.211
13132,0.167
13133,0.017
13211,0.392
13212,0.348
13213,0.198
13221,0.335
13222,0.291
13223,0.141
13231,0.092
13232,0.048
13233,-0.102
13311,0.092
13312,0.048
13313,-0.102
13321,0.035
13322,-0.009
13323,-0.159
13331,-0.13
13332,-0.174
13333,-0.324
21111,0.682
21112,0.638
21113,0.488
21121,0.625
21122,0.581
21123,0.431
21131,0.382
21132,0.338
21133,0.188
21211,0.558
21212,0.514
21213,0.364
21221,0.501
21222,0.457
21223,0.307
21231,0.258
21232,0.214
21233,0.064
21311,0.263
21312,0.219
21313,0.069
21321,0.206
21322,0.162
21323,0.012
21331,0.041
21332,-0.003
21333,-0.153
22111,0.563
22112,0.519
22113,0.369
22121,0.506
22122,0.462
22123,0.312
22131,0.263
22132,0.219
22133,0.069
22211,0.439
22212,0.395
22213,0.245
22221,0.382
22222,0.338
22223,0.188
22231,0.139
22232,0.095
22233,-0.055
22311,0.144
22312,0.1
22313,-0.05
22321,0.087
22322,0.043
22323,-0.107
22331,-0.078
22332,-0.122
22333,-0.272
23111,0.345
23112,0.301
23113,0.151
23121,0.288
23122,0.244
23123,0.094
23131,0.045
23132,0.001
23133,-0.149
23211,0.173
23212,0.129
23213,-0.021
23221,0.116
23222,0.072
23223,-0.078
23231,-0.127
23232,-0.171
23233,-0.321
23311,-0.074
23312,-0.118
23313,-0.268
23321,-0.131
23322,-0.175
23323,-0.325
23331,-0.296
23332,-0.34
23333,-0.49
31111,-0.223
31112,-0.267
31113,-0.304
31121,-0.28
31122,-0.324
31123,-0.361
31131,-0.342
31132,-0.386
31133,-0.423
31211,-0.294
31212,-0.338
31213,-0.375
31221,-0.351
31222,-0.395
31223,-0.432
31231,-0.413
31232,-0.457
31233,-0.494
31311,-0.434
31312,-0.478
31313,-0.515
31321,-0.491
31322,-0.535
31323,-0.572
31331,-0.475
31332,-0.519
31333,-0.556
32111,-0.342
32112,-0.386
32113,-0.423
32121,-0.399
32122,-0.443
32123,-0.48
32131,-0.461
32132,-0.505
32133,-0.542
32211,-0.413
32212,-0.457
32213,-0.494
32221,-0.47
32222,-0.514
32223,-0.551
32231,-0.532
32232,-0.576
32233,-0.613
32311,-0.553
32312,-0.597
32313,-0.634
32321,-0.61
32322,-0.654
32323,-0.691
32331,-0.594
32332,-0.638
32333,-0.675
33111,-0.378
33112,-0.422
33113,-0.459
33121,-0.435
33122,-0.479
33123,-0.516
33131,-0.497
33132,-0.541
33133,-0.578
33211,-0.497
33212,-0.541
33213,-0.578
33221,-0.554
33222,-0.598
33223,-0.635
33231,-0.616
33232,-0.66
33233,-0.697
33311,-0.589
33312,-0.633
33313,-0.67
33321,-0.646
33322,-0.69
33323,-0.727
33331,-0.63
33332,-0.674
33333,-0.711
