"state","value"
11111,1
11112,0.852000058
11113,0.731000006
11121,0.879000008
11122,0.798000038
11123,0.676999986
11131,0.690000057
11132,0.609000087
11133,0.604000032
11211,0.880000055
11212,0.799000084
11213,0.678000033
11221,0.826000035
11222,0.745000064
11223,0.624000013
11231,0.637000084
11232,0.556000113
11233,0.551000059
11311,0.695000052
11312,0.614000082
11313,0.609000027
11321,0.641000032
11322,0.560000062
11323,0.555000007
11331,0.568000078
11332,0.487000108
11333,0.482000053
12111,0.836000025
12112,0.755000055
12113,0.634000003
12121,0.782000005
12122,0.701000035
12123,0.579999983
12131,0.593000054
12132,0.512000084
12133,0.507000029
12211,0.783000052
12212,0.702000082
12213,0.58100003
12221,0.729000032
12222,0.648000062
12223,0.52700001
12231,0.540000081
12232,0.459000111
12233,0.454000056
12311,0.59800005
12312,0.517000079
12313,0.512000024
12321,0.54400003
12322,0.463000059
12323,0.458000004
12331,0.471000075
12332,0.390000105
12333,0.38500005
13111,0.657000005
13112,0.576000035
13113,0.57099998
13121,0.602999985
13122,0.522000015
13123,0.51699996
13131,0.530000031
13132,0.449000061
13133,0.444000006
13211,0.604000032
13212,0.523000062
13213,0.518000007
13221,0.550000012
13222,0.469000041
13223,0.463999987
13231,0.477000058
13232,0.396000087
13233,0.391000032
13311,0.535000026
13312,0.454000056
13313,0.449000001
13321,0.481000006
13322,0.400000036
13323,0.394999981
13331,0.408000052
13332,0.327000052
13333,0.321999997
21111,0.849000037
21112,0.768000066
21113,0.647000015
21121,0.795000017
21122,0.714000046
21123,0.592999995
21131,0.606000066
21132,0.525000095
21133,0.520000041
21211,0.796000063
21212,0.715000093
21213,0.594000041
21221,0.742000043
21222,0.661000073
21223,0.540000021
21231,0.553000093
21232,0.472000122
21233,0.467000067
21311,0.611000061
21312,0.530000091
21313,0.525000036
21321,0.557000041
21322,0.476000071
21323,0.471000016
21331,0.484000087
21332,0.403000116
21333,0.398000062
22111,0.752000034
22112,0.671000063
22113,0.550000012
22121,0.698000014
22122,0.617000043
22123,0.495999992
22131,0.509000063
22132,0.428000093
22133,0.423000038
22211,0.699000061
22212,0.61800009
22213,0.497000039
22221,0.645000041
22222,0.56400007
22223,0.443000019
22231,0.45600009
22232,0.375000089
22233,0.370000035
22311,0.514000058
22312,0.433000088
22313,0.428000033
22321,0.460000038
22322,0.379000038
22323,0.373999983
22331,0.387000084
22332,0.306000054
22333,0.301000059
23111,0.573000014
23112,0.492000043
23113,0.486999989
23121,0.518999994
23122,0.438000023
23123,0.432999969
23131,0.44600004
23132,0.365000039
23133,0.359999985
23211,0.520000041
23212,0.43900007
23213,0.434000015
23221,0.466000021
23222,0.38500005
23223,0.379999965
23231,0.393000066
23232,0.312000036
23233,0.307000041
23311,0.451000035
23312,0.370000035
23313,0.36499998
23321,0.397000015
23322,0.315999985
23323,0.31099999
23331,0.324000031
23332,0.243000031
23333,0.238000035
31111,0.626000047
31112,0.545000076
31113,0.540000021
31121,0.572000027
31122,0.491000056
31123,0.486000001
31131,0.499000072
31132,0.418000102
31133,0.413000047
31211,0.573000073
31212,0.492000103
31213,0.487000048
31221,0.519000053
31222,0.438000083
31223,0.433000028
31231,0.446000099
31232,0.365000099
31233,0.360000044
31311,0.504000068
31312,0.423000097
31313,0.418000042
31321,0.450000048
31322,0.369000047
31323,0.363999993
31331,0.377000064
31332,0.296000063
31333,0.291000068
32111,0.529000044
32112,0.448000073
32113,0.443000019
32121,0.475000024
32122,0.394000053
32123,0.388999999
32131,0.40200007
32132,0.321000069
32133,0.316000044
32211,0.476000071
32212,0.3950001
32213,0.390000045
32221,0.422000051
32222,0.34100005
32223,0.335999995
32231,0.349000067
32232,0.268000066
32233,0.263000071
32311,0.407000065
32312,0.326000065
32313,0.32100001
32321,0.353000015
32322,0.272000015
32323,0.26700002
32331,0.280000031
32332,0.199000031
32333,0.194000036
33111,0.466000021
33112,0.38500005
33113,0.379999965
33121,0.412
33122,0.331
33123,0.325999945
33131,0.339000016
33132,0.258000016
33133,0.253000021
33211,0.413000047
33212,0.332000047
33213,0.326999992
33221,0.358999997
33222,0.277999997
33223,0.273000002
33231,0.286000013
33232,0.205000013
33233,0.200000018
33311,0.344000012
33312,0.263000011
33313,0.258000016
33321,0.290000021
33322,0.209000021
33323,0.204000026
33331,0.217000008
33332,0.136000007
33333,0.131000012
