"state","value"
11111,1
11112,0.75
11113,0.486
11121,0.732
11122,0.636
11123,0.372
11131,0.337
11132,0.241
11133,-0.023
11211,0.835
11212,0.739
11213,0.475
11221,0.721
11222,0.625
11223,0.361
11231,0.326
11232,0.23
11233,-0.034
11311,0.714
11312,0.618
11313,0.354
11321,0.6
11322,0.504
11323,0.24
11331,0.205
11332,0.109
11333,-0.155
12111,0.787
12112,0.691
12113,0.427
12121,0.673
12122,0.577
12123,0.313
12131,0.278
12132,0.182
12133,-0.082
12211,0.776
12212,0.68
12213,0.416
12221,0.662
12222,0.566
12223,0.302
12231,0.267
12232,0.171
12233,-0.093
12311,0.655
12312,0.559
12313,0.295
12321,0.541
12322,0.445
12323,0.181
12331,0.146
12332,0.05
12333,-0.214
13111,0.702
13112,0.606
13113,0.342
13121,0.588
13122,0.492
13123,0.228
13131,0.193
13132,0.097
13133,-0.167
13211,0.691
13212,0.595
13213,0.331
13221,0.577
13222,0.481
13223,0.217
13231,0.182
13232,0.086
13233,-0.178
13311,0.57
13312,0.474
13313,0.21
13321,0.456
13322,0.36
13323,0.096
13331,0.061
13332,-0.035
13333,-0.299
21111,0.801
21112,0.705
21113,0.441
21121,0.687
21122,0.591
21123,0.327
21131,0.292
21132,0.196
21133,-0.068
21211,0.79
21212,0.694
21213,0.43
21221,0.676
21222,0.58
21223,0.316
21231,0.281
21232,0.185
21233,-0.079
21311,0.669
21312,0.573
21313,0.309
21321,0.555
21322,0.459
21323,0.195
21331,0.16
21332,0.064
21333,-0.2
22111,0.742
22112,0.646
22113,0.382
22121,0.628
22122,0.532
22123,0.268
22131,0.233
22132,0.137
22133,-0.127
22211,0.731
22212,0.635
22213,0.371
22221,0.617
22222,0.521
22223,0.257
22231,0.222
22232,0.126
22233,-0.138
22311,0.61
22312,0.514
22313,0.25
22321,0.496
22322,0.4
22323,0.136
22331,0.101
22332,0.005
22333,-0.259
23111,0.657
23112,0.561
23113,0.297
23121,0.543
23122,0.447
23123,0.183
23131,0.148
23132,0.052
23133,-0.212
23211,0.646
23212,0.55
23213,0.286
23221,0.532
23222,0.436
23223,0.172
23231,0.137
23232,0.041
23233,-0.223
23311,0.525
23312,0.429
23313,0.165
23321,0.411
23322,0.315
23323,0.051
23331,0.016
23332,-0.08
23333,-0.344
31111,0.422
31112,0.326
31113,0.062
31121,0.308
31122,0.212
31123,-0.052
31131,-0.087
31132,-0.183
31133,-0.447
31211,0.411
31212,0.315
31213,0.051
31221,0.297
31222,0.201
31223,-0.063
31231,-0.098
31232,-0.194
31233,-0.458
31311,0.29
31312,0.194
31313,-0.07
31321,0.176
31322,0.08
31323,-0.184
31331,-0.219
31332,-0.315
31333,-0.579
32111,0.363
32112,0.267
32113,0.003
32121,0.249
32122,0.153
32123,-0.111
32131,-0.146
32132,-0.242
32133,-0.506
32211,0.352
32212,0.256
32213,-0.008
32221,0.238
32222,0.142
32223,-0.122
32231,-0.157
32232,-0.253
32233,-0.517
32311,0.231
32312,0.135
32313,-0.129
32321,0.117
32322,0.021
32323,-0.243
32331,-0.278
32332,-0.374
32333,-0.638
33111,0.278
33112,0.182
33113,-0.082
33121,0.164
33122,0.068
33123,-0.196
33131,-0.231
33132,-0.327
33133,-0.591
33211,0.267
33212,0.171
33213,-0.093
33221,0.153
33222,0.057
33223,-0.207
33231,-0.242
33232,-0.338
33233,-0.602
33311,0.146
33312,0.05
33313,-0.214
33321,0.032
33322,-0.064
33323,-0.328
33331,-0.363
33332,-0.459
33333,-0.723
