"state","value"
11111,1
11112,0.70389998
11113,0.395399958
11121,0.716099977
11122,0.62409997
11123,0.315599948
11131,0.419799954
11132,0.327799946
11133,0.235799953
11211,0.782299995
11212,0.690299988
11213,0.381799966
11221,0.702499986
11222,0.610499978
11223,0.301999956
11231,0.406199962
11232,0.314199954
11233,0.222199962
11311,0.552200019
11312,0.460199982
11313,0.368199974
11321,0.47239998
11322,0.380399972
11323,0.288399965
11331,0.39259997
11332,0.300599962
11333,0.20859997
12111,0.7245
12112,0.632499993
12113,0.323999971
12121,0.644699991
12122,0.552699983
12123,0.244199976
12131,0.348399967
12132,0.256399959
12133,0.164399967
12211,0.710900009
12212,0.618900001
12213,0.310399979
12221,0.631099999
12222,0.539099991
12223,0.230599985
12231,0.334799975
12232,0.242799982
12233,0.150799975
12311,0.480800003
12312,0.388799995
12313,0.296799988
12321,0.400999993
12322,0.308999985
12323,0.216999993
12331,0.321199983
12332,0.229199991
12333,0.137199983
13111,0.4366
13112,0.344599992
13113,0.252599984
13121,0.35679999
13122,0.264799982
13123,0.17279999
13131,0.27699998
13132,0.184999987
13133,0.09299998
13211,0.423000008
13212,0.331
13213,0.239000008
13221,0.343199998
13222,0.251199991
13223,0.159199998
13231,0.263399988
13232,0.171399996
13233,0.079399988
13311,0.409400016
13312,0.317400008
13313,0.225400016
13321,0.329600006
13322,0.237600014
13323,0.145600006
13331,0.249800012
13332,0.157800004
13333,0.065800026
21111,0.720600009
21112,0.628600001
21113,0.32009998
21121,0.640799999
21122,0.548799992
21123,0.240299985
21131,0.344499975
21132,0.252499968
21133,0.160499975
21211,0.707000017
21212,0.61500001
21213,0.306499988
21221,0.627200007
21222,0.5352
21223,0.226699993
21231,0.330899984
21232,0.238899991
21233,0.146899983
21311,0.476900011
21312,0.384900004
21313,0.292899996
21321,0.397100002
21322,0.305099994
21323,0.213100001
21331,0.317299992
21332,0.225299999
21333,0.133299991
22111,0.649200022
22112,0.557200015
22113,0.248700008
22121,0.569400012
22122,0.477400005
22123,0.168899998
22131,0.273099989
22132,0.181099996
22133,0.089099988
22211,0.63560003
22212,0.543600023
22213,0.235100016
22221,0.555800021
22222,0.463800013
22223,0.155300006
22231,0.259499997
22232,0.167500004
22233,0.075500026
22311,0.405500025
22312,0.313500017
22313,0.221500024
22321,0.325700015
22322,0.233700022
22323,0.141700014
22331,0.24590002
22332,0.153900012
22333,0.061900035
23111,0.361300021
23112,0.269300014
23113,0.177300021
23121,0.281500012
23122,0.189500019
23123,0.097500011
23131,0.201700017
23132,0.109700009
23133,0.017700046
23211,0.34770003
23212,0.255700022
23213,0.163700029
23221,0.26790002
23222,0.175900027
23223,0.08390002
23231,0.188100025
23232,0.096100017
23233,0.004100054
23311,0.334100038
23312,0.242100045
23313,0.150100037
23321,0.254300028
23322,0.162300035
23323,0.070300058
23331,0.174500033
23332,0.082500026
23333,-0.009499938
31111,0.428799957
31112,0.336799949
31113,0.244799957
31121,0.348999947
31122,0.25699994
31123,0.164999947
31131,0.269199938
31132,0.177199945
31133,0.085199937
31211,0.415199965
31212,0.323199958
31213,0.231199965
31221,0.335399956
31222,0.243399963
31223,0.151399955
31231,0.255599946
31232,0.163599953
31233,0.071599975
31311,0.401599973
31312,0.309599966
31313,0.217599973
31321,0.321799964
31322,0.229799971
31323,0.137799963
31331,0.241999969
31332,0.149999961
31333,0.057999983
32111,0.35739997
32112,0.265399963
32113,0.17339997
32121,0.277599961
32122,0.185599968
32123,0.09359996
32131,0.197799966
32132,0.105799958
32133,0.013799994
32211,0.343799978
32212,0.251799971
32213,0.159799978
32221,0.263999969
32222,0.171999976
32223,0.079999968
32231,0.184199974
32232,0.092199966
32233,0.000200003
32311,0.330199987
32312,0.238199994
32313,0.146199986
32321,0.250399977
32322,0.158399984
32323,0.066400006
32331,0.170599982
32332,0.078599975
32333,-0.013399989
33111,0.285999984
33112,0.193999991
33113,0.101999983
33121,0.206199989
33122,0.114199981
33123,0.022200018
33131,0.126399979
33132,0.034399971
33133,-0.057599992
33211,0.272399992
33212,0.180399999
33213,0.088399991
33221,0.192599997
33222,0.100599989
33223,0.008600025
33231,0.112799987
33232,0.020799994
33233,-0.071199983
33311,0.2588
33312,0.166800007
33313,0.074800029
33321,0.179000005
33322,0.086999997
33323,-0.004999966
33331,0.099199995
33332,0.007200002
33333,-0.084799975
