"state","value"
11111,1
11112,0.964
11113,0.819
11121,0.965
11122,0.929
11123,0.784
11131,0.786
11132,0.75
11133,0.605
11211,0.96
11212,0.924
11213,0.779
11221,0.925
11222,0.889
11223,0.744
11231,0.746
11232,0.71
11233,0.565
11311,0.72
11312,0.684
11313,0.539
11321,0.685
11322,0.649
11323,0.504
11331,0.506
11332,0.47
11333,0.325
12111,0.943
12112,0.907
12113,0.762
12121,0.908
12122,0.872
12123,0.727
12131,0.729
12132,0.693
12133,0.548
12211,0.903
12212,0.867
12213,0.722
12221,0.868
12222,0.832
12223,0.687
12231,0.689
12232,0.653
12233,0.508
12311,0.663
12312,0.627
12313,0.482
12321,0.628
12322,0.592
12323,0.447
12331,0.449
12332,0.413
12333,0.268
13111,0.783
13112,0.747
13113,0.602
13121,0.748
13122,0.712
13123,0.567
13131,0.569
13132,0.533
13133,0.388
13211,0.743
13212,0.707
13213,0.562
13221,0.708
13222,0.672
13223,0.527
13231,0.529
13232,0.493
13233,0.348
13311,0.503
13312,0.467
13313,0.322
13321,0.468
13322,0.432
13323,0.287
13331,0.289
13332,0.253
13333,0.108
21111,0.951
21112,0.915
21113,0.77
21121,0.916
21122,0.88
21123,0.735
21131,0.737
21132,0.701
21133,0.556
21211,0.911
21212,0.875
21213,0.73
21221,0.876
21222,0.84
21223,0.695
21231,0.697
21232,0.661
21233,0.516
21311,0.671
21312,0.635
21313,0.49
21321,0.636
21322,0.6
21323,0.455
21331,0.457
21332,0.421
21333,0.276
22111,0.894
22112,0.858
22113,0.713
22121,0.859
22122,0.823
22123,0.678
22131,0.68
22132,0.644
22133,0.499
22211,0.854
22212,0.818
22213,0.673
22221,0.819
22222,0.783
22223,0.638
22231,0.64
22232,0.604
22233,0.459
22311,0.614
22312,0.578
22313,0.433
22321,0.579
22322,0.543
22323,0.398
22331,0.4
22332,0.364
22333,0.219
23111,0.734
23112,0.698
23113,0.553
23121,0.699
23122,0.663
23123,0.518
23131,0.52
23132,0.484
23133,0.339
23211,0.694
23212,0.658
23213,0.513
23221,0.659
23222,0.623
23223,0.478
23231,0.48
23232,0.444
23233,0.299
23311,0.454
23312,0.418
23313,0.273
23321,0.419
23322,0.383
23323,0.238
23331,0.24
23332,0.204
23333,0.059
31111,0.721
31112,0.685
31113,0.54
31121,0.686
31122,0.65
31123,0.505
31131,0.507
31132,0.471
31133,0.326
31211,0.681
31212,0.645
31213,0.5
31221,0.646
31222,0.61
31223,0.465
31231,0.467
31232,0.431
31233,0.286
31311,0.441
31312,0.405
31313,0.26
31321,0.406
31322,0.37
31323,0.225
31331,0.227
31332,0.191
31333,0.046
32111,0.664
32112,0.628
32113,0.483
32121,0.629
32122,0.593
32123,0.448
32131,0.45
32132,0.414
32133,0.269
32211,0.624
32212,0.588
32213,0.443
32221,0.589
32222,0.553
32223,0.408
32231,0.41
32232,0.374
32233,0.229
32311,0.384
32312,0.348
32313,0.203
32321,0.349
32322,0.313
32323,0.168
32331,0.17
32332,0.134
32333,-0.011
33111,0.504
33112,0.468
33113,0.323
33121,0.469
33122,0.433
33123,0.288
33131,0.29
33132,0.254
33133,0.109
33211,0.464
33212,0.428
33213,0.283
33221,0.429
33222,0.393
33223,0.248
33231,0.25
33232,0.214
33233,0.069
33311,0.224
33312,0.188
33313,0.043
33321,0.189
33322,0.153
33323,0.008
33331,0.01
33332,-0.026
33333,-0.171
