"state","value"
11111,1
11112,0.767
11113,0.368
11121,0.694
11122,0.657
11123,0.498
11131,0.297
11132,0.501
11133,0.135
11211,0.702
11212,0.665
11213,0.506
11221,0.592
11222,0.555
11223,0.396
11231,0.435
11232,0.398
11233,0.274
11311,0.241
11312,0.444
11313,0.079
11321,0.371
11322,0.334
11323,0.209
11331,0.008
11332,0.212
11333,-0.086
12111,0.646
12112,0.609
12113,0.451
12121,0.536
12122,0.499
12123,0.341
12131,0.38
12132,0.343
12133,0.218
12211,0.544
12212,0.507
12213,0.348
12221,0.434
12222,0.397
12223,0.238
12231,0.278
12232,0.241
12233,0.116
12311,0.324
12312,0.287
12313,0.162
12321,0.214
12322,0.177
12323,0.052
12331,0.091
12332,0.054
12333,-0.004
13111,0.204
13112,0.407
13113,0.042
13121,0.334
13122,0.297
13123,0.172
13131,-0.029
13132,0.175
13133,-0.123
13211,0.342
13212,0.305
13213,0.18
13221,0.232
13222,0.195
13223,0.07
13231,0.11
13232,0.073
13233,0.015
13311,-0.085
13312,0.118
13313,-0.18
13321,0.045
13322,0.008
13323,-0.049
13331,-0.25
13332,-0.047
13333,-0.278
21111,0.695
21112,0.658
21113,0.499
21121,0.585
21122,0.548
21123,0.389
21131,0.428
21132,0.392
21133,0.267
21211,0.592
21212,0.555
21213,0.397
21221,0.482
21222,0.446
21223,0.287
21231,0.326
21232,0.289
21233,0.164
21311,0.372
21312,0.335
21313,0.21
21321,0.262
21322,0.225
21323,0.1
21331,0.14
21332,0.103
21333,0.045
22111,0.537
22112,0.5
22113,0.341
22121,0.427
22122,0.39
22123,0.232
22131,0.271
22132,0.234
22133,0.109
22211,0.435
22212,0.398
22213,0.239
22221,0.325
22222,0.288
22223,0.129
22231,0.169
22232,0.132
22233,0.007
22311,0.215
22312,0.178
22313,0.053
22321,0.105
22322,0.068
22323,-0.057
22331,-0.018
22332,-0.055
22333,-0.113
23111,0.335
23112,0.298
23113,0.173
23121,0.225
23122,0.188
23123,0.063
23131,0.103
23132,0.066
23133,0.008
23211,0.233
23212,0.196
23213,0.071
23221,0.123
23222,0.086
23223,-0.039
23231,0
23232,-0.036
23233,-0.094
23311,0.046
23312,0.009
23313,-0.048
23321,-0.064
23322,-0.101
23323,-0.158
23331,-0.119
23332,-0.156
23333,-0.147
31111,0.11
31112,0.313
31113,-0.052
31121,0.24
31122,0.203
31123,0.078
31131,-0.123
31132,0.081
31133,-0.217
31211,0.248
31212,0.211
31213,0.086
31221,0.138
31222,0.101
31223,-0.024
31231,0.015
31232,-0.022
31233,-0.079
31311,-0.179
31312,0.024
31313,-0.274
31321,-0.049
31322,-0.086
31323,-0.143
31331,-0.344
31332,-0.141
31333,-0.372
32111,0.192
32112,0.156
32113,0.031
32121,0.083
32122,0.046
32123,-0.079
32131,-0.04
32132,-0.077
32133,-0.135
32211,0.09
32212,0.053
32213,-0.072
32221,-0.02
32222,-0.057
32223,-0.182
32231,-0.142
32232,-0.179
32233,-0.237
32311,-0.096
32312,-0.133
32313,-0.191
32321,-0.206
32322,-0.243
32323,-0.301
32331,-0.262
32332,-0.299
32333,-0.289
33111,-0.216
33112,-0.013
33113,-0.311
33121,-0.086
33122,-0.123
33123,-0.18
33131,-0.381
33132,-0.178
33133,-0.409
33211,-0.078
33212,-0.115
33213,-0.173
33221,-0.188
33222,-0.225
33223,-0.283
33231,-0.243
33232,-0.28
33233,-0.271
33311,-0.438
33312,-0.234
33313,-0.465
33321,-0.307
33322,-0.344
33323,-0.335
33331,-0.536
33332,-0.333
33333,-0.496
