"state","value"
11111,1
11112,0.914200008
11113,0.718400002
11121,0.934899986
11122,0.879700005
11123,0.683899999
11131,0.835700035
11132,0.780500054
11133,0.628000021
11211,0.868200004
11212,0.813000023
11213,0.617200017
11221,0.833700001
11222,0.778500021
11223,0.582700014
11231,0.734500051
11232,0.67930007
11233,0.526800036
11311,0.790600002
11312,0.735400021
11313,0.582899988
11321,0.756099999
11322,0.700900018
11323,0.548399985
11331,0.700200021
11332,0.645000041
11333,0.492499977
12111,0.941799998
12112,0.886600018
12113,0.690800011
12121,0.907299995
12122,0.852100015
12123,0.656300008
12131,0.808100045
12132,0.752900064
12133,0.600400031
12211,0.840600014
12212,0.785400033
12213,0.589600027
12221,0.806100011
12222,0.75090003
12223,0.555100024
12231,0.70690006
12232,0.651700079
12233,0.499200016
12311,0.763000011
12312,0.707800031
12313,0.555299997
12321,0.728500009
12322,0.673300028
12323,0.520799994
12331,0.672600031
12332,0.61740005
12333,0.464899987
13111,0.898500025
13112,0.843300045
13113,0.690800011
13121,0.864000022
13122,0.808800042
13123,0.656300008
13131,0.808100045
13132,0.752900064
13133,0.600400031
13211,0.797300041
13212,0.74210006
13213,0.589600027
13221,0.762800038
13222,0.707600057
13223,0.555100024
13231,0.70690006
13232,0.651700079
13233,0.499200016
13311,0.763000011
13312,0.707800031
13313,0.555299997
13321,0.728500009
13322,0.673300028
13323,0.520799994
13331,0.672600031
13332,0.61740005
13333,0.464899987
21111,0.902799964
21112,0.847599983
21113,0.651799977
21121,0.868299961
21122,0.81309998
21123,0.617299974
21131,0.76910001
21132,0.71390003
21133,0.561399996
21211,0.801599979
21212,0.746399999
21213,0.550599992
21221,0.767099977
21222,0.711899996
21223,0.516099989
21231,0.667900026
21232,0.612700045
21233,0.460199982
21311,0.723999977
21312,0.668799996
21313,0.516299963
21321,0.689499974
21322,0.634299994
21323,0.48179993
21331,0.633599997
21332,0.578400016
21333,0.425899953
22111,0.875199974
22112,0.819999993
22113,0.624199986
22121,0.840699971
22122,0.78549999
22123,0.589699984
22131,0.74150002
22132,0.686300039
22133,0.533800006
22211,0.773999989
22212,0.718800008
22213,0.523000002
22221,0.739499986
22222,0.684300005
22223,0.488499969
22231,0.640300035
22232,0.585100055
22233,0.432599992
22311,0.696399987
22312,0.641200006
22313,0.488699943
22321,0.661899984
22322,0.606700003
22323,0.45419994
22331,0.606000006
22332,0.550800025
22333,0.398299962
23111,0.831900001
23112,0.77670002
23113,0.624199986
23121,0.797399998
23122,0.742200017
23123,0.589699984
23131,0.74150002
23132,0.686300039
23133,0.533800006
23211,0.730700016
23212,0.675500035
23213,0.523000002
23221,0.696200013
23222,0.641000032
23223,0.488499969
23231,0.640300035
23232,0.585100055
23233,0.432599992
23311,0.696399987
23312,0.641200006
23313,0.488699943
23321,0.661899984
23322,0.606700003
23323,0.45419994
23331,0.606000006
23332,0.550800025
23333,0.398299962
31111,0.801400006
31112,0.746200025
31113,0.593699992
31121,0.766900003
31122,0.711700022
31123,0.559199989
31131,0.711000025
31132,0.655800045
31133,0.503300011
31211,0.700200021
31212,0.645000041
31213,0.492499977
31221,0.665700018
31222,0.610500038
31223,0.457999974
31231,0.609800041
31232,0.55460006
31233,0.402099997
31311,0.665899992
31312,0.610700011
31313,0.458199948
31321,0.631399989
31322,0.576200008
31323,0.423699945
31331,0.575500011
31332,0.520300031
31333,0.367799968
32111,0.773800015
32112,0.718600035
32113,0.566100001
32121,0.739300013
32122,0.684100032
32123,0.531599998
32131,0.683400035
32132,0.628200054
32133,0.475699991
32211,0.672600031
32212,0.61740005
32213,0.464899987
32221,0.638100028
32222,0.582900047
32223,0.430399984
32231,0.58220005
32232,0.52700007
32233,0.374500006
32311,0.638300002
32312,0.583100021
32313,0.430599958
32321,0.603799999
32322,0.548600018
32323,0.396099955
32331,0.547900021
32332,0.492700011
32333,0.340199977
33111,0.773800015
33112,0.718600035
33113,0.566100001
33121,0.739300013
33122,0.684100032
33123,0.531599998
33131,0.683400035
33132,0.628200054
33133,0.475699991
33211,0.672600031
33212,0.61740005
33213,0.464899987
33221,0.638100028
33222,0.582900047
33223,0.430399984
33231,0.58220005
33232,0.52700007
33233,0.374500006
33311,0.638300002
33312,0.583100021
33313,0.430599958
33321,0.603799999
33322,0.548600018
33323,0.396099955
33331,0.547900021
33332,0.492700011
33333,0.340199977
