"state","value"
11111,1
11112,0.849900007
11113,0.431100011
11121,0.853799999
11122,0.703700006
11123,0.28490001
11131,0.480400026
11132,0.330300033
11133,0.202000007
11211,0.744499981
11212,0.594399989
11213,0.175599977
11221,0.59829998
11222,0.448199987
11223,0.029399976
11231,0.224899992
11232,0.0748
11233,-0.053500012
11311,0.388599992
11312,0.238499984
11313,0.110199973
11321,0.242399976
11322,0.092299983
11323,-0.036000028
11331,0.159499988
11332,0.009399995
11333,-0.118900016
12111,0.838500023
12112,0.68840003
12113,0.269600034
12121,0.692300022
12122,0.542200029
12123,0.123400018
12131,0.318900049
12132,0.168800041
12133,0.04050003
12211,0.583000004
12212,0.432900012
12213,0.0141
12221,0.436800003
12222,0.28670001
12223,-0.132100001
12231,0.063400015
12232,-0.086699978
12233,-0.214999974
12311,0.2271
12312,0.077000007
12313,-0.051300004
12321,0.080899999
12322,-0.069199994
12323,-0.19749999
12331,-0.001999989
12332,-0.152099982
12333,-0.280399978
13111,0.363000035
13112,0.212900028
13113,0.084600016
13121,0.216800019
13122,0.066700026
13123,-0.061599985
13131,0.133900031
13132,-0.016199961
13133,-0.144499972
13211,0.107500032
13212,-0.042599961
13213,-0.170899957
13221,-0.03869997
13222,-0.188799962
13223,-0.317099959
13231,-0.121599972
13232,-0.271699965
13233,-0.399999976
13311,0.042100027
13312,-0.107999966
13313,-0.236299977
13321,-0.104099974
13322,-0.254199982
13323,-0.382499963
13331,-0.186999962
13332,-0.337099969
13333,-0.465399951
21111,0.832199991
21112,0.682099998
21113,0.263300002
21121,0.68599999
21122,0.535899997
21123,0.117099985
21131,0.312600017
21132,0.162500009
21133,0.034199998
21211,0.576699972
21212,0.426599979
21213,0.007799968
21221,0.430499971
21222,0.280399978
21223,-0.138400033
21231,0.057099983
21232,-0.09300001
21233,-0.221300006
21311,0.220799968
21312,0.070699975
21313,-0.057600036
21321,0.074599966
21322,-0.075500026
21323,-0.203800023
21331,-0.008300021
21332,-0.158400014
21333,-0.28670001
22111,0.670700014
22112,0.520600021
22113,0.10180001
22121,0.524500012
22122,0.37440002
22123,-0.044399992
22131,0.151100025
22132,0.001000032
22133,-0.127299979
22211,0.415200025
22212,0.265100032
22213,-0.153699979
22221,0.269000024
22222,0.118900023
22223,-0.299899966
22231,-0.104399979
22232,-0.254499972
22233,-0.382799983
22311,0.05930002
22312,-0.090799972
22313,-0.219099969
22321,-0.086899981
22322,-0.236999974
22323,-0.36529997
22331,-0.169799969
22332,-0.319899976
22333,-0.448199958
23111,0.195199981
23112,0.045099989
23113,-0.083200023
23121,0.04899998
23122,-0.101100013
23123,-0.229400024
23131,-0.033900008
23132,-0.184
23133,-0.312299997
23211,-0.060300022
23212,-0.210400015
23213,-0.338700026
23221,-0.206500024
23222,-0.356600016
23223,-0.484900028
23231,-0.289400011
23232,-0.439500004
23233,-0.567800045
23311,-0.125700012
23312,-0.27580002
23313,-0.404100001
23321,-0.271899998
23322,-0.421999991
23323,-0.550300002
23331,-0.354800016
23332,-0.504899979
23333,-0.63319999
31111,0.405499995
31112,0.255400002
31113,0.127099976
31121,0.259299994
31122,0.109199986
31123,-0.019100025
31131,0.176399991
31132,0.026299998
31133,-0.102000013
31211,0.149999991
31212,-0.000100002
31213,-0.128400013
31221,0.00379999
31222,-0.146300003
31223,-0.274599999
31231,-0.079100013
31232,-0.229200006
31233,-0.357500017
31311,0.084599987
31312,-0.065500006
31313,-0.193800002
31321,-0.061600015
31322,-0.211700007
31323,-0.340000004
31331,-0.144500017
31332,-0.29460001
31333,-0.422900021
32111,0.244000003
32112,0.09390001
32113,-0.034400001
32121,0.097800002
32122,-0.052299991
32123,-0.180599988
32131,0.014900014
32132,-0.135199979
32133,-0.263499975
32211,-0.011499986
32212,-0.161599979
32213,-0.289899975
32221,-0.157699987
32222,-0.307799995
32223,-0.436099976
32231,-0.24059999
32232,-0.390699983
32233,-0.518999994
32311,-0.07689999
32312,-0.226999983
32313,-0.355299979
32321,-0.223099992
32322,-0.373199999
32323,-0.50150001
32331,-0.305999994
32332,-0.456099987
32333,-0.584399998
33111,0.058999971
33112,-0.091100022
33113,-0.219400018
33121,-0.087200031
33122,-0.237300023
33123,-0.36560002
33131,-0.170100018
33132,-0.320200026
33133,-0.448500007
33211,-0.196500033
33212,-0.346600026
33213,-0.474900037
33221,-0.342700034
33222,-0.492800027
33223,-0.621100008
33231,-0.425600022
33232,-0.575700045
33233,-0.704000056
33311,-0.261900038
33312,-0.41200003
33313,-0.540300012
33321,-0.408100039
33322,-0.558200002
33323,-0.686500013
33331,-0.491000026
33332,-0.641100049
33333,-0.769400001
