state,value
11111,1
11112,0.841453897
11113,0.592636394
11121,0.779160719
11122,0.703182813
11123,0.499960415
11131,0.432582171
11132,0.385374555
11133,0.237366817
11211,0.850867251
11212,0.761070084
11213,0.541361049
11221,0.709672977
11222,0.642900531
11223,0.453968996
11231,0.389625518
11232,0.344248529
11233,0.200849038
11311,0.616822785
11312,0.558732944
11313,0.386100636
11321,0.521350621
11322,0.469639992
11323,0.310865667
11331,0.254042449
11332,0.213388488
11333,0.082479328
12111,0.853651182
12112,0.763186727
12113,0.542813129
12121,0.711563873
12122,0.64457823
12123,0.455282143
12131,0.390857004
12132,0.345430166
12133,0.201903439
12211,0.770597874
12212,0.695930211
12213,0.494567131
12221,0.650420002
12222,0.589543228
12223,0.411364008
12231,0.349529107
12232,0.305698907
12233,0.166295681
12311,0.565378744
12312,0.510968464
12313,0.346130391
12321,0.475611924
12322,0.426357857
12323,0.273356276
12331,0.21814144
12332,0.178529817
12333,0.050490435
13111,0.623975733
13112,0.565320778
13113,0.391539075
13121,0.527634041
13122,0.475559893
13123,0.315951962
13131,0.258900861
13132,0.218100091
13133,0.086789956
13211,0.570516895
13212,0.515766688
13213,0.350185876
13221,0.480219889
13222,0.430732383
13223,0.277171802
13231,0.221798922
13232,0.182084402
13233,0.053759951
13311,0.410581053
13312,0.364335254
13313,0.218732197
13321,0.33372566
13322,0.290467213
13323,0.15256465
13331,0.101799632
13332,0.06512573
13333,-0.054615327
21111,0.66146155
21112,0.599589673
21113,0.419503119
21121,0.560205288
21122,0.506131675
21123,0.342033793
21131,0.28377448
21132,0.242199059
21133,0.108786421
21211,0.605039806
21212,0.547850333
21213,0.377075391
21221,0.510956758
21222,0.459832887
21223,0.302415324
21231,0.245965378
21232,0.20555236
21233,0.075303016
21311,0.439081553
21312,0.391579411
21313,0.242842661
21321,0.360218302
21322,0.31598967
21323,0.175548158
21331,0.124011003
21332,0.086821889
21333,-0.034396434
22111,0.606622682
22112,0.549314397
22113,0.378292517
22121,0.512356066
22122,0.461154234
22123,0.303555601
22131,0.247055669
22132,0.206610352
22133,0.076272433
22211,0.554402541
22212,0.500700047
22213,0.337423377
22221,0.465741644
22222,0.416977861
22223,0.265157438
22231,0.210278153
22232,0.170885335
22233,0.043453413
22311,0.39709419
22312,0.351412601
22313,0.207237171
22321,0.321142831
22322,0.278325527
22323,0.141589405
22331,0.091182262
22332,0.054747902
22333,-0.064303218
23111,0.44481212
23112,0.397046173
23113,0.247659383
23121,0.365528187
23122,0.321097982
23123,0.180133532
23131,0.128438516
23132,0.091144343
23133,-0.03037409
23211,0.401344552
23212,0.355487152
23213,0.210865517
23221,0.325111337
23222,0.282156211
23223,0.145054868
23231,0.09453546
23232,0.058025906
23233,-0.061242002
23311,0.264468229
23312,0.223497459
23313,0.091724001
23321,0.196118086
23322,0.157111185
23323,0.030754895
23331,-0.01638311
23332,-0.050608211
23333,-0.163205565
31111,0.130169453
31112,0.092833988
31113,-0.028802293
31121,0.067744356
31122,0.031824118
31123,-0.085739623
31131,-0.129995352
31132,-0.162242951
31133,-0.268930472
31211,0.096228748
31212,0.059681063
31213,-0.059696706
31221,0.035093754
31222,-0.000142011
31223,-0.115711779
31231,-0.159300274
31232,-0.191086387
31233,-0.296377482
31311,-0.014798885
31312,-0.049053924
31313,-0.161739803
31321,-0.072167934
31322,-0.105382134
31323,-0.214973588
31331,-0.256533047
31332,-0.286907739
31333,-0.387889188
32111,0.097211028
32112,0.060641173
32113,-0.058800446
32121,0.036039699
32122,0.000784599
32123,-0.114841708
32131,-0.15844919
32132,-0.190248453
32133,-0.295579428
32211,0.063968307
32212,0.028129073
32213,-0.089199507
32221,0.003995253
32222,-0.030620451
32223,-0.144370527
32231,-0.187345892
32232,-0.218706765
32233,-0.322705517
32311,-0.045029119
32312,-0.078724849
32313,-0.189752152
32321,-0.101476984
32322,-0.134191593
32323,-0.24228571
32331,-0.283330489
32332,-0.313345305
32333,-0.413218806
33111,-0.010731889
33112,-0.04506411
33113,-0.157978079
33121,-0.068227983
33122,-0.101510933
33123,-0.21130783
33131,-0.252937707
33132,-0.28336158
33133,-0.384494161
33211,-0.041935469
33212,-0.0756873
33213,-0.186881415
33221,-0.098475775
33222,-0.131240605
33223,-0.239485589
33231,-0.280582339
33232,-0.310633529
33233,-0.410619176
33311,-0.144904754
33312,-0.176915306
33313,-0.282886335
33321,-0.198571691
33322,-0.229766638
33323,-0.33325969
33331,-0.372707407
33332,-0.401600963
33333,-0.497999609
