"state","value"
11111,1
11112,0.793054653
11113,0.568446458
11121,0.767965951
11122,0.705034237
11123,0.52880637
11131,0.516127725
11132,0.489606862
11133,0.384893057
11211,0.817021226
11212,0.737905386
11213,0.545255484
11221,0.719124983
11222,0.667879713
11223,0.508098417
11231,0.496121021
11232,0.4709439
11233,0.370296031
11311,0.618425158
11312,0.582693471
11313,0.453440918
11321,0.572413047
11322,0.541390233
11323,0.423984979
11331,0.414277198
11332,0.3935683
11333,0.307412859
12111,0.815239763
12112,0.73680964
12113,0.544737363
12121,0.718127441
12122,0.667085253
12123,0.507632835
12131,0.495670442
12132,0.470522265
12133,0.369963427
12211,0.753447188
12212,0.694379569
12213,0.523087729
12221,0.678932562
12222,0.634971447
12223,0.488073891
12231,0.476713968
12232,0.4527347
12233,0.355823541
12311,0.590712259
12312,0.557946212
12313,0.435992662
12321,0.54842232
12322,0.519463059
12323,0.407701481
12331,0.398348915
12332,0.378355175
12333,0.29466196
13111,0.614710184
13112,0.579401069
13113,0.451155903
13121,0.569227116
13122,0.538492158
13123,0.421857031
13131,0.412196974
13132,0.391583918
13133,0.305756133
13211,0.587924941
13212,0.555434717
13213,0.434187787
13221,0.545982282
13222,0.517220103
13223,0.40601268
13231,0.396695678
13232,0.376773766
13233,0.293330063
13311,0.48585102
13312,0.461319993
13313,0.362674342
13321,0.454006356
13322,0.431311509
13323,0.338526915
13331,0.330461921
13332,0.313094325
13333,0.238787597
21111,0.66640024
21112,0.624379118
21113,0.481321843
21121,0.612567316
21122,0.577498247
21123,0.449830081
21131,0.439508791
21132,0.417574582
21133,0.327293047
21211,0.634367072
21212,0.596724805
21213,0.463047679
21221,0.585968568
21222,0.553669662
21223,0.432915716
21231,0.423003164
21232,0.401883891
21233,0.314333585
21311,0.519047341
21312,0.492320342
21313,0.386994405
21321,0.484402179
21322,0.459960059
21323,0.361592355
21331,0.353133681
21332,0.334957624
21333,0.257703299
22111,0.633669947
22112,0.596114674
22113,0.462634465
22121,0.585379903
22122,0.553138201
22123,0.432532112
22131,0.422628507
22132,0.401527136
22133,0.314037405
22211,0.605135739
22212,0.570878817
22213,0.445188598
22221,0.560971899
22222,0.530962599
22223,0.416293362
22231,0.406756201
22232,0.386390297
22233,0.301410762
22311,0.498428774
22312,0.473102535
22313,0.371996938
22321,0.465568763
22322,0.442234792
22323,0.347381201
22331,0.339168879
22332,0.321498174
22333,0.24608028
23111,0.51632997
23112,0.489794914
23113,0.385038862
23121,0.481929165
23122,0.457637555
23123,0.359741728
23131,0.35131585
23132,0.33320696
23133,0.256195557
23211,0.496312395
23212,0.471122965
23213,0.370437248
23221,0.463626968
23222,0.440402436
23223,0.345900924
23231,0.337713554
23232,0.320094137
23233,0.244863749
23311,0.414433067
23312,0.393716957
23313,0.30753689
23321,0.387477906
23322,0.367948579
23323,0.285875757
23331,0.278600321
23332,0.262868178
23333,0.194681949
31111,0.304327639
31112,0.287818652
31113,0.21669888
31121,0.282797772
31122,0.266943193
31123,0.198291469
31131,0.192067134
31132,0.178539692
31133,0.118935841
31211,0.291935616
31212,0.275808794
31213,0.206126235
31221,0.270900155
31222,0.255388462
31223,0.188043344
31231,0.181924892
31232,0.168621191
31233,0.109909305
31311,0.237527263
31312,0.222912742
31313,0.15902995
31321,0.218450669
31322,0.204309931
31323,0.142280816
31331,0.136599428
31332,0.124222333
31333,0.069244896
32111,0.291652125
32112,0.27553387
32113,0.205883655
32121,0.270627749
32122,0.255123758
32123,0.187808095
32131,0.181692037
32132,0.168393399
32133,0.109701738
32211,0.279555343
32212,0.263795485
32213,0.195503782
32221,0.258994857
32222,0.243813776
32223,0.177737225
32231,0.171722161
32232,0.158637209
32233,0.100801074
32311,0.2263142
32312,0.211981395
32313,0.149198723
32321,0.207602923
32322,0.193720002
32323,0.132706896
32331,0.127110169
32332,0.114913114
32333,0.060668781
33111,0.236073514
33112,0.22149605
33113,0.157757614
33121,0.217044967
33122,0.202938098
33123,0.141042166
33131,0.135371855
33132,0.123018307
33133,0.068136613
33211,0.225139755
33212,0.210835919
33213,0.148166721
33221,0.206466051
33222,0.192609684
33223,0.131701512
33231,0.126113548
33232,0.113935142
33233,0.059766879
33311,0.176569694
33312,0.163381585
33313,0.105132012
33321,0.159344083
33322,0.146516356
33323,0.089714656
33331,0.084472617
33332,0.073031742
33333,0.021892713
