"state","value"
11111,1
11112,0.765999973
11113,0.548999965
11121,0.725999951
11122,0.693999946
11123,0.476999938
11131,0.449999988
11132,0.417999983
11133,0.340000004
11211,0.738999963
11212,0.706999958
11213,0.48999995
11221,0.666999936
11222,0.634999931
11223,0.417999923
11231,0.390999973
11232,0.358999997
11233,0.280999988
11311,0.541000009
11312,0.509000003
11313,0.430999994
11321,0.468999982
11322,0.436999977
11323,0.358999997
11331,0.332000047
11332,0.300000042
11333,0.222000033
12111,0.676999986
12112,0.644999981
12113,0.427999973
12121,0.604999959
12122,0.572999954
12123,0.355999976
12131,0.329000026
12132,0.297000021
12133,0.219000012
12211,0.617999971
12212,0.585999966
12213,0.368999958
12221,0.545999944
12222,0.513999939
12223,0.296999961
12231,0.270000011
12232,0.238000005
12233,0.159999996
12311,0.420000017
12312,0.388000011
12313,0.310000032
12321,0.34800002
12322,0.316000015
12323,0.238000005
12331,0.211000055
12332,0.17900005
12333,0.101000026
13111,0.416999996
13112,0.38499999
13113,0.307000011
13121,0.344999999
13122,0.312999994
13123,0.234999985
13131,0.208000034
13132,0.176000029
13133,0.098000005
13211,0.35800001
13212,0.326000005
13213,0.247999996
13221,0.285999984
13222,0.253999978
13223,0.175999969
13231,0.149000019
13232,0.117000014
13233,0.03899999
13311,0.299000055
13312,0.267000049
13313,0.18900004
13321,0.227000028
13322,0.195000023
13323,0.117000014
13331,0.090000048
13332,0.058000043
13333,-0.01999996
21111,0.676999986
21112,0.644999981
21113,0.427999973
21121,0.604999959
21122,0.572999954
21123,0.355999976
21131,0.329000026
21132,0.297000021
21133,0.219000012
21211,0.617999971
21212,0.585999966
21213,0.368999958
21221,0.545999944
21222,0.513999939
21223,0.296999961
21231,0.270000011
21232,0.238000005
21233,0.159999996
21311,0.420000017
21312,0.388000011
21313,0.310000032
21321,0.34800002
21322,0.316000015
21323,0.238000005
21331,0.211000055
21332,0.17900005
21333,0.101000026
22111,0.555999994
22112,0.523999989
22113,0.307000011
22121,0.483999997
22122,0.451999992
22123,0.234999985
22131,0.208000034
22132,0.176000029
22133,0.098000005
22211,0.497000009
22212,0.465000004
22213,0.247999996
22221,0.424999982
22222,0.392999977
22223,0.175999969
22231,0.149000019
22232,0.117000014
22233,0.03899999
22311,0.299000055
22312,0.267000049
22313,0.18900004
22321,0.227000028
22322,0.195000023
22323,0.117000014
22331,0.090000048
22332,0.058000043
22333,-0.01999996
23111,0.296000034
23112,0.264000028
23113,0.186000019
23121,0.224000007
23122,0.192000002
23123,0.113999993
23131,0.087000027
23132,0.055000022
23133,-0.022999981
23211,0.237000018
23212,0.205000013
23213,0.127000004
23221,0.164999992
23222,0.132999986
23223,0.054999962
23231,0.02800001
23232,-0.003999995
23233,-0.081999995
23311,0.178000063
23312,0.146000057
23313,0.068000033
23321,0.106000051
23322,0.074000046
23323,-0.003999965
23331,-0.030999938
23332,-0.062999941
23333,-0.140999943
31111,0.227000028
31112,0.195000023
31113,0.117000014
31121,0.155000031
31122,0.123000026
31123,0.045000002
31131,0.01800002
31132,-0.013999986
31133,-0.09199997
31211,0.168000013
31212,0.136000007
31213,0.057999983
31221,0.096000001
31222,0.063999996
31223,-0.014000008
31231,-0.040999986
31232,-0.072999991
31233,-0.150999993
31311,0.109000012
31312,0.077000007
31313,-0.001000003
31321,0.037000015
31322,0.005000009
31323,-0.072999991
31331,-0.099999987
31332,-0.131999999
31333,-0.209999993
32111,0.106000021
32112,0.074000016
32113,-0.003999995
32121,0.034000024
32122,0.002000018
32123,-0.075999983
32131,-0.102999978
32132,-0.13499999
32133,-0.212999985
32211,0.047000036
32212,0.015000029
32213,-0.062999971
32221,-0.024999956
32222,-0.056999959
32223,-0.134999961
32231,-0.161999971
32232,-0.193999976
32233,-0.271999985
32311,-0.011999981
32312,-0.043999977
32313,-0.121999972
32321,-0.083999969
32322,-0.115999974
32323,-0.193999976
32331,-0.220999971
32332,-0.252999961
32333,-0.33099997
33111,-0.014999995
33112,-0.046999998
33113,-0.124999993
33121,-0.08699999
33122,-0.118999995
33123,-0.196999997
33131,-0.223999992
33132,-0.255999982
33133,-0.333999991
33211,-0.073999979
33212,-0.105999984
33213,-0.183999985
33221,-0.145999983
33222,-0.177999988
33223,-0.255999982
33231,-0.282999992
33232,-0.314999998
33233,-0.392999977
33311,-0.133000001
33312,-0.165000007
33313,-0.243000001
33321,-0.204999998
33322,-0.236999989
33323,-0.314999998
33331,-0.342000008
33332,-0.374000013
33333,-0.451999992
