"state","value"
11111,1
11112,0.904999971
11113,0.667999983
11121,0.943000019
11122,0.84799999
11123,0.611000001
11131,0.723999977
11132,0.628999949
11133,0.39199999
11211,0.921999991
11212,0.826999962
11213,0.589999974
11221,0.86500001
11222,0.769999981
11223,0.532999992
11231,0.645999968
11232,0.550999939
11233,0.313999981
11311,0.749000013
11312,0.653999984
11313,0.417000026
11321,0.692000031
11322,0.597000003
11323,0.360000044
11331,0.47300002
11332,0.378000021
11333,0.141000018
12111,0.834999979
12112,0.73999995
12113,0.502999961
12121,0.777999997
12122,0.682999969
12123,0.44600001
12131,0.558999956
12132,0.463999957
12133,0.226999953
12211,0.756999969
12212,0.661999941
12213,0.424999982
12221,0.699999988
12222,0.604999959
12223,0.368000001
12231,0.480999976
12232,0.385999978
12233,0.148999974
12311,0.583999991
12312,0.488999993
12313,0.252000004
12321,0.52700001
12322,0.432000011
12323,0.195000008
12331,0.307999998
12332,0.213
12333,-0.024000002
13111,0.660000026
13112,0.564999998
13113,0.328000039
13121,0.603000045
13122,0.508000016
13123,0.271000057
13131,0.384000033
13132,0.289000034
13133,0.052000035
13211,0.582000017
13212,0.487000018
13213,0.25000003
13221,0.525000036
13222,0.430000037
13223,0.193000033
13231,0.306000024
13232,0.211000025
13233,-0.025999976
13311,0.409000039
13312,0.31400004
13313,0.077000037
13321,0.352000028
13322,0.257000029
13323,0.020000027
13331,0.133000046
13332,0.038000047
13333,-0.198999956
21111,0.924000025
21112,0.828999996
21113,0.592000008
21121,0.867000043
21122,0.772000015
21123,0.535000026
21131,0.648000002
21132,0.552999973
21133,0.316000015
21211,0.846000016
21212,0.750999987
21213,0.513999999
21221,0.789000034
21222,0.694000006
21223,0.457000047
21231,0.569999993
21232,0.474999994
21233,0.237999991
21311,0.673000038
21312,0.578000009
21313,0.34100005
21321,0.616000056
21322,0.521000028
21323,0.284000069
21331,0.397000045
21332,0.302000046
21333,0.065000042
22111,0.759000003
22112,0.663999975
22113,0.427000016
22121,0.702000022
22122,0.606999993
22123,0.370000035
22131,0.48300001
22132,0.388000011
22133,0.151000008
22211,0.680999994
22212,0.585999966
22213,0.349000007
22221,0.624000013
22222,0.528999984
22223,0.292000026
22231,0.405000001
22232,0.310000002
22233,0.072999999
22311,0.508000016
22312,0.413000017
22313,0.176000014
22321,0.451000005
22322,0.356000006
22323,0.119000003
22331,0.232000023
22332,0.137000024
22333,-0.099999979
23111,0.584000051
23112,0.489000052
23113,0.252000064
23121,0.52700007
23122,0.432000071
23123,0.195000067
23131,0.308000058
23132,0.213000059
23133,-0.023999942
23211,0.506000042
23212,0.411000043
23213,0.17400004
23221,0.449000031
23222,0.354000032
23223,0.117000028
23231,0.230000049
23232,0.13500005
23233,-0.101999953
23311,0.333000064
23312,0.238000065
23313,0.001000064
23321,0.276000053
23322,0.181000054
23323,-0.055999946
23331,0.057000063
23332,-0.037999935
23333,-0.274999946
31111,0.402999997
31112,0.307999998
31113,0.070999995
31121,0.345999986
31122,0.250999987
31123,0.013999986
31131,0.127000004
31132,0.032000005
31133,-0.204999998
31211,0.324999988
31212,0.229999989
31213,-0.007000012
31221,0.267999977
31222,0.172999978
31223,-0.064000025
31231,0.048999988
31232,-0.046000011
31233,-0.283000022
31311,0.151999995
31312,0.056999996
31313,-0.180000007
31321,0.094999999
31322,-1.19209e-09
31323,-0.237000003
31331,-0.124000005
31332,-0.219000012
31333,-0.456
32111,0.237999991
32112,0.142999992
32113,-0.094000012
32121,0.180999994
32122,0.085999995
32123,-0.151000008
32131,-0.03800001
32132,-0.133000016
32133,-0.370000005
32211,0.159999996
32212,0.064999998
32213,-0.172000006
32221,0.103
32222,0.008
32223,-0.229000002
32231,-0.116000004
32232,-0.21100001
32233,-0.448000014
32311,-0.01300001
32312,-0.10800001
32313,-0.344999999
32321,-0.070000008
32322,-0.165000007
32323,-0.40200001
32331,-0.289000005
32332,-0.384000003
32333,-0.620999992
33111,0.062999994
33112,-0.032000005
33113,-0.268999994
33121,0.005999994
33122,-0.089000009
33123,-0.326000005
33131,-0.213
33132,-0.307999998
33133,-0.545000017
33211,-0.015000006
33212,-0.110000007
33213,-0.347000003
33221,-0.072000004
33222,-0.167000011
33223,-0.404000014
33231,-0.291000009
33232,-0.386000007
33233,-0.623000026
33311,-0.188000008
33312,-0.283000022
33313,-0.519999981
33321,-0.245000005
33322,-0.340000004
33323,-0.577000022
33331,-0.464000016
33332,-0.559000015
33333,-0.796000004
