"state","value"
11111,1
11112,0.84800005
11113,0.414000034
11121,0.796000004
11122,0.725000024
11123,0.291000009
11131,0.264000058
11132,0.193000048
11133,0.028000021
11211,0.883000016
11212,0.812000036
11213,0.378000021
11221,0.75999999
11222,0.68900001
11223,0.254999995
11231,0.228000015
11232,0.157000035
11233,-0.007999993
11311,0.556000054
11312,0.485000074
11313,0.320000052
11321,0.433000028
11322,0.362000048
11323,0.196999997
11331,0.170000046
11332,0.099000029
11333,-0.065999962
12111,0.815000057
12112,0.744000077
12113,0.310000062
12121,0.692000031
12122,0.621000051
12123,0.187000006
12131,0.160000056
12132,0.089000039
12133,-0.075999953
12211,0.779000044
12212,0.708000064
12213,0.274000049
12221,0.656000018
12222,0.585000038
12223,0.150999993
12231,0.124000005
12232,0.052999996
12233,-0.111999996
12311,0.452000082
12312,0.381000102
12313,0.21600005
12321,0.329000056
12322,0.258000076
12323,0.093000017
12331,0.066000037
12332,-0.004999971
12333,-0.169999957
13111,0.436000049
13112,0.365000069
13113,0.200000018
13121,0.313000023
13122,0.242000043
13123,0.076999985
13131,0.050000004
13132,-0.021000003
13133,-0.18599999
13211,0.400000036
13212,0.329000056
13213,0.164000005
13221,0.27700001
13222,0.206
13223,0.040999971
13231,0.013999992
13232,-0.057000019
13233,-0.222000003
13311,0.342000067
13312,0.271000087
13313,0.106000029
13321,0.219000012
13322,0.148000002
13323,-0.016999995
13331,-0.043999977
13332,-0.114999972
13333,-0.279999971
21111,0.850000024
21112,0.779000044
21113,0.345000029
21121,0.726999998
21122,0.656000018
21123,0.221999973
21131,0.195000023
21132,0.124000005
21133,-0.040999986
21211,0.81400001
21212,0.743000031
21213,0.309000015
21221,0.690999985
21222,0.620000005
21223,0.18599996
21231,0.159000009
21232,0.087999992
21233,-0.077
21311,0.487000048
21312,0.416000068
21313,0.251000047
21321,0.364000022
21322,0.293000042
21323,0.127999991
21331,0.101000004
21332,0.029999996
21333,-0.13499999
22111,0.746000051
22112,0.675000072
22113,0.241000056
22121,0.623000026
22122,0.552000046
22123,0.117999993
22131,0.091000013
22132,0.020000005
22133,-0.144999981
22211,0.710000038
22212,0.639000058
22213,0.205000013
22221,0.587000012
22222,0.516000032
22223,0.08199998
22231,0.055
22232,-0.016000008
22233,-0.180999994
22311,0.383000076
22312,0.312000096
22313,0.147000045
22321,0.26000005
22322,0.18900004
22323,0.024000013
22331,-0.002999968
22332,-0.073999979
22333,-0.238999963
23111,0.367000043
23112,0.296000063
23113,0.131000012
23121,0.244000018
23122,0.173000008
23123,0.00799998
23131,-0.018999999
23132,-0.090000011
23133,-0.254999995
23211,0.33100003
23212,0.26000005
23213,0.094999991
23221,0.207999974
23222,0.136999965
23223,-0.028000033
23231,-0.055000015
23232,-0.126000002
23233,-0.291000009
23311,0.273000062
23312,0.202000052
23313,0.037000023
23321,0.150000006
23322,0.078999989
23323,-0.086000003
23331,-0.112999983
23332,-0.183999971
23333,-0.348999977
31111,0.336000025
31112,0.265000045
31113,0.099999987
31121,0.21299997
31122,0.14199996
31123,-0.023000037
31131,-0.050000019
31132,-0.121000014
31133,-0.286000013
31211,0.300000012
31212,0.229000002
31213,0.063999973
31221,0.176999956
31222,0.105999939
31223,-0.059000053
31231,-0.086000033
31232,-0.15700002
31233,-0.322000027
31311,0.242000043
31312,0.171000034
31313,0.006000006
31321,0.11900001
31322,0.048
31323,-0.116999991
31331,-0.143999994
31332,-0.214999989
31333,-0.379999995
32111,0.232000053
32112,0.161000043
32113,-0.003999984
32121,0.10900002
32122,0.03800001
32123,-0.126999974
32131,-0.153999984
32132,-0.224999979
32133,-0.389999986
32211,0.19600001
32212,0.124999993
32213,-0.039999999
32221,0.073000006
32222,0.001999998
32223,-0.162999988
32231,-0.189999998
32232,-0.261000007
32233,-0.425999999
32311,0.138000011
32312,0.066999994
32313,-0.097999997
32321,0.015000009
32322,-0.056000002
32323,-0.220999986
32331,-0.247999996
32332,-0.319000006
32333,-0.483999997
33111,0.122000001
33112,0.050999992
33113,-0.114
33121,-0.000999993
33122,-0.072000004
33123,-0.236999989
33131,-0.263999999
33132,-0.335000008
33133,-0.5
33211,0.085999988
33212,0.014999979
33213,-0.150000006
33221,-0.037000008
33222,-0.108000003
33223,-0.273000002
33231,-0.300000012
33232,-0.371000022
33233,-0.536000013
33311,0.027999992
33312,-0.04300002
33313,-0.208000004
33321,-0.095000006
33322,-0.165999994
33323,-0.331
33331,-0.35800001
33332,-0.42900002
33333,-0.593999982
