"state","value"
11111,1
11112,0.843999982
11113,0.550000012
11121,0.827000022
11122,0.800000012
11123,0.51700002
11131,0.463
11132,0.446999997
11133,0.289999992
11211,0.860000014
11212,0.833000004
11213,0.550000012
11221,0.816000044
11222,0.76700002
11223,0.506000042
11231,0.463
11232,0.436000019
11233,0.290000021
11311,0.625999987
11312,0.610000014
11313,0.452999979
11321,0.592999995
11322,0.565999985
11323,0.419999987
11331,0.365999997
11332,0.349999994
11333,0.223000005
12111,0.824999988
12112,0.797999978
12113,0.514999986
12121,0.781000018
12122,0.731999993
12123,0.471000016
12131,0.427999973
12132,0.400999993
12133,0.254999995
12211,0.81400001
12212,0.764999986
12213,0.504000008
12221,0.748000026
12222,0.677000046
12223,0.438000023
12231,0.416999996
12232,0.368000001
12233,0.244000018
12311,0.590999961
12312,0.56400001
12313,0.417999983
12321,0.546999991
12322,0.497999966
12323,0.373999953
12331,0.33099997
12332,0.30399996
12333,0.187999994
13111,0.528999984
13112,0.513000011
13113,0.355999976
13121,0.495999962
13122,0.468999982
13123,0.322999984
13131,0.268999994
13132,0.252999991
13133,0.126000002
13211,0.528999984
13212,0.501999974
13213,0.356000006
13221,0.485000014
13222,0.436000019
13223,0.312000006
13231,0.268999994
13232,0.242000014
13233,0.126000017
13311,0.431999981
13312,0.415999979
13313,0.288999975
13321,0.398999989
13322,0.371999979
13323,0.255999982
13331,0.202000007
13332,0.186000019
13333,0.088999979
21111,0.853999972
21112,0.826999962
21113,0.54399997
21121,0.810000002
21122,0.760999978
21123,0.5
21131,0.456999958
21132,0.429999977
21133,0.283999979
21211,0.842999995
21212,0.79399997
21213,0.532999992
21221,0.77700001
21222,0.70600003
21223,0.467000008
21231,0.44599998
21232,0.396999985
21233,0.273000002
21311,0.619999945
21312,0.592999995
21313,0.446999967
21321,0.575999975
21322,0.52699995
21323,0.402999938
21331,0.359999955
21332,0.332999945
21333,0.216999978
22111,0.807999969
22112,0.758999944
22113,0.497999966
22121,0.741999984
22122,0.671000004
22123,0.431999981
22131,0.410999954
22132,0.361999959
22133,0.237999976
22211,0.774999976
22212,0.703999996
22213,0.464999974
22221,0.686999977
22222,0.593999982
22223,0.376999974
22231,0.377999961
22232,0.306999981
22233,0.204999983
22311,0.573999941
22312,0.524999917
22313,0.400999933
22321,0.507999957
22322,0.436999947
22323,0.334999949
22331,0.313999951
22332,0.264999956
22333,0.170999959
23111,0.523000002
23112,0.495999992
23113,0.349999994
23121,0.479000002
23122,0.430000007
23123,0.305999994
23131,0.262999982
23132,0.236000001
23133,0.119999968
23211,0.511999965
23212,0.46299997
23213,0.338999987
23221,0.44599998
23222,0.37499997
23223,0.272999972
23231,0.252000004
23232,0.203000009
23233,0.108999982
23311,0.425999999
23312,0.398999989
23313,0.282999992
23321,0.381999969
23322,0.332999974
23323,0.238999978
23331,0.19600001
23332,0.168999985
23333,0.083000012
31111,0.442000002
31112,0.425999999
31113,0.268999994
31121,0.408999979
31122,0.381999999
31123,0.235999987
31131,0.181999996
31132,0.166000009
31133,0.038999982
31211,0.442000002
31212,0.415000021
31213,0.269000024
31221,0.398000032
31222,0.349000037
31223,0.225000024
31231,0.182000011
31232,0.155000031
31233,0.038999997
31311,0.344999999
31312,0.328999996
31313,0.202000007
31321,0.312000006
31322,0.284999996
31323,0.169
31331,0.115000017
31332,0.098999999
31333,0.00200003
32111,0.406999975
32112,0.379999995
32113,0.233999982
32121,0.362999976
32122,0.313999981
32123,0.189999998
32131,0.146999985
32132,0.119999997
32133,0.003999971
32211,0.395999998
32212,0.347000003
32213,0.22299999
32221,0.329999983
32222,0.259000003
32223,0.156999975
32231,0.136000007
32232,0.087000012
32233,-0.007000014
32311,0.310000002
32312,0.282999992
32313,0.167000026
32321,0.266000003
32322,0.217000008
32323,0.122999981
32331,0.080000006
32332,0.052999988
32333,-0.032999981
33111,0.247999996
33112,0.231999993
33113,0.104999997
33121,0.215000004
33122,0.188000023
33123,0.071999989
33131,0.018000016
33132,0.001999997
33133,-0.095000036
33211,0.247999996
33212,0.221000016
33213,0.104999982
33221,0.203999996
33222,0.155000001
33223,0.061000004
33231,0.018000029
33232,-0.008999988
33233,-0.095000021
33311,0.181000009
33312,0.164999992
33313,0.068000011
33321,0.148000032
33322,0.121000007
33323,0.034999978
33331,-0.018999998
33332,-0.034999955
33333,-0.101999983
