"state","value"
11111,1
11112,0.853999972
11113,0.726999998
11121,0.833000004
11122,0.787
11123,0.660000026
11131,0.59799999
11132,0.551999986
11133,0.425000042
11211,0.856999993
11212,0.81099999
11213,0.684000015
11221,0.790000021
11222,0.744000018
11223,0.617000043
11231,0.555000007
11232,0.509000003
11233,0.382000029
11311,0.764999986
11312,0.718999982
11313,0.592000008
11321,0.698000014
11322,0.65200001
11323,0.525000036
11331,0.463000029
11332,0.417000026
11333,0.290000021
12111,0.807999969
12112,0.761999965
12113,0.63499999
12121,0.740999997
12122,0.694999993
12123,0.568000019
12131,0.505999982
12132,0.460000008
12133,0.333000004
12211,0.764999986
12212,0.718999982
12213,0.592000008
12221,0.698000014
12222,0.65200001
12223,0.525000036
12231,0.463000029
12232,0.417000026
12233,0.290000021
12311,0.672999978
12312,0.626999974
12313,0.5
12321,0.606000006
12322,0.560000002
12323,0.433000058
12331,0.371000022
12332,0.325000018
12333,0.198000014
13111,0.66899997
13112,0.622999966
13113,0.496000022
13121,0.601999998
13122,0.555999994
13123,0.42900005
13131,0.367000014
13132,0.32100001
13133,0.194000006
13211,0.625999987
13212,0.579999983
13213,0.453000039
13221,0.559000015
13222,0.513000011
13223,0.386000037
13231,0.324000031
13232,0.278000027
13233,0.151000023
13311,0.533999979
13312,0.488000005
13313,0.361000001
13321,0.467000037
13322,0.421000034
13323,0.29400003
13331,0.232000023
13332,0.186000019
13333,0.059000023
21111,0.843999982
21112,0.797999978
21113,0.671000004
21121,0.77700001
21122,0.731000006
21123,0.604000032
21131,0.541999996
21132,0.496000022
21133,0.369000018
21211,0.800999999
21212,0.754999995
21213,0.628000021
21221,0.734000027
21222,0.688000023
21223,0.561000049
21231,0.499000043
21232,0.453000039
21233,0.326000035
21311,0.708999991
21312,0.662999988
21313,0.536000013
21321,0.64200002
21322,0.596000016
21323,0.469000071
21331,0.407000035
21332,0.361000031
21333,0.234000027
22111,0.751999974
22112,0.70599997
22113,0.578999996
22121,0.685000002
22122,0.638999999
22123,0.512000024
22131,0.450000018
22132,0.404000014
22133,0.27700001
22211,0.708999991
22212,0.662999988
22213,0.536000013
22221,0.64200002
22222,0.596000016
22223,0.469000071
22231,0.407000035
22232,0.361000031
22233,0.234000027
22311,0.616999984
22312,0.57099998
22313,0.444000036
22321,0.550000012
22322,0.504000008
22323,0.377000034
22331,0.315000027
22332,0.269000024
22333,0.142000034
23111,0.612999976
23112,0.566999972
23113,0.440000027
23121,0.546000004
23122,0.5
23123,0.373000026
23131,0.311000019
23132,0.265000015
23133,0.138000026
23211,0.569999993
23212,0.523999989
23213,0.397000015
23221,0.503000021
23222,0.457000047
23223,0.330000043
23231,0.268000036
23232,0.222000033
23233,0.095000036
23311,0.478000015
23312,0.432000011
23313,0.305000007
23321,0.411000043
23322,0.365000039
23323,0.238000035
23331,0.176000029
23332,0.130000025
23333,0.003000022
31111,0.69599998
31112,0.649999976
31113,0.523000002
31121,0.629000008
31122,0.583000004
31123,0.45600006
31131,0.394000024
31132,0.34800002
31133,0.221000016
31211,0.652999997
31212,0.606999993
31213,0.480000049
31221,0.586000025
31222,0.540000021
31223,0.413000077
31231,0.351000041
31232,0.305000037
31233,0.178000033
31311,0.56099999
31312,0.514999986
31313,0.388000011
31321,0.494000047
31322,0.448000044
31323,0.32100004
31331,0.259000033
31332,0.213000029
31333,0.086000033
32111,0.603999972
32112,0.557999969
32113,0.431000024
32121,0.537
32122,0.491000026
32123,0.364000022
32131,0.302000016
32132,0.256000012
32133,0.129000023
32211,0.56099999
32212,0.514999986
32213,0.388000011
32221,0.494000047
32222,0.448000044
32223,0.32100004
32231,0.259000033
32232,0.213000029
32233,0.086000033
32311,0.469000012
32312,0.423000008
32313,0.296000004
32321,0.40200004
32322,0.356000036
32323,0.229000032
32331,0.167000026
32332,0.121000014
32333,-0.005999981
33111,0.465000004
33112,0.419
33113,0.291999996
33121,0.398000002
33122,0.351999998
33123,0.224999994
33131,0.163000017
33132,0.117000006
33133,-0.009999989
33211,0.422000021
33212,0.376000017
33213,0.249000013
33221,0.355000019
33222,0.309000015
33223,0.182000011
33231,0.120000012
33232,0.074000008
33233,-0.052999988
33311,0.330000013
33312,0.284000009
33313,0.157000005
33321,0.263000011
33322,0.217000008
33323,0.090000011
33331,0.028000006
33332,-0.01799999
33333,-0.144999996
