"Version","Name","Name_short","Country_code","VS_code","doi"
"3L","Argentina","Argentina","AR","AR_TTO","10.1111/j.1524-4733.2008.00468.x"
"3L","Argentina (VAS)","Argentina (VAS)","AR","AR_VAS","10.1111/j.1524-4733.2008.00468.x"
"3L","Australia","Australia","AU","AU","10.1016/j.jval.2011.04.009"
"3L","Belgium (VAS)","Belgium (VAS)","BE","BE_VAS","10.1007/s10198-009-0167-0"
"3L","Bermuda","Bermuda","BM","BM","10.1007/s10198-024-01701-2"
"3L","Brazil","Brazil","BR","BR","10.1177/0272989X15613521"
"3L","Canada","Canada","CA","CA","10.1371/journal.pone.0031115"
"3L","Chile","Chile","CL","CL","10.1016/j.jval.2011.09.002."
"3L","China","China","CN","CN","10.1016/j.jval.2014.05.007"
"3L","Germany","Germany","DE","DE_TTO","10.1007/s10198-004-0264-z"
"3L","Germany (VAS)","Germany (VAS)","DE","DE_VAS","https://eq-5dpublications.euroqol.org/download?id=0_53496&fileId=53919"
"3L","Denmark","Denmark","DK","DK","10.1177/1403494809105287"
"3L","Spain","Spain","ES","ES","10.1177/0272989X0102100102"
"3L","Finland (VAS)","Finland (VAS)","FI","FI_VAS","https://eq-5dpublications.euroqol.org/download?id=0_53500&fileId=53923"
"3L","France","France","FR","FR","10.1007/s10198-011-0351-x"
"3L","Hungary","Hungary","HU","HU","10.1016/j.jval.2020.03.019"
"3L","Iran (Islamic Republic of)","Iran","IR","IR","10.5812/ircmj.21584"
"3L","Italy","Italy","IT","IT","10.1016/j.jval.2013.04.008"
"3L","Jordan","Jordan","JO","JO","10.1007/s10198-024-01712-z"
"3L","Japan","Japan","JP","JP","10.1002/hec.673"
"3L","Republic of Korea","Korea","KR","KR","10.1111/j.1524-4733.2009.00579.x"
"3L","Sri Lanka","Sri Lanka","LK","LK","10.1007/s11136-014-0906-2"
"3L","Malaysia (VAS)","Malaysia (VAS)","MY","MY_VAS","10.1016/j.jval.2011.11.024"
"3L","Netherlands_2006","Netherlands_2006","NL","NL_2006","10.1002/hec.1124"
"3L","New Zealand (VAS)","New Zealand (VAS)","NZ","NZ_VAS","10.1002/hec.741"
"3L","Pakistan","Pakistan","PK","PK","10.1007/s41669-023-00437-8"
"3L","Poland","Poland","PL","PL","10.1111/j.1524-4733.2009.00596.x"
"3L","Portugal","Portugal","PT","PT","10.1007/s11136-013-0448-z"
"3L","Sweden","Sweden","SE","SE","10.1007/s11136-013-0496-4"
"3L","Singapore","Singapore","SG","SG","10.1007/s40273-014-0142-1"
"3L","Slovenia","Slovenia","SI","SI_TTO","10.2478/sjph-2020-0002"
"3L","Slovenia (VAS)","Slovenia (VAS)","SI","SI_VAS","10.2478/sjph-2020-0003"
"3L","Thailand","Thailand","TH","TH","10.1016/j.jval.2011.06.005"
"3L","Tunisia","Tunisia","TN","TN","10.1007/s11136-020-02730-z"
"3L","Trinidad and Tobago","Trinidad and Tobago","TT","TT","10.1016/j.vhri.2016.07.010"
"3L","Taiwan","Taiwan","TW","TW","10.1016/j.jfma.2012.12.015"
"3L","United Kingdom of Great Britain and Northern Ireland","United Kingdom","UK","UK","10.1097/00005650-199711000-00002"
"3L","United States of America","USA","US","US","10.1097/00005650-200503000-00003"
"3L","Zimbabwe","Zimbabwe","ZW","ZW","10.1186/1478-7954-1-11"
"3L","Netherlands_2026","Netherlands_2026","NL","NL_2026","10.1007/s10198-025-01892-2"
