state,value
11111,1
11112,0.938
11113,0.871
11114,0.732
11115,0.643
11121,0.953
11122,0.891
11123,0.824
11124,0.685
11125,0.596
11131,0.928
11132,0.866
11133,0.799
11134,0.66
11135,0.571
11141,0.739
11142,0.677
11143,0.61
11144,0.471
11145,0.382
11151,0.641
11152,0.579
11153,0.512
11154,0.373
11155,0.284
11211,0.962
11212,0.9
11213,0.833
11214,0.694
11215,0.605
11221,0.915
11222,0.853
11223,0.786
11224,0.647
11225,0.558
11231,0.89
11232,0.828
11233,0.761
11234,0.622
11235,0.533
11241,0.701
11242,0.639
11243,0.572
11244,0.433
11245,0.344
11251,0.603
11252,0.541
11253,0.474
11254,0.335
11255,0.246
11311,0.938
11312,0.876
11313,0.809
11314,0.67
11315,0.581
11321,0.891
11322,0.829
11323,0.762
11324,0.623
11325,0.534
11331,0.866
11332,0.804
11333,0.737
11334,0.598
11335,0.509
11341,0.677
11342,0.615
11343,0.548
11344,0.409
11345,0.32
11351,0.579
11352,0.517
11353,0.45
11354,0.311
11355,0.222
11411,0.841
11412,0.779
11413,0.712
11414,0.573
11415,0.484
11421,0.794
11422,0.732
11423,0.665
11424,0.526
11425,0.437
11431,0.769
11432,0.707
11433,0.64
11434,0.501
11435,0.412
11441,0.58
11442,0.518
11443,0.451
11444,0.312
11445,0.223
11451,0.482
11452,0.42
11453,0.353
11454,0.214
11455,0.125
11511,0.768
11512,0.706
11513,0.639
11514,0.5
11515,0.411
11521,0.721
11522,0.659
11523,0.592
11524,0.453
11525,0.364
11531,0.696
11532,0.634
11533,0.567
11534,0.428
11535,0.339
11541,0.507
11542,0.445
11543,0.378
11544,0.239
11545,0.15
11551,0.409
11552,0.347
11553,0.28
11554,0.141
11555,0.052
12111,0.943
12112,0.881
12113,0.814
12114,0.675
12115,0.586
12121,0.896
12122,0.834
12123,0.767
12124,0.628
12125,0.539
12131,0.871
12132,0.809
12133,0.742
12134,0.603
12135,0.514
12141,0.682
12142,0.62
12143,0.553
12144,0.414
12145,0.325
12151,0.584
12152,0.522
12153,0.455
12154,0.316
12155,0.227
12211,0.905
12212,0.843
12213,0.776
12214,0.637
12215,0.548
12221,0.858
12222,0.796
12223,0.729
12224,0.59
12225,0.501
12231,0.833
12232,0.771
12233,0.704
12234,0.565
12235,0.476
12241,0.644
12242,0.582
12243,0.515
12244,0.376
12245,0.287
12251,0.546
12252,0.484
12253,0.417
12254,0.278
12255,0.189
12311,0.881
12312,0.819
12313,0.752
12314,0.613
12315,0.524
12321,0.834
12322,0.772
12323,0.705
12324,0.566
12325,0.477
12331,0.809
12332,0.747
12333,0.68
12334,0.541
12335,0.452
12341,0.62
12342,0.558
12343,0.491
12344,0.352
12345,0.263
12351,0.522
12352,0.46
12353,0.393
12354,0.254
12355,0.165
12411,0.784
12412,0.722
12413,0.655
12414,0.516
12415,0.427
12421,0.737
12422,0.675
12423,0.608
12424,0.469
12425,0.38
12431,0.712
12432,0.65
12433,0.583
12434,0.444
12435,0.355
12441,0.523
12442,0.461
12443,0.394
12444,0.255
12445,0.166
12451,0.425
12452,0.363
12453,0.296
12454,0.157
12455,0.068
12511,0.711
12512,0.649
12513,0.582
12514,0.443
12515,0.354
12521,0.664
12522,0.602
12523,0.535
12524,0.396
12525,0.307
12531,0.639
12532,0.577
12533,0.51
12534,0.371
12535,0.282
12541,0.45
12542,0.388
12543,0.321
12544,0.182
12545,0.093
12551,0.352
12552,0.29
12553,0.223
12554,0.084
12555,-0.005
13111,0.918
13112,0.856
13113,0.789
13114,0.65
13115,0.561
13121,0.871
13122,0.809
13123,0.742
13124,0.603
13125,0.514
13131,0.846
13132,0.784
13133,0.717
13134,0.578
13135,0.489
13141,0.657
13142,0.595
13143,0.528
13144,0.389
13145,0.3
13151,0.559
13152,0.497
13153,0.43
13154,0.291
13155,0.202
13211,0.88
13212,0.818
13213,0.751
13214,0.612
13215,0.523
13221,0.833
13222,0.771
13223,0.704
13224,0.565
13225,0.476
13231,0.808
13232,0.746
13233,0.679
13234,0.54
13235,0.451
13241,0.619
13242,0.557
13243,0.49
13244,0.351
13245,0.262
13251,0.521
13252,0.459
13253,0.392
13254,0.253
13255,0.164
13311,0.856
13312,0.794
13313,0.727
13314,0.588
13315,0.499
13321,0.809
13322,0.747
13323,0.68
13324,0.541
13325,0.452
13331,0.784
13332,0.722
13333,0.655
13334,0.516
13335,0.427
13341,0.595
13342,0.533
13343,0.466
13344,0.327
