"state","value"
11111,1
11112,0.968
11113,0.934
11114,0.762
11115,0.609
11121,0.956
11122,0.924
11123,0.89
11124,0.718
11125,0.565
11131,0.919
11132,0.887
11133,0.853
11134,0.681
11135,0.528
11141,0.724
11142,0.692
11143,0.658
11144,0.486
11145,0.333
11151,0.562
11152,0.53
11153,0.496
11154,0.324
11155,0.324
11211,1
11212,0.968
11213,0.934
11214,0.762
11215,0.609
11221,0.956
11222,0.924
11223,0.89
11224,0.718
11225,0.565
11231,0.919
11232,0.887
11233,0.853
11234,0.681
11235,0.528
11241,0.724
11242,0.692
11243,0.658
11244,0.486
11245,0.333
11251,0.562
11252,0.53
11253,0.496
11254,0.324
11255,0.324
11311,0.945
11312,0.913
11313,0.879
11314,0.707
11315,0.554
11321,0.901
11322,0.869
11323,0.835
11324,0.663
11325,0.51
11331,0.864
11332,0.832
11333,0.798
11334,0.626
11335,0.473
11341,0.669
11342,0.637
11343,0.603
11344,0.431
11345,0.278
11351,0.507
11352,0.475
11353,0.441
11354,0.269
11355,0.269
11411,0.838
11412,0.806
11413,0.772
11414,0.6
11415,0.447
11421,0.794
11422,0.762
11423,0.728
11424,0.556
11425,0.403
11431,0.757
11432,0.725
11433,0.691
11434,0.519
11435,0.366
11441,0.562
11442,0.53
11443,0.496
11444,0.324
11445,0.171
11451,0.4
11452,0.368
11453,0.334
11454,0.162
11455,0.162
11511,0.685
11512,0.653
11513,0.619
11514,0.447
11515,0.447
11521,0.641
11522,0.609
11523,0.575
11524,0.403
11525,0.403
11531,0.604
11532,0.572
11533,0.538
11534,0.366
11535,0.366
11541,0.409
11542,0.377
11543,0.343
11544,0.171
11545,0.171
11551,0.4
11552,0.368
11553,0.334
11554,0.162
11555,0.162
12111,0.97
12112,0.938
12113,0.904
12114,0.732
12115,0.579
12121,0.926
12122,0.894
12123,0.86
12124,0.688
12125,0.535
12131,0.889
12132,0.857
12133,0.823
12134,0.651
12135,0.498
12141,0.694
12142,0.662
12143,0.628
12144,0.456
12145,0.303
12151,0.532
12152,0.5
12153,0.466
12154,0.294
12155,0.294
12211,0.97
12212,0.938
12213,0.904
12214,0.732
12215,0.579
12221,0.926
12222,0.894
12223,0.86
12224,0.688
12225,0.535
12231,0.889
12232,0.857
12233,0.823
12234,0.651
12235,0.498
12241,0.694
12242,0.662
12243,0.628
12244,0.456
12245,0.303
12251,0.532
12252,0.5
12253,0.466
12254,0.294
12255,0.294
12311,0.915
12312,0.883
12313,0.849
12314,0.677
12315,0.524
12321,0.871
12322,0.839
12323,0.805
12324,0.633
12325,0.48
12331,0.834
12332,0.802
12333,0.768
12334,0.596
12335,0.443
12341,0.639
12342,0.607
12343,0.573
12344,0.401
12345,0.248
12351,0.477
12352,0.445
12353,0.411
12354,0.239
12355,0.239
12411,0.808
12412,0.776
12413,0.742
12414,0.57
12415,0.417
12421,0.764
12422,0.732
12423,0.698
12424,0.526
12425,0.373
12431,0.727
12432,0.695
12433,0.661
12434,0.489
12435,0.336
12441,0.532
12442,0.5
12443,0.466
12444,0.294
12445,0.141
12451,0.37
12452,0.338
12453,0.304
12454,0.132
12455,0.132
12511,0.655
12512,0.623
12513,0.589
12514,0.417
12515,0.417
12521,0.611
12522,0.579
12523,0.545
12524,0.373
12525,0.373
12531,0.574
12532,0.542
12533,0.508
12534,0.336
12535,0.336
12541,0.379
12542,0.347
12543,0.313
12544,0.141
12545,0.141
12551,0.37
12552,0.338
12553,0.304
12554,0.132
12555,0.132
13111,0.942
13112,0.91
13113,0.876
13114,0.704
13115,0.551
13121,0.898
13122,0.866
13123,0.832
13124,0.66
13125,0.507
13131,0.861
13132,0.829
13133,0.795
13134,0.623
13135,0.47
13141,0.666
13142,0.634
13143,0.6
13144,0.428
13145,0.275
13151,0.504
13152,0.472
13153,0.438
13154,0.266
13155,0.266
