"state","value"
11111,1
11112,0.900979
11113,0.848738
11114,0.616068
11115,0.523
11121,0.895002
11122,0.833981
11123,0.78174
11124,0.54907
11125,0.456002
11131,0.837644
11132,0.776623
11133,0.724382
11134,0.491712
11135,0.398644
11141,0.582184
11142,0.521163
11143,0.468922
11144,0.236252
11145,0.143184
11151,0.48
11152,0.418979
11153,0.366738
11154,0.134068
11155,0.041
11211,0.936841
11212,0.87582
11213,0.823579
11214,0.590909
11215,0.497841
11221,0.869843
11222,0.808822
11223,0.756581
11224,0.523911
11225,0.430843
11231,0.812485
11232,0.751464
11233,0.699223
11234,0.466553
11235,0.373485
11241,0.557025
11242,0.496004
11243,0.443763
11244,0.211093
11245,0.118025
11251,0.454841
11252,0.39382
11253,0.341579
11254,0.108909
11255,0.015841
11311,0.915302
11312,0.854281
11313,0.80204
11314,0.56937
11315,0.476302
11321,0.848304
11322,0.787283
11323,0.735042
11324,0.502372
11325,0.409304
11331,0.790946
11332,0.729925
11333,0.677684
11334,0.445014
11335,0.351946
11341,0.535486
11342,0.474465
11343,0.422224
11344,0.189554
11345,0.096486
11351,0.433302
11352,0.372281
11353,0.32004
11354,0.08737
11355,-0.005698
11411,0.819372
11412,0.758351
11413,0.70611
11414,0.47344
11415,0.380372
11421,0.752374
11422,0.691353
11423,0.639112
11424,0.406442
11425,0.313374
11431,0.695016
11432,0.633995
11433,0.581754
11434,0.349084
11435,0.256016
11441,0.439556
11442,0.378535
11443,0.326294
11444,0.093624
11445,0.000556
11451,0.337372
11452,0.276351
11453,0.22411
11454,-0.00856
11455,-0.101628
11511,0.781
11512,0.719979
11513,0.667738
11514,0.435068
11515,0.342
11521,0.714002
11522,0.652981
11523,0.60074
11524,0.36807
11525,0.275002
11531,0.656644
11532,0.595623
11533,0.543382
11534,0.310712
11535,0.217644
11541,0.401184
11542,0.340163
11543,0.287922
11544,0.055252
11545,-0.037816
11551,0.299
11552,0.237979
11553,0.185738
11554,-0.046932
11555,-0.14
12111,0.938926
12112,0.877905
12113,0.825664
12114,0.592994
12115,0.499926
12121,0.871928
12122,0.810907
12123,0.758666
12124,0.525996
12125,0.432928
12131,0.81457
12132,0.753549
12133,0.701308
12134,0.468638
12135,0.37557
12141,0.55911
12142,0.498089
12143,0.445848
12144,0.213178
12145,0.12011
12151,0.456926
12152,0.395905
12153,0.343664
12154,0.110994
12155,0.017926
12211,0.913767
12212,0.852746
12213,0.800505
12214,0.567835
12215,0.474767
12221,0.846769
12222,0.785748
12223,0.733507
12224,0.500837
12225,0.407769
12231,0.789411
12232,0.72839
12233,0.676149
12234,0.443479
12235,0.350411
12241,0.533951
12242,0.47293
12243,0.420689
12244,0.188019
12245,0.094951
12251,0.431767
12252,0.370746
12253,0.318505
12254,0.085835
12255,-0.007233
12311,0.892228
12312,0.831207
12313,0.778966
12314,0.546296
12315,0.453228
12321,0.82523
12322,0.764209
12323,0.711968
12324,0.479298
12325,0.38623
12331,0.767872
12332,0.706851
12333,0.65461
12334,0.42194
12335,0.328872
12341,0.512412
12342,0.451391
12343,0.39915
12344,0.16648
12345,0.073412
12351,0.410228
12352,0.349207
12353,0.296966
12354,0.064296
12355,-0.028772
12411,0.796298
12412,0.735277
12413,0.683036
12414,0.450366
12415,0.357298
12421,0.7293
12422,0.668279
12423,0.616038
12424,0.383368
12425,0.2903
12431,0.671942
