"state","value"
11111,1
11112,0.97
11113,0.918
11114,0.776
11115,0.644
11121,0.943
11122,0.913
11123,0.861
11124,0.719
11125,0.587
11131,0.891
11132,0.861
11133,0.809
11134,0.667
11135,0.535
11141,0.596
11142,0.566
11143,0.514
11144,0.372
11145,0.24
11151,0.388
11152,0.358
11153,0.306
11154,0.164
11155,0.032
11211,0.964
11212,0.934
11213,0.882
11214,0.74
11215,0.608
11221,0.907
11222,0.877
11223,0.825
11224,0.683
11225,0.551
11231,0.855
11232,0.825
11233,0.773
11234,0.631
11235,0.499
11241,0.56
11242,0.53
11243,0.478
11244,0.336
11245,0.204
11251,0.352
11252,0.322
11253,0.27
11254,0.128
11255,-0.004
11311,0.951
11312,0.921
11313,0.869
11314,0.727
11315,0.595
11321,0.894
11322,0.864
11323,0.812
11324,0.67
11325,0.538
11331,0.842
11332,0.812
11333,0.76
11334,0.618
11335,0.486
11341,0.547
11342,0.517
11343,0.465
11344,0.323
11345,0.191
11351,0.339
11352,0.309
11353,0.257
11354,0.115
11355,-0.017
11411,0.871
11412,0.841
11413,0.789
11414,0.647
11415,0.515
11421,0.814
11422,0.784
11423,0.732
11424,0.59
11425,0.458
11431,0.762
11432,0.732
11433,0.68
11434,0.538
11435,0.406
11441,0.467
11442,0.437
11443,0.385
11444,0.243
11445,0.111
11451,0.259
11452,0.229
11453,0.177
11454,0.035
11455,-0.097
11511,0.791
11512,0.761
11513,0.709
11514,0.567
11515,0.435
11521,0.734
11522,0.704
11523,0.652
11524,0.51
11525,0.378
11531,0.682
11532,0.652
11533,0.6
11534,0.458
11535,0.326
11541,0.387
11542,0.357
11543,0.305
11544,0.163
11545,0.031
11551,0.179
11552,0.149
11553,0.097
11554,-0.045
11555,-0.177
12111,0.95
12112,0.92
12113,0.868
12114,0.726
12115,0.594
12121,0.893
12122,0.863
12123,0.811
12124,0.669
12125,0.537
12131,0.841
12132,0.811
12133,0.759
12134,0.617
12135,0.485
12141,0.546
12142,0.516
12143,0.464
12144,0.322
12145,0.19
12151,0.338
12152,0.308
12153,0.256
12154,0.114
12155,-0.018
12211,0.914
12212,0.884
12213,0.832
12214,0.69
12215,0.558
12221,0.857
12222,0.827
12223,0.775
12224,0.633
12225,0.501
12231,0.805
12232,0.775
12233,0.723
12234,0.581
12235,0.449
12241,0.51
12242,0.48
12243,0.428
12244,0.286
12245,0.154
12251,0.302
12252,0.272
12253,0.22
12254,0.078
12255,-0.054
12311,0.901
12312,0.871
12313,0.819
12314,0.677
12315,0.545
12321,0.844
12322,0.814
12323,0.762
12324,0.62
12325,0.488
12331,0.792
12332,0.762
12333,0.71
12334,0.568
12335,0.436
12341,0.497
12342,0.467
12343,0.415
12344,0.273
12345,0.141
12351,0.289
12352,0.259
12353,0.207
12354,0.065
12355,-0.067
12411,0.821
12412,0.791
12413,0.739
12414,0.597
12415,0.465
12421,0.764
12422,0.734
12423,0.682
12424,0.54
12425,0.408
12431,0.712
12432,0.682
12433,0.63
12434,0.488
12435,0.356
12441,0.417
12442,0.387
12443,0.335
12444,0.193
12445,0.061
12451,0.209
12452,0.179
12453,0.127
12454,-0.015
12455,-0.147
12511,0.741
12512,0.711
12513,0.659
12514,0.517
12515,0.385
12521,0.684
12522,0.654
12523,0.602
12524,0.46
12525,0.328
12531,0.632
12532,0.602
12533,0.55
12534,0.408
12535,0.276
12541,0.337
12542,0.307
12543,0.255
12544,0.113
12545,-0.019
12551,0.129
12552,0.099
12553,0.047
12554,-0.095
12555,-0.227
13111,0.944
13112,0.914
13113,0.862
13114,0.72
13115,0.588
13121,0.887
13122,0.857
13123,0.805
13124,0.663
13125,0.531
13131,0.835
13132,0.805
13133,0.753
13134,0.611
13135,0.479
13141,0.54
13142,0.51
13143,0.458
13144,0.316
13145,0.184
13151,0.332
13152,0.302
13153,0.25
13154,0.108
13155,-0.024
13211,0.908
13212,0.878
13213,0.826
13214,0.684
13215,0.552
13221,0.851
13222,0.821
13223,0.769
13224,0.627
13225,0.495
13231,0.799
13232,0.769
13233,0.717
13234,0.575
13235,0.443
13241,0.504
13242,0.474
13243,0.422
13244,0.28
13245,0.148
13251,0.296
13252,0.266
13253,0.214
13254,0.072
13255,-0.06
13311,0.895
13312,0.865
13313,0.813
13314,0.671
13315,0.539
13321,0.838
13322,0.808
13323,0.756
13324,0.614
13325,0.482
13331,0.786
13332,0.756
13333,0.704
13334,0.562
13335,0.43
13341,0.491
13342,0.461
13343,0.409
13344,0.267
13345,0.135
13351,0.283
13352,0.253
13353,0.201
13354,0.059
13355,-0.073
13411,0.815
13412,0.785
13413,0.733
13414,0.591
13415,0.459
13421,0.758
13422,0.728
13423,0.676
13424,0.534
13425,0.402
13431,0.706
13432,0.676
13433,0.624
13434,0.482
13435,0.35
13441,0.411
13442,0.381
13443,0.329
13444,0.187
13445,0.055
13451,0.203
13452,0.173
13453,0.121
13454,-0.021
13455,-0.153
13511,0.735
13512,0.705
13513,0.653
13514,0.511
13515,0.379
13521,0.678
13522,0.648
13523,0.596
13524,0.454
13525,0.322
13531,0.626
13532,0.596
13533,0.544
13534,0.402
13535,0.27
13541,0.331
13542,0.301
13543,0.249
13544,0.107
13545,-0.025
13551,0.123
13552,0.093
13553,0.041
13554,-0.101
13555,-0.233
14111,0.831
14112,0.801
14113,0.749
14114,0.607
14115,0.475
14121,0.774
14122,0.744
14123,0.692
14124,0.55
14125,0.418
14131,0.722
14132,0.692
14133,0.64
14134,0.498
14135,0.366
14141,0.427
14142,0.397
14143,0.345
14144,0.203
14145,0.071
14151,0.219
14152,0.189
14153,0.137
