"state","value"
11111,1
11112,0.928
11113,0.809
11114,0.57
11115,0.382
11121,0.952
11122,0.88
11123,0.761
11124,0.522
11125,0.334
11131,0.906
11132,0.834
11133,0.715
11134,0.476
11135,0.288
11141,0.619
11142,0.547
11143,0.428
11144,0.189
11145,0.001
11151,0.463
11152,0.391
11153,0.272
11154,0.033
11155,-0.155
11211,0.967
11212,0.895
11213,0.776
11214,0.537
11215,0.349
11221,0.919
11222,0.847
11223,0.728
11224,0.489
11225,0.301
11231,0.873
11232,0.801
11233,0.682
11234,0.443
11235,0.255
11241,0.586
11242,0.514
11243,0.395
11244,0.156
11245,-0.032
11251,0.43
11252,0.358
11253,0.239
11254,-5.551e-17
11255,-0.188
11311,0.96
11312,0.888
11313,0.769
11314,0.53
11315,0.342
11321,0.912
11322,0.84
11323,0.721
11324,0.482
11325,0.294
11331,0.866
11332,0.794
11333,0.675
11334,0.436
11335,0.248
11341,0.579
11342,0.507
11343,0.388
11344,0.149
11345,-0.039
11351,0.423
11352,0.351
11353,0.232
11354,-0.007
11355,-0.195
11411,0.861
11412,0.789
11413,0.67
11414,0.431
11415,0.243
11421,0.813
11422,0.741
11423,0.622
11424,0.383
11425,0.195
11431,0.767
11432,0.695
11433,0.576
11434,0.337
11435,0.149
11441,0.48
11442,0.408
11443,0.289
11444,0.05
11445,-0.138
11451,0.324
11452,0.252
11453,0.133
11454,-0.106
11455,-0.294
11511,0.826
11512,0.754
11513,0.635
11514,0.396
11515,0.208
11521,0.778
11522,0.706
11523,0.587
11524,0.348
11525,0.16
11531,0.732
11532,0.66
11533,0.541
11534,0.302
11535,0.114
11541,0.445
11542,0.373
11543,0.254
11544,0.015
11545,-0.173
11551,0.289
11552,0.217
11553,0.098
11554,-0.141
11555,-0.329
12111,0.965
12112,0.893
12113,0.774
12114,0.535
12115,0.347
12121,0.917
12122,0.845
12123,0.726
12124,0.487
12125,0.299
12131,0.871
12132,0.799
12133,0.68
12134,0.441
12135,0.253
12141,0.584
12142,0.512
12143,0.393
12144,0.154
12145,-0.034
12151,0.428
12152,0.356
12153,0.237
12154,-0.002
12155,-0.19
12211,0.932
12212,0.86
12213,0.741
12214,0.502
12215,0.314
12221,0.884
12222,0.812
12223,0.693
12224,0.454
12225,0.266
12231,0.838
12232,0.766
12233,0.647
12234,0.408
12235,0.22
12241,0.551
12242,0.479
12243,0.36
12244,0.121
12245,-0.067
12251,0.395
12252,0.323
12253,0.204
12254,-0.035
12255,-0.223
12311,0.925
12312,0.853
12313,0.734
12314,0.495
12315,0.307
12321,0.877
12322,0.805
12323,0.686
12324,0.447
12325,0.259
12331,0.831
12332,0.759
12333,0.64
12334,0.401
12335,0.213
12341,0.544
12342,0.472
12343,0.353
12344,0.114
12345,-0.074
12351,0.388
12352,0.316
12353,0.197
12354,-0.042
12355,-0.23
12411,0.826
12412,0.754
12413,0.635
12414,0.396
12415,0.208
12421,0.778
12422,0.706
12423,0.587
12424,0.348
12425,0.16
12431,0.732
12432,0.66
12433,0.541
12434,0.302
12435,0.114
12441,0.445
12442,0.373
12443,0.254
12444,0.015
12445,-0.173
12451,0.289
12452,0.217
12453,0.098
12454,-0.141
12455,-0.329
12511,0.791
12512,0.719
12513,0.6
12514,0.361
12515,0.173
12521,0.743
12522,0.671
12523,0.552
12524,0.313
12525,0.125
12531,0.697
12532,0.625
12533,0.506
12534,0.267
12535,0.079
12541,0.41
12542,0.338
12543,0.219
12544,-0.02
12545,-0.208
12551,0.254
12552,0.182
12553,0.063
12554,-0.176
12555,-0.364
13111,0.95
13112,0.878
13113,0.759
13114,0.52
13115,0.332
13121,0.902
13122,0.83
13123,0.711
13124,0.472
13125,0.284
13131,0.856
