"state","value"
11111,1
11112,0.9741
11113,0.9152
11114,0.7013
11115,0.5422
11121,0.9639
11122,0.938
11123,0.8791
11124,0.6652
11125,0.5061
11131,0.9484
11132,0.9225
11133,0.8636
11134,0.6497
11135,0.4906
11141,0.7297
11142,0.7038
11143,0.6449
11144,0.431
11145,0.2719
11151,0.5936
11152,0.5677
11153,0.5088
11154,0.2949
11155,0.1358
11211,0.9677
11212,0.9418
11213,0.8829
11214,0.669
11215,0.5099
11221,0.9316
11222,0.9057
11223,0.8468
11224,0.6329
11225,0.4738
11231,0.9161
11232,0.8902
11233,0.8313
11234,0.6174
11235,0.4583
11241,0.6974
11242,0.6715
11243,0.6126
11244,0.3987
11245,0.2396
11251,0.5613
11252,0.5354
11253,0.4765
11254,0.2626
11255,0.1035
11311,0.9517
11312,0.9258
11313,0.8669
11314,0.653
11315,0.4939
11321,0.9156
11322,0.8897
11323,0.8308
11324,0.6169
11325,0.4578
11331,0.9001
11332,0.8742
11333,0.8153
11334,0.6014
11335,0.4423
11341,0.6814
11342,0.6555
11343,0.5966
11344,0.3827
11345,0.2236
11351,0.5453
11352,0.5194
11353,0.4605
11354,0.2466
11355,0.0875
11411,0.8426
11412,0.8167
11413,0.7578
11414,0.5439
11415,0.3848
11421,0.8065
11422,0.7806
11423,0.7217
11424,0.5078
11425,0.3487
11431,0.791
11432,0.7651
11433,0.7062
11434,0.4923
11435,0.3332
11441,0.5723
11442,0.5464
11443,0.4875
11444,0.2736
11445,0.1145
11451,0.4362
11452,0.4103
11453,0.3514
11454,0.1375
11455,-0.0216
11511,0.7279
11512,0.702
11513,0.6431
11514,0.4292
11515,0.2701
11521,0.6918
11522,0.6659
11523,0.607
11524,0.3931
11525,0.234
11531,0.6763
11532,0.6504
11533,0.5915
11534,0.3776
11535,0.2185
11541,0.4576
11542,0.4317
11543,0.3728
11544,0.1589
11545,-2e-04
11551,0.3215
11552,0.2956
11553,0.2367
11554,0.0228
11555,-0.1363
12111,0.9765
12112,0.9506
12113,0.8917
12114,0.6778
12115,0.5187
12121,0.9404
12122,0.9145
12123,0.8556
12124,0.6417
12125,0.4826
12131,0.9249
12132,0.899
12133,0.8401
12134,0.6262
12135,0.4671
12141,0.7062
12142,0.6803
12143,0.6214
12144,0.4075
12145,0.2484
12151,0.5701
12152,0.5442
12153,0.4853
12154,0.2714
12155,0.1123
12211,0.9442
12212,0.9183
12213,0.8594
12214,0.6455
12215,0.4864
12221,0.9081
12222,0.8822
12223,0.8233
12224,0.6094
12225,0.4503
12231,0.8926
12232,0.8667
12233,0.8078
12234,0.5939
12235,0.4348
12241,0.6739
12242,0.648
12243,0.5891
12244,0.3752
12245,0.2161
12251,0.5378
12252,0.5119
12253,0.453
12254,0.2391
12255,0.08
12311,0.9282
12312,0.9023
12313,0.8434
12314,0.6295
12315,0.4704
12321,0.8921
12322,0.8662
12323,0.8073
12324,0.5934
12325,0.4343
12331,0.8766
12332,0.8507
12333,0.7918
12334,0.5779
12335,0.4188
12341,0.6579
12342,0.632
12343,0.5731
12344,0.3592
12345,0.2001
12351,0.5218
12352,0.4959
12353,0.437
12354,0.2231
12355,0.064
12411,0.8191
12412,0.7932
12413,0.7343
12414,0.5204
12415,0.3613
12421,0.783
12422,0.7571
12423,0.6982
12424,0.4843
12425,0.3252
12431,0.7675
12432,0.7416
12433,0.6827
12434,0.4688
12435,0.3097
12441,0.5488
12442,0.5229
12443,0.464
12444,0.2501
12445,0.091
12451,0.4127
12452,0.3868
12453,0.3279
12454,0.114
12455,-0.0451
12511,0.7044
12512,0.6785
12513,0.6196
12514,0.4057
12515,0.2466
12521,0.6683
12522,0.6424
12523,0.5835
12524,0.3696
12525,0.2105
12531,0.6528
12532,0.6269
12533,0.568
12534,0.3541
12535,0.195
12541,0.4341
12542,0.4082
12543,0.3493
12544,0.1354
12545,-0.0237
12551,0.298
12552,0.2721
12553,0.2132
12554,-7e-04
12555,-0.1598
13111,0.9605
13112,0.9346
13113,0.8757
13114,0.6618
13115,0.5027
13121,0.9244
13122,0.8985
13123,0.8396
13124,0.6257
13125,0.4666
13131,0.9089
13132,0.883
13133,0.8241
13134,0.6102
13135,0.4511
13141,0.6902
13142,0.6643
13143,0.6054
13144,0.3915
13145,0.2324
13151,0.5541
13152,0.5282
13153,0.4693
13154,0.2554
13155,0.0963
13211,0.9282
13212,0.9023
13213,0.8434
13214,0.6295
13215,0.4704
13221,0.8921
13222,0.8662
13223,0.8073
13224,0.5934
13225,0.4343
13231,0.8766
13232,0.8507
13233,0.7918
13234,0.5779
13235,0.4188
13241,0.6579
13242,0.632
13243,0.5731
13244,0.3592
13245,0.2001
13251,0.5218
13252,0.4959
13253,0.437
13254,0.2231
13255,0.064
13311,0.9122
13312,0.8863
13313,0.8274
13314,0.6135
13315,0.4544
13321,0.8761
13322,0.8502
13323,0.7913
13324,0.5774
13325,0.4183
13331,0.8606
13332,0.8347
13333,0.7758
13334,0.5619
13335,0.4028
13341,0.6419
13342,0.616
13343,0.5571
13344,0.3432
13345,0.1841
13351,0.5058
13352,0.4799
13353,0.421
13354,0.2071
13355,0.048
13411,0.8031
13412,0.7772
13413,0.7183
13414,0.5044
13415,0.3453
13421,0.767
13422,0.7411
13423,0.6822
13424,0.4683
13425,0.3092
13431,0.7515
13432,0.7256
13433,0.6667
13434,0.4528
13435,0.2937
13441,0.5328
13442,0.5069
13443,0.448
13444,0.2341
13445,0.075
13451,0.3967
13452,0.3708
13453,0.3119
13454,0.098
13455,-0.0611
13511,0.6884
13512,0.6625
13513,0.6036
13514,0.3897
13515,0.2306
13521,0.6523
13522,0.6264
13523,0.5675
13524,0.3536
13525,0.1945
13531,0.6368
13532,0.6109
13533,0.552
13534,0.3381
13535,0.179
13541,0.4181
13542,0.3922
13543,0.3333
13544,0.1194
13545,-0.0397
13551,0.282
13552,0.2561
13553,0.1972
13554,-0.0167
13555,-0.1758
14111,0.8581
14112,0.8322
14113,0.7733
14114,0.5594
14115,0.4003
14121,0.822
14122,0.7961
14123,0.7372
14124,0.5233
14125,0.3642
14131,0.8065
14132,0.7806
14133,0.7217
14134,0.5078
14135,0.3487
14141,0.5878
14142,0.5619
14143,0.503
14144,0.2891
14145,0.13
14151,0.4517
14152,0.4258
14153,0.3669
14154,0.153
14155,-0.0061
14211,0.8258
14212,0.7999
14213,0.741
14214,0.5271
14215,0.368
14221,0.7897
14222,0.7638
14223,0.7049
14224,0.491
14225,0.3319
14231,0.7742
14232,0.7483
14233,0.6894
14234,0.4755
14235,0.3164
14241,0.5555
14242,0.5296
14243,0.4707
14244,0.2568
14245,0.0977
14251,0.4194
14252,0.3935
14253,0.3346
14254,0.1207
14255,-0.0384
14311,0.8098
14312,0.7839
14313,0.725
14314,0.5111
14315,0.352
14321,0.7737
14322,0.7478
14323,0.6889
14324,0.475
14325,0.3159
14331,0.7582
14332,0.7323
14333,0.6734
14334,0.4595
14335,0.3004
14341,0.5395
14342,0.5136
14343,0.4547
14344,0.2408
14345,0.0817
14351,0.4034
14352,0.3775
14353,0.3186
14354,0.1047
14355,-0.0544
14411,0.7007
14412,0.6748
14413,0.6159
14414,0.402
14415,0.2429
14421,0.6646
14422,0.6387
14423,0.5798
14424,0.3659
14425,0.2068
14431,0.6491
14432,0.6232
14433,0.5643
14434,0.3504
14435,0.1913
14441,0.4304
14442,0.4045
14443,0.3456
14444,0.1317
14445,-0.0274
14451,0.2943
14452,0.2684
14453,0.2095
14454,-0.0044
14455,-0.1635
14511,0.586
14512,0.5601
14513,0.5012
14514,0.2873
14515,0.1282
14521,0.5499
14522,0.524
14523,0.4651
14524,0.2512
14525,0.0921
14531,0.5344
14532,0.5085
14533,0.4496
14534,0.2357
14535,0.0766
14541,0.3157
14542,0.2898
14543,0.2309
14544,0.017
14545,-0.1421
14551,0.1796
14552,0.1537
14553,0.0948
14554,-0.1191
14555,-0.2782
15111,0.7777
15112,0.7518
15113,0.6929
15114,0.479
15115,0.3199
15121,0.7416
15122,0.7157
15123,0.6568
15124,0.4429
15125,0.2838
15131,0.7261
15132,0.7002
15133,0.6413
15134,0.4274
15135,0.2683
15141,0.5074
15142,0.4815
15143,0.4226
15144,0.2087
15145,0.0496
15151,0.3713
15152,0.3454
15153,0.2865
15154,0.0726
15155,-0.0865
15211,0.7454
15212,0.7195
15213,0.6606
15214,0.4467
15215,0.2876
15221,0.7093
15222,0.6834
15223,0.6245
15224,0.4106
15225,0.2515
15231,0.6938
15232,0.6679
15233,0.609
15234,0.3951
15235,0.236
15241,0.4751
15242,0.4492
15243,0.3903
15244,0.1764
15245,0.0173
15251,0.339
15252,0.3131
15253,0.2542
15254,0.0403
15255,-0.1188
15311,0.7294
15312,0.7035
15313,0.6446
15314,0.4307
15315,0.2716
15321,0.6933
15322,0.6674
15323,0.6085
15324,0.3946
15325,0.2355
15331,0.6778
15332,0.6519
15333,0.593
15334,0.3791
15335,0.22
15341,0.4591
15342,0.4332
15343,0.3743
15344,0.1604
15345,0.0013
15351,0.323
15352,0.2971
15353,0.2382
15354,0.0243
15355,-0.1348
15411,0.6203
15412,0.5944
15413,0.5355
15414,0.3216
15415,0.1625
15421,0.5842
15422,0.5583
15423,0.4994
15424,0.2855
15425,0.1264
15431,0.5687
15432,0.5428
15433,0.4839
15434,0.27
15435,0.1109
15441,0.35
15442,0.3241
15443,0.2652
15444,0.0513
15445,-0.1078
15451,0.2139
15452,0.188
15453,0.1291
15454,-0.0848
15455,-0.2439
15511,0.5056
15512,0.4797
15513,0.4208
15514,0.2069
15515,0.0478
15521,0.4695
15522,0.4436
15523,0.3847
15524,0.1708
15525,0.0117
15531,0.454
15532,0.4281
15533,0.3692
15534,0.1553
15535,-0.0038
15541,0.2353
15542,0.2094
15543,0.1505
15544,-0.0634
15545,-0.2225
15551,0.0992
15552,0.0733
15553,0.0144
15554,-0.1995
15555,-0.3586
21111,0.9663
21112,0.9404
21113,0.8815
21114,0.6676
21115,0.5085
21121,0.9302
21122,0.9043
21123,0.8454
21124,0.6315
21125,0.4724
21131,0.9147
21132,0.8888
21133,0.8299
21134,0.616
21135,0.4569
21141,0.696
21142,0.6701
21143,0.6112
21144,0.3973
21145,0.2382
21151,0.5599
21152,0.534
21153,0.4751
21154,0.2612
21155,0.1021
21211,0.934
21212,0.9081
21213,0.8492
21214,0.6353
21215,0.4762
21221,0.8979
21222,0.872
21223,0.8131
21224,0.5992
21225,0.4401
21231,0.8824
21232,0.8565
21233,0.7976
21234,0.5837
21235,0.4246
21241,0.6637
21242,0.6378
21243,0.5789
21244,0.365
21245,0.2059
21251,0.5276
21252,0.5017
21253,0.4428
21254,0.2289
21255,0.0698
21311,0.918
21312,0.8921
21313,0.8332
21314,0.6193
21315,0.4602
21321,0.8819
21322,0.856
21323,0.7971
21324,0.5832
21325,0.4241
21331,0.8664
21332,0.8405
21333,0.7816
21334,0.5677
21335,0.4086
21341,0.6477
21342,0.6218
21343,0.5629
21344,0.349
21345,0.1899
21351,0.5116
21352,0.4857
21353,0.4268
21354,0.2129
21355,0.0538
21411,0.8089
21412,0.783
21413,0.7241
21414,0.5102
21415,0.3511
21421,0.7728
21422,0.7469
21423,0.688
21424,0.4741
21425,0.315
21431,0.7573
21432,0.7314
21433,0.6725
21434,0.4586
21435,0.2995
21441,0.5386
21442,0.5127
21443,0.4538
21444,0.2399
21445,0.0808
21451,0.4025
21452,0.3766
21453,0.3177
21454,0.1038
21455,-0.0553
21511,0.6942
21512,0.6683
21513,0.6094
21514,0.3955
21515,0.2364
21521,0.6581
21522,0.6322
21523,0.5733
21524,0.3594
21525,0.2003
21531,0.6426
21532,0.6167
21533,0.5578
21534,0.3439
21535,0.1848
21541,0.4239
21542,0.398
21543,0.3391
21544,0.1252
21545,-0.0339
21551,0.2878
21552,0.2619
21553,0.203
21554,-0.0109
21555,-0.17
22111,0.9428
22112,0.9169
22113,0.858
22114,0.6441
22115,0.485
22121,0.9067
22122,0.8808
22123,0.8219
22124,0.608
22125,0.4489
22131,0.8912
22132,0.8653
22133,0.8064
22134,0.5925
22135,0.4334
22141,0.6725
22142,0.6466
22143,0.5877
22144,0.3738
22145,0.2147
22151,0.5364
22152,0.5105
22153,0.4516
22154,0.2377
22155,0.0786
22211,0.9105
22212,0.8846
22213,0.8257
22214,0.6118
22215,0.4527
22221,0.8744
22222,0.8485
22223,0.7896
22224,0.5757
22225,0.4166
22231,0.8589
22232,0.833
22233,0.7741
22234,0.5602
22235,0.4011
22241,0.6402
22242,0.6143
22243,0.5554
22244,0.3415
22245,0.1824
22251,0.5041
22252,0.4782
22253,0.4193
22254,0.2054
22255,0.0463
22311,0.8945
22312,0.8686
22313,0.8097
22314,0.5958
22315,0.4367
22321,0.8584
22322,0.8325
22323,0.7736
22324,0.5597
22325,0.4006
22331,0.8429
22332,0.817
22333,0.7581
22334,0.5442
22335,0.3851
22341,0.6242
22342,0.5983
22343,0.5394
22344,0.3255
22345,0.1664
22351,0.4881
22352,0.4622
22353,0.4033
22354,0.1894
22355,0.0303
22411,0.7854
22412,0.7595
22413,0.7006
22414,0.4867
22415,0.3276
22421,0.7493
22422,0.7234
22423,0.6645
22424,0.4506
22425,0.2915
22431,0.7338
22432,0.7079
22433,0.649
22434,0.4351
22435,0.276
22441,0.5151
22442,0.4892
22443,0.4303
22444,0.2164
22445,0.0573
22451,0.379
22452,0.3531
22453,0.2942
22454,0.0803
22455,-0.0788
22511,0.6707
22512,0.6448
22513,0.5859
22514,0.372
22515,0.2129
22521,0.6346
22522,0.6087
22523,0.5498
22524,0.3359
22525,0.1768
22531,0.6191
22532,0.5932
22533,0.5343
22534,0.3204
22535,0.1613
22541,0.4004
22542,0.3745
22543,0.3156
22544,0.1017
22545,-0.0574
22551,0.2643
22552,0.2384
22553,0.1795
22554,-0.0344
