"state","value"
11111,1
11112,0.968
11113,0.91
11114,0.784
11115,0.727
11121,0.95
11122,0.918
11123,0.86
11124,0.734
11125,0.677
11131,0.914
11132,0.882
11133,0.824
11134,0.698
11135,0.641
11141,0.777
11142,0.745
11143,0.687
11144,0.561
11145,0.504
11151,0.688
11152,0.656
11153,0.598
11154,0.472
11155,0.415
11211,0.963
11212,0.931
11213,0.873
11214,0.747
11215,0.69
11221,0.913
11222,0.881
11223,0.823
11224,0.697
11225,0.64
11231,0.877
11232,0.845
11233,0.787
11234,0.661
11235,0.604
11241,0.74
11242,0.708
11243,0.65
11244,0.524
11245,0.467
11251,0.651
11252,0.619
11253,0.561
11254,0.435
11255,0.378
11311,0.925
11312,0.893
11313,0.835
11314,0.709
11315,0.652
11321,0.875
11322,0.843
11323,0.785
11324,0.659
11325,0.602
11331,0.839
11332,0.807
11333,0.749
11334,0.623
11335,0.566
11341,0.702
11342,0.67
11343,0.612
11344,0.486
11345,0.429
11351,0.613
11352,0.581
11353,0.523
11354,0.397
11355,0.34
11411,0.813
11412,0.781
11413,0.723
11414,0.597
11415,0.54
11421,0.763
11422,0.731
11423,0.673
11424,0.547
11425,0.49
11431,0.727
11432,0.695
11433,0.637
11434,0.511
11435,0.454
11441,0.59
11442,0.558
11443,0.5
11444,0.374
11445,0.317
11451,0.501
11452,0.469
11453,0.411
11454,0.285
11455,0.228
11511,0.732
11512,0.7
11513,0.642
11514,0.516
11515,0.459
11521,0.682
11522,0.65
11523,0.592
11524,0.466
11525,0.409
11531,0.646
11532,0.614
11533,0.556
11534,0.43
11535,0.373
11541,0.509
11542,0.477
11543,0.419
11544,0.293
11545,0.236
11551,0.42
11552,0.388
11553,0.33
11554,0.204
11555,0.147
12111,0.947
12112,0.915
12113,0.857
12114,0.731
12115,0.674
12121,0.897
12122,0.865
12123,0.807
12124,0.681
12125,0.624
12131,0.861
12132,0.829
12133,0.771
12134,0.645
12135,0.588
12141,0.724
12142,0.692
12143,0.634
12144,0.508
12145,0.451
12151,0.635
12152,0.603
12153,0.545
12154,0.419
12155,0.362
12211,0.91
12212,0.878
12213,0.82
12214,0.694
12215,0.637
12221,0.86
12222,0.828
12223,0.77
12224,0.644
12225,0.587
12231,0.824
12232,0.792
12233,0.734
12234,0.608
12235,0.551
12241,0.687
12242,0.655
12243,0.597
12244,0.471
12245,0.414
12251,0.598
12252,0.566
12253,0.508
12254,0.382
12255,0.325
12311,0.872
12312,0.84
12313,0.782
12314,0.656
12315,0.599
12321,0.822
12322,0.79
12323,0.732
12324,0.606
12325,0.549
12331,0.786
12332,0.754
12333,0.696
12334,0.57
12335,0.513
12341,0.649
12342,0.617
12343,0.559
12344,0.433
12345,0.376
12351,0.56
12352,0.528
12353,0.47
12354,0.344
12355,0.287
12411,0.76
12412,0.728
12413,0.67
12414,0.544
12415,0.487
12421,0.71
12422,0.678
12423,0.62
12424,0.494
12425,0.437
12431,0.674
12432,0.642
12433,0.584
12434,0.458
12435,0.401
12441,0.537
12442,0.505
12443,0.447
12444,0.321
12445,0.264
12451,0.448
12452,0.416
12453,0.358
12454,0.232
12455,0.175
12511,0.679
12512,0.647
12513,0.589
12514,0.463
12515,0.406
12521,0.629
12522,0.597
12523,0.539
12524,0.413
12525,0.356
12531,0.593
12532,0.561
12533,0.503
12534,0.377
12535,0.32
12541,0.456
12542,0.424
12543,0.366
12544,0.24
12545,0.183
12551,0.367
12552,0.335
12553,0.277
12554,0.151
12555,0.094
13111,0.911
13112,0.879
13113,0.821
13114,0.695
13115,0.638
13121,0.861
13122,0.829
13123,0.771
13124,0.645
13125,0.588
13131,0.825
13132,0.793
13133,0.735
13134,0.609
13135,0.552
13141,0.688
13142,0.656
13143,0.598
13144,0.472
13145,0.415
13151,0.599
13152,0.567
13153,0.509
13154,0.383
13155,0.326
