"state","value"
11111,1
11112,0.92
11113,0.86
11114,0.707
11115,0.652
11121,0.924
11122,0.844
11123,0.784
11124,0.631
11125,0.576
11131,0.853
11132,0.773
11133,0.713
11134,0.56
11135,0.505
11141,0.693
11142,0.613
11143,0.553
11144,0.4
11145,0.345
11151,0.646
11152,0.566
11153,0.506
11154,0.353
11155,0.298
11211,0.933
11212,0.853
11213,0.793
11214,0.64
11215,0.585
11221,0.857
11222,0.777
11223,0.717
11224,0.564
11225,0.509
11231,0.786
11232,0.706
11233,0.646
11234,0.493
11235,0.438
11241,0.626
11242,0.546
11243,0.486
11244,0.333
11245,0.278
11251,0.579
11252,0.499
11253,0.439
11254,0.286
11255,0.231
11311,0.906
11312,0.826
11313,0.766
11314,0.613
11315,0.558
11321,0.83
11322,0.75
11323,0.69
11324,0.537
11325,0.482
11331,0.759
11332,0.679
11333,0.619
11334,0.466
11335,0.411
11341,0.599
11342,0.519
11343,0.459
11344,0.306
11345,0.251
11351,0.552
11352,0.472
11353,0.412
11354,0.259
11355,0.204
11411,0.766
11412,0.686
11413,0.626
11414,0.473
11415,0.418
11421,0.69
11422,0.61
11423,0.55
11424,0.397
11425,0.342
11431,0.619
11432,0.539
11433,0.479
11434,0.326
11435,0.271
11441,0.459
11442,0.379
11443,0.319
11444,0.166
11445,0.111
11451,0.412
11452,0.332
11453,0.272
11454,0.119
11455,0.064
11511,0.718
11512,0.638
11513,0.578
11514,0.425
11515,0.37
11521,0.642
11522,0.562
11523,0.502
11524,0.349
11525,0.294
11531,0.571
11532,0.491
11533,0.431
11534,0.278
11535,0.223
11541,0.411
11542,0.331
11543,0.271
11544,0.118
11545,0.063
11551,0.364
11552,0.284
11553,0.224
11554,0.071
11555,0.016
12111,0.913
12112,0.833
12113,0.773
12114,0.62
12115,0.565
12121,0.837
12122,0.757
12123,0.697
12124,0.544
12125,0.489
12131,0.766
12132,0.686
12133,0.626
12134,0.473
12135,0.418
12141,0.606
12142,0.526
12143,0.466
12144,0.313
12145,0.258
12151,0.559
12152,0.479
12153,0.419
12154,0.266
12155,0.211
12211,0.846
12212,0.766
12213,0.706
12214,0.553
12215,0.498
12221,0.77
12222,0.69
12223,0.63
12224,0.477
12225,0.422
12231,0.699
12232,0.619
12233,0.559
12234,0.406
12235,0.351
12241,0.539
12242,0.459
12243,0.399
12244,0.246
12245,0.191
12251,0.492
12252,0.412
12253,0.352
12254,0.199
12255,0.144
12311,0.819
12312,0.739
12313,0.679
12314,0.526
12315,0.471
12321,0.743
12322,0.663
12323,0.603
12324,0.45
12325,0.395
12331,0.672
12332,0.592
12333,0.532
12334,0.379
12335,0.324
12341,0.512
12342,0.432
12343,0.372
12344,0.219
12345,0.164
12351,0.465
12352,0.385
12353,0.325
12354,0.172
12355,0.117
12411,0.679
12412,0.599
12413,0.539
12414,0.386
12415,0.331
12421,0.603
12422,0.523
12423,0.463
12424,0.31
12425,0.255
12431,0.532
12432,0.452
12433,0.392
12434,0.239
12435,0.184
12441,0.372
12442,0.292
12443,0.232
12444,0.079
12445,0.024
12451,0.325
12452,0.245
12453,0.185
12454,0.032
12455,-0.023
12511,0.631
12512,0.551
12513,0.491
12514,0.338
12515,0.283
12521,0.555
12522,0.475
12523,0.415
12524,0.262
12525,0.207
12531,0.484
12532,0.404
12533,0.344
12534,0.191
12535,0.136
12541,0.324
12542,0.244
12543,0.184
12544,0.031
12545,-0.024
12551,0.277
12552,0.197
12553,0.137
12554,-0.016
12555,-0.071
13111,0.887
13112,0.807
13113,0.747
13114,0.594
13115,0.539
13121,0.811
13122,0.731
13123,0.671
13124,0.518
13125,0.463
13131,0.74
13132,0.66
13133,0.6
13134,0.447
13135,0.392
13141,0.58
13142,0.5
13143,0.44
13144,0.287
13145,0.232
13151,0.533
13152,0.453
13153,0.393
13154,0.24
13155,0.185
13211,0.82
13212,0.74
13213,0.68
13214,0.527
13215,0.472
13221,0.744
13222,0.664
13223,0.604
13224,0.451
13225,0.396
13231,0.673
13232,0.593
13233,0.533
13234,0.38
13235,0.325
13241,0.513
13242,0.433
13243,0.373
13244,0.22
13245,0.165
13251,0.466
13252,0.386
13253,0.326
13254,0.173
13255,0.118
13311,0.793
13312,0.713
13313,0.653
13314,0.5
13315,0.445
13321,0.717
13322,0.637
13323,0.577
13324,0.424
13325,0.369
13331,0.646
13332,0.566
13333,0.506
13334,0.353
13335,0.298
13341,0.486
13342,0.406
13343,0.346
13344,0.193
13345,0.138
13351,0.439
13352,0.359
13353,0.299
13354,0.146
13355,0.091
13411,0.653
13412,0.573
13413,0.513
13414,0.36
13415,0.305
13421,0.577
13422,0.497
13423,0.437
13424,0.284
13425,0.229
13431,0.506
13432,0.426
13433,0.366
13434,0.213
13435,0.158
13441,0.346
13442,0.266
13443,0.206
13444,0.053
13445,-0.002
13451,0.299
13452,0.219
13453,0.159
13454,0.006
13455,-0.049
13511,0.605
13512,0.525
13513,0.465
13514,0.312
13515,0.257
13521,0.529
13522,0.449
13523,0.389
13524,0.236
13525,0.181
13531,0.458
13532,0.378
13533,0.318
13534,0.165
13535,0.11
13541,0.298
13542,0.218
13543,0.158
13544,0.005
13545,-0.05
13551,0.251
13552,0.171
13553,0.111
13554,-0.042
13555,-0.097
14111,0.729
14112,0.649
14113,0.589
14114,0.436
14115,0.381
14121,0.653
14122,0.573
14123,0.513
14124,0.36
14125,0.305
14131,0.582
14132,0.502
14133,0.442
14134,0.289
14135,0.234
14141,0.422
14142,0.342
14143,0.282
14144,0.129
14145,0.074
14151,0.375
14152,0.295
14153,0.235
14154,0.082
14155,0.027
14211,0.662
14212,0.582
14213,0.522
14214,0.369
14215,0.314
14221,0.586
14222,0.506
14223,0.446
14224,0.293
14225,0.238
14231,0.515
14232,0.435
14233,0.375
14234,0.222
14235,0.167
14241,0.355
14242,0.275
14243,0.215
14244,0.062
14245,0.007
14251,0.308
14252,0.228
