"state","value"
11111,1
11112,0.921
11113,0.866
11114,0.773
11115,0.695
11121,0.914
11122,0.835
11123,0.78
11124,0.687
11125,0.609
11131,0.905
11132,0.826
11133,0.771
11134,0.678
11135,0.6
11141,0.802
11142,0.723
11143,0.668
11144,0.575
11145,0.497
11151,0.754
11152,0.675
11153,0.62
11154,0.527
11155,0.449
11211,0.91
11212,0.831
11213,0.776
11214,0.683
11215,0.605
11221,0.824
11222,0.745
11223,0.69
11224,0.597
11225,0.519
11231,0.815
11232,0.736
11233,0.681
11234,0.588
11235,0.51
11241,0.712
11242,0.633
11243,0.578
11244,0.485
11245,0.407
11251,0.664
11252,0.585
11253,0.53
11254,0.437
11255,0.359
11311,0.844
11312,0.765
11313,0.71
11314,0.617
11315,0.539
11321,0.758
11322,0.679
11323,0.624
11324,0.531
11325,0.453
11331,0.749
11332,0.67
11333,0.615
11334,0.522
11335,0.444
11341,0.646
11342,0.567
11343,0.512
11344,0.419
11345,0.341
11351,0.598
11352,0.519
11353,0.464
11354,0.371
11355,0.293
11411,0.699
11412,0.62
11413,0.565
11414,0.472
11415,0.394
11421,0.613
11422,0.534
11423,0.479
11424,0.386
11425,0.308
11431,0.604
11432,0.525
11433,0.47
11434,0.377
11435,0.299
11441,0.501
11442,0.422
11443,0.367
11444,0.274
11445,0.196
11451,0.453
11452,0.374
11453,0.319
11454,0.226
11455,0.148
11511,0.615
11512,0.536
11513,0.481
11514,0.388
11515,0.31
11521,0.529
11522,0.45
11523,0.395
11524,0.302
11525,0.224
11531,0.52
11532,0.441
11533,0.386
11534,0.293
11535,0.215
11541,0.417
11542,0.338
11543,0.283
11544,0.19
11545,0.112
11551,0.369
11552,0.29
11553,0.235
11554,0.142
11555,0.064
12111,0.899
12112,0.82
12113,0.765
12114,0.672
12115,0.594
12121,0.813
12122,0.734
12123,0.679
12124,0.586
12125,0.508
12131,0.804
12132,0.725
12133,0.67
12134,0.577
12135,0.499
12141,0.701
12142,0.622
12143,0.567
12144,0.474
12145,0.396
12151,0.653
12152,0.574
12153,0.519
12154,0.426
12155,0.348
12211,0.809
12212,0.73
12213,0.675
12214,0.582
12215,0.504
12221,0.723
12222,0.644
12223,0.589
12224,0.496
12225,0.418
12231,0.714
12232,0.635
12233,0.58
12234,0.487
12235,0.409
12241,0.611
12242,0.532
12243,0.477
12244,0.384
12245,0.306
12251,0.563
12252,0.484
12253,0.429
12254,0.336
12255,0.258
12311,0.743
12312,0.664
12313,0.609
12314,0.516
12315,0.438
12321,0.657
12322,0.578
12323,0.523
12324,0.43
12325,0.352
12331,0.648
12332,0.569
12333,0.514
12334,0.421
12335,0.343
12341,0.545
12342,0.466
12343,0.411
12344,0.318
12345,0.24
12351,0.497
12352,0.418
12353,0.363
12354,0.27
12355,0.192
12411,0.598
12412,0.519
12413,0.464
12414,0.371
12415,0.293
12421,0.512
12422,0.433
12423,0.378
12424,0.285
12425,0.207
12431,0.503
12432,0.424
12433,0.369
12434,0.276
12435,0.198
12441,0.4
12442,0.321
12443,0.266
12444,0.173
12445,0.095
12451,0.352
12452,0.273
12453,0.218
12454,0.125
12455,0.047
12511,0.514
12512,0.435
12513,0.38
12514,0.287
12515,0.209
12521,0.428
12522,0.349
12523,0.294
12524,0.201
12525,0.123
12531,0.419
12532,0.34
12533,0.285
12534,0.192
12535,0.114
12541,0.316
12542,0.237
12543,0.182
12544,0.089
12545,0.011
12551,0.268
12552,0.189
12553,0.134
12554,0.041
12555,-0.037
13111,0.86
13112,0.781
13113,0.726
13114,0.633
13115,0.555
13121,0.774
13122,0.695
13123,0.64
13124,0.547
13125,0.469
13131,0.765
13132,0.686
13133,0.631
13134,0.538
13135,0.46
13141,0.662
13142,0.583
13143,0.528
13144,0.435
13145,0.357
13151,0.614
13152,0.535
13153,0.48
13154,0.387
13155,0.309
13211,0.77
13212,0.691
13213,0.636
13214,0.543
13215,0.465
13221,0.684
13222,0.605
13223,0.55
13224,0.457
13225,0.379
13231,0.675
13232,0.596
13233,0.541
13234,0.448
13235,0.37
13241,0.572
13242,0.493
13243,0.438
13244,0.345
13245,0.267
13251,0.524
13252,0.445
13253,0.39
13254,0.297
13255,0.219
13311,0.704
13312,0.625
13313,0.57
13314,0.477
13315,0.399
13321,0.618
