"state","value"
11111,1
11112,0.92
11113,0.798
11114,0.465
11115,0.354
11121,0.932
11122,0.852
11123,0.73
11124,0.397
11125,0.286
11131,0.907
11132,0.827
11133,0.705
11134,0.372
11135,0.261
11141,0.627
11142,0.547
11143,0.425
11144,0.092
11145,-0.019
11151,0.49
11152,0.41
11153,0.288
11154,-0.045
11155,-0.156
11211,0.951
11212,0.871
11213,0.749
11214,0.416
11215,0.305
11221,0.883
11222,0.803
11223,0.681
11224,0.348
11225,0.237
11231,0.858
11232,0.778
11233,0.656
11234,0.323
11235,0.212
11241,0.578
11242,0.498
11243,0.376
11244,0.043
11245,-0.068
11251,0.441
11252,0.361
11253,0.239
11254,-0.094
11255,-0.205
11311,0.928
11312,0.848
11313,0.726
11314,0.393
11315,0.282
11321,0.86
11322,0.78
11323,0.658
11324,0.325
11325,0.214
11331,0.835
11332,0.755
11333,0.633
11334,0.3
11335,0.189
11341,0.555
11342,0.475
11343,0.353
11344,0.02
11345,-0.091
11351,0.418
11352,0.338
11353,0.216
11354,-0.117
11355,-0.228
11411,0.846
11412,0.766
11413,0.644
11414,0.311
11415,0.2
11421,0.778
11422,0.698
11423,0.576
11424,0.243
11425,0.132
11431,0.753
11432,0.673
11433,0.551
11434,0.218
11435,0.107
11441,0.473
11442,0.393
11443,0.271
11444,-0.062
11445,-0.173
11451,0.336
11452,0.256
11453,0.134
11454,-0.199
11455,-0.31
11511,0.813
11512,0.733
11513,0.611
11514,0.278
11515,0.167
11521,0.745
11522,0.665
11523,0.543
11524,0.21
11525,0.099
11531,0.72
11532,0.64
11533,0.518
11534,0.185
11535,0.074
11541,0.44
11542,0.36
11543,0.238
11544,-0.095
11545,-0.206
11551,0.303
11552,0.223
11553,0.101
11554,-0.232
11555,-0.343
12111,0.945
12112,0.865
12113,0.743
12114,0.41
12115,0.299
12121,0.877
12122,0.797
12123,0.675
12124,0.342
12125,0.231
12131,0.852
12132,0.772
12133,0.65
12134,0.317
12135,0.206
12141,0.572
12142,0.492
12143,0.37
12144,0.037
12145,-0.074
12151,0.435
12152,0.355
12153,0.233
12154,-0.1
12155,-0.211
12211,0.896
12212,0.816
12213,0.694
12214,0.361
12215,0.25
12221,0.828
12222,0.748
12223,0.626
12224,0.293
12225,0.182
12231,0.803
12232,0.723
12233,0.601
12234,0.268
12235,0.157
12241,0.523
12242,0.443
12243,0.321
12244,-0.012
12245,-0.123
12251,0.386
12252,0.306
12253,0.184
12254,-0.149
12255,-0.26
12311,0.873
12312,0.793
12313,0.671
12314,0.338
12315,0.227
12321,0.805
12322,0.725
12323,0.603
12324,0.27
12325,0.159
12331,0.78
12332,0.7
12333,0.578
12334,0.245
12335,0.134
12341,0.5
12342,0.42
12343,0.298
12344,-0.035
12345,-0.146
12351,0.363
12352,0.283
12353,0.161
12354,-0.172
12355,-0.283
12411,0.791
12412,0.711
12413,0.589
12414,0.256
12415,0.145
12421,0.723
12422,0.643
12423,0.521
12424,0.188
12425,0.077
12431,0.698
12432,0.618
12433,0.496
12434,0.163
12435,0.052
12441,0.418
12442,0.338
12443,0.216
12444,-0.117
12445,-0.228
12451,0.281
12452,0.201
12453,0.079
12454,-0.254
12455,-0.365
12511,0.758
12512,0.678
12513,0.556
12514,0.223
12515,0.112
12521,0.69
12522,0.61
12523,0.488
12524,0.155
12525,0.044
12531,0.665
12532,0.585
12533,0.463
12534,0.13
12535,0.019
12541,0.385
12542,0.305
12543,0.183
12544,-0.15
12545,-0.261
12551,0.248
12552,0.168
12553,0.046
12554,-0.287
12555,-0.398
13111,0.912
13112,0.832
13113,0.71
13114,0.377
13115,0.266
13121,0.844
13122,0.764
13123,0.642
13124,0.309
13125,0.198
13131,0.819
13132,0.739
13133,0.617
13134,0.284
13135,0.173
13141,0.539
13142,0.459
13143,0.337
13144,0.004
13145,-0.107
13151,0.402
13152,0.322
13153,0.2
13154,-0.133
13155,-0.244
13211,0.863
13212,0.783
13213,0.661
13214,0.328
13215,0.217
13221,0.795
13222,0.715
13223,0.593
13224,0.26
13225,0.149
13231,0.77
13232,0.69
13233,0.568
13234,0.235
13235,0.124
13241,0.49
13242,0.41
13243,0.288
13244,-0.045
13245,-0.156
13251,0.353
13252,0.273
13253,0.151
13254,-0.182
13255,-0.293
13311,0.84
13312,0.76
13313,0.638
13314,0.305
13315,0.194
13321,0.772
13322,0.692
13323,0.57
13324,0.237
13325,0.126
13331,0.747
13332,0.667
13333,0.545
13334,0.212
13335,0.101
13341,0.467
13342,0.387
13343,0.265
13344,-0.068
13345,-0.179
13351,0.33
13352,0.25
13353,0.128
13354,-0.205
13355,-0.316
13411,0.758
13412,0.678
13413,0.556
13414,0.223
13415,0.112
13421,0.69
13422,0.61
13423,0.488
13424,0.155
13425,0.044
13431,0.665
13432,0.585
13433,0.463
13434,0.13
13435,0.019
13441,0.385
13442,0.305
13443,0.183
13444,-0.15
13445,-0.261
13451,0.248
13452,0.168
13453,0.046
13454,-0.287
13455,-0.398
13511,0.725
13512,0.645
13513,0.523
13514,0.19
13515,0.079
13521,0.657
13522,0.577
13523,0.455
13524,0.122
13525,0.011
13531,0.632
13532,0.552
13533,0.43
13534,0.097
13535,-0.014
13541,0.352
13542,0.272
13543,0.15
13544,-0.183
13545,-0.294
13551,0.215
13552,0.135
13553,0.013
13554,-0.32
13555,-0.431
14111,0.771
14112,0.691
14113,0.569
14114,0.236
14115,0.125
14121,0.703
14122,0.623
14123,0.501
14124,0.168
14125,0.057
14131,0.678
14132,0.598
14133,0.476
14134,0.143
14135,0.032
14141,0.398
14142,0.318
14143,0.196
14144,-0.137
14145,-0.248
14151,0.261
14152,0.181
14153,0.059
14154,-0.274
14155,-0.385
14211,0.722
14212,0.642
14213,0.52
14214,0.187
14215,0.076
14221,0.654
14222,0.574
14223,0.452
14224,0.119
14225,0.008
14231,0.629
14232,0.549
14233,0.427
14234,0.094
