"state","value"
11111,1
11112,0.98373
11113,0.93737
11114,0.83643
11115,0.75295
11121,0.94864
11122,0.93237
11123,0.88601
11124,0.78507
11125,0.70159
11131,0.87449
11132,0.85822
11133,0.81186
11134,0.71092
11135,0.62744
11141,0.61023
11142,0.59396
11143,0.5476
11144,0.44666
11145,0.36318
11151,0.41576
11152,0.39949
11153,0.35313
11154,0.25219
11155,0.16871
11211,0.95451
11212,0.93824
11213,0.89188
11214,0.79094
11215,0.70746
11221,0.90315
11222,0.88688
11223,0.84052
11224,0.73958
11225,0.6561
11231,0.829
11232,0.81273
11233,0.76637
11234,0.66543
11235,0.58195
11241,0.56474
11242,0.54847
11243,0.50211
11244,0.40117
11245,0.31769
11251,0.37027
11252,0.354
11253,0.30764
11254,0.2067
11255,0.12322
11311,0.9114
11312,0.89513
11313,0.84877
11314,0.74783
11315,0.66435
11321,0.86004
11322,0.84377
11323,0.79741
11324,0.69647
11325,0.61299
11331,0.78589
11332,0.76962
11333,0.72326
11334,0.62232
11335,0.53884
11341,0.52163
11342,0.50536
11343,0.459
11344,0.35806
11345,0.27458
11351,0.32716
11352,0.31089
11353,0.26453
11354,0.16359
11355,0.08011
11411,0.75847
11412,0.7422
11413,0.69584
11414,0.5949
11415,0.51142
11421,0.70711
11422,0.69084
11423,0.64448
11424,0.54354
11425,0.46006
11431,0.63296
11432,0.61669
11433,0.57033
11434,0.46939
11435,0.38591
11441,0.3687
11442,0.35243
11443,0.30607
11444,0.20513
11445,0.12165
11451,0.17423
11452,0.15796
11453,0.1116
11454,0.01066
11455,-0.07282
11511,0.67609
11512,0.65982
11513,0.61346
11514,0.51252
11515,0.42904
11521,0.62473
11522,0.60846
11523,0.5621
11524,0.46116
11525,0.37768
11531,0.55058
11532,0.53431
11533,0.48795
11534,0.38701
11535,0.30353
11541,0.28632
11542,0.27005
11543,0.22369
11544,0.12275
11545,0.03927
11551,0.09185
11552,0.07558
11553,0.02922
11554,-0.07172
11555,-0.1552
12111,0.94875
12112,0.93248
12113,0.88612
12114,0.78518
12115,0.7017
12121,0.89739
12122,0.88112
12123,0.83476
12124,0.73382
12125,0.65034
12131,0.82324
12132,0.80697
12133,0.76061
12134,0.65967
12135,0.57619
12141,0.55898
12142,0.54271
12143,0.49635
12144,0.39541
12145,0.31193
12151,0.36451
12152,0.34824
12153,0.30188
12154,0.20094
12155,0.11746
12211,0.90326
12212,0.88699
12213,0.84063
12214,0.73969
12215,0.65621
12221,0.8519
12222,0.83563
12223,0.78927
12224,0.68833
12225,0.60485
12231,0.77775
12232,0.76148
12233,0.71512
12234,0.61418
12235,0.5307
12241,0.51349
12242,0.49722
12243,0.45086
12244,0.34992
12245,0.26644
12251,0.31902
12252,0.30275
12253,0.25639
12254,0.15545
12255,0.07197
12311,0.86015
12312,0.84388
12313,0.79752
12314,0.69658
12315,0.6131
12321,0.80879
12322,0.79252
12323,0.74616
12324,0.64522
12325,0.56174
12331,0.73464
12332,0.71837
12333,0.67201
12334,0.57107
12335,0.48759
12341,0.47038
12342,0.45411
12343,0.40775
12344,0.30681
12345,0.22333
12351,0.27591
12352,0.25964
12353,0.21328
12354,0.11234
12355,0.02886
12411,0.70722
12412,0.69095
12413,0.64459
12414,0.54365
12415,0.46017
12421,0.65586
12422,0.63959
12423,0.59323
12424,0.49229
12425,0.40881
12431,0.58171
12432,0.56544
12433,0.51908
12434,0.41814
12435,0.33466
12441,0.31745
12442,0.30118
12443,0.25482
12444,0.15388
12445,0.0704
12451,0.12298
12452,0.10671
12453,0.06035
12454,-0.04059
12455,-0.12407
12511,0.62484
12512,0.60857
12513,0.56221
12514,0.46127
12515,0.37779
12521,0.57348
12522,0.55721
12523,0.51085
12524,0.40991
12525,0.32643
12531,0.49933
12532,0.48306
12533,0.4367
12534,0.33576
12535,0.25228
12541,0.23507
12542,0.2188
12543,0.17244
12544,0.0715
12545,-0.01198
12551,0.0406
12552,0.02433
12553,-0.02203
12554,-0.12297
12555,-0.20645
13111,0.86941
13112,0.85314
13113,0.80678
13114,0.70584
13115,0.62236
13121,0.81805
13122,0.80178
13123,0.75542
13124,0.65448
13125,0.571
13131,0.7439
13132,0.72763
13133,0.68127
13134,0.58033
13135,0.49685
13141,0.47964
13142,0.46337
13143,0.41701
13144,0.31607
13145,0.23259
13151,0.28517
13152,0.2689
13153,0.22254
13154,0.1216
13155,0.03812
13211,0.82392
13212,0.80765
13213,0.76129
13214,0.66035
13215,0.57687
13221,0.77256
13222,0.75629
13223,0.70993
13224,0.60899
13225,0.52551
13231,0.69841
13232,0.68214
13233,0.63578
13234,0.53484
13235,0.45136
13241,0.43415
13242,0.41788
13243,0.37152
13244,0.27058
13245,0.1871
13251,0.23968
13252,0.22341
13253,0.17705
13254,0.07611
13255,-0.00737
13311,0.78081
13312,0.76454
13313,0.71818
13314,0.61724
13315,0.53376
13321,0.72945
13322,0.71318
13323,0.66682
13324,0.56588
13325,0.4824
13331,0.6553
13332,0.63903
13333,0.59267
13334,0.49173
13335,0.40825
13341,0.39104
13342,0.37477
13343,0.32841
13344,0.22747
13345,0.14399
13351,0.19657
13352,0.1803
13353,0.13394
13354,0.033
13355,-0.05048
13411,0.62788
13412,0.61161
13413,0.56525
13414,0.46431
13415,0.38083
13421,0.57652
13422,0.56025
13423,0.51389
13424,0.41295
13425,0.32947
13431,0.50237
13432,0.4861
13433,0.43974
13434,0.3388
13435,0.25532
13441,0.23811
13442,0.22184
13443,0.17548
13444,0.07454
13445,-0.00894
13451,0.04364
13452,0.02737
13453,-0.01899
13454,-0.11993
13455,-0.20341
13511,0.5455
13512,0.52923
13513,0.48287
13514,0.38193
13515,0.29845
13521,0.49414
13522,0.47787
13523,0.43151
13524,0.33057
13525,0.24709
13531,0.41999
13532,0.40372
13533,0.35736
13534,0.25642
13535,0.17294
13541,0.15573
13542,0.13946
13543,0.0931
13544,-0.00784
13545,-0.09132
13551,-0.03874
13552,-0.05501
13553,-0.10137
13554,-0.20231
13555,-0.28579
14111,0.69856
14112,0.68229
14113,0.63593
14114,0.53499
14115,0.45151
14121,0.6472
14122,0.63093
14123,0.58457
14124,0.48363
14125,0.40015
14131,0.57305
14132,0.55678
14133,0.51042
14134,0.40948
14135,0.326
14141,0.30879
14142,0.29252
14143,0.24616
14144,0.14522
14145,0.06174
14151,0.11432
14152,0.09805
14153,0.05169
14154,-0.04925
14155,-0.13273
14211,0.65307
14212,0.6368
14213,0.59044
14214,0.4895
14215,0.40602
14221,0.60171
14222,0.58544
14223,0.53908
14224,0.43814
14225,0.35466
14231,0.52756
14232,0.51129
14233,0.46493
14234,0.36399
14235,0.28051
14241,0.2633
14242,0.24703
14243,0.20067
14244,0.09973
14245,0.01625
14251,0.06883
14252,0.05256
14253,0.0062
14254,-0.09474
14255,-0.17822
14311,0.60996
