"state","value"
11111,1
11112,0.956
11113,0.891
11114,0.682
11115,0.678
11121,0.953
11122,0.909
11123,0.844
11124,0.635
11125,0.631
11131,0.912
11132,0.868
11133,0.803
11134,0.594
11135,0.59
11141,0.647
11142,0.603
11143,0.538
11144,0.329
11145,0.325
11151,0.592
11152,0.548
11153,0.483
11154,0.274
11155,0.27
11211,0.95
11212,0.906
11213,0.841
11214,0.632
11215,0.628
11221,0.903
11222,0.859
11223,0.794
11224,0.585
11225,0.581
11231,0.862
11232,0.818
11233,0.753
11234,0.544
11235,0.54
11241,0.597
11242,0.553
11243,0.488
11244,0.279
11245,0.275
11251,0.542
11252,0.498
11253,0.433
11254,0.224
11255,0.22
11311,0.936
11312,0.892
11313,0.827
11314,0.618
11315,0.614
11321,0.889
11322,0.845
11323,0.78
11324,0.571
11325,0.567
11331,0.848
11332,0.804
11333,0.739
11334,0.53
11335,0.526
11341,0.583
11342,0.539
11343,0.474
11344,0.265
11345,0.261
11351,0.528
11352,0.484
11353,0.419
11354,0.21
11355,0.206
11411,0.775
11412,0.731
11413,0.666
11414,0.457
11415,0.453
11421,0.728
11422,0.684
11423,0.619
11424,0.41
11425,0.406
11431,0.687
11432,0.643
11433,0.578
11434,0.369
11435,0.365
11441,0.422
11442,0.378
11443,0.313
11444,0.104
11445,0.1
11451,0.367
11452,0.323
11453,0.258
11454,0.049
11455,0.045
11511,0.745
11512,0.701
11513,0.636
11514,0.427
11515,0.423
11521,0.698
11522,0.654
11523,0.589
11524,0.38
11525,0.376
11531,0.657
11532,0.613
11533,0.548
11534,0.339
11535,0.335
11541,0.392
11542,0.348
11543,0.283
11544,0.074
11545,0.07
11551,0.337
11552,0.293
11553,0.228
11554,0.019
11555,0.015
12111,0.954
12112,0.91
12113,0.845
12114,0.636
12115,0.632
12121,0.907
12122,0.863
12123,0.798
12124,0.589
12125,0.585
12131,0.866
12132,0.822
12133,0.757
12134,0.548
12135,0.544
12141,0.601
12142,0.557
12143,0.492
12144,0.283
12145,0.279
12151,0.546
12152,0.502
12153,0.437
12154,0.228
12155,0.224
12211,0.904
12212,0.86
12213,0.795
12214,0.586
12215,0.582
12221,0.857
12222,0.813
12223,0.748
12224,0.539
12225,0.535
12231,0.816
12232,0.772
12233,0.707
12234,0.498
12235,0.494
12241,0.551
12242,0.507
12243,0.442
12244,0.233
12245,0.229
12251,0.496
12252,0.452
12253,0.387
12254,0.178
12255,0.174
12311,0.89
12312,0.846
12313,0.781
12314,0.572
12315,0.568
12321,0.843
12322,0.799
12323,0.734
12324,0.525
12325,0.521
12331,0.802
12332,0.758
12333,0.693
12334,0.484
12335,0.48
12341,0.537
12342,0.493
12343,0.428
12344,0.219
12345,0.215
12351,0.482
12352,0.438
12353,0.373
12354,0.164
12355,0.16
12411,0.729
12412,0.685
12413,0.62
12414,0.411
12415,0.407
12421,0.682
12422,0.638
12423,0.573
12424,0.364
12425,0.36
12431,0.641
12432,0.597
12433,0.532
12434,0.323
12435,0.319
12441,0.376
12442,0.332
12443,0.267
12444,0.058
12445,0.054
12451,0.321
12452,0.277
12453,0.212
12454,0.003
12455,-0.001
12511,0.699
12512,0.655
12513,0.59
12514,0.381
12515,0.377
12521,0.652
12522,0.608
12523,0.543
12524,0.334
12525,0.33
12531,0.611
12532,0.567
12533,0.502
12534,0.293
12535,0.289
12541,0.346
12542,0.302
12543,0.237
12544,0.028
12545,0.024
12551,0.291
12552,0.247
12553,0.182
12554,-0.027
12555,-0.031
13111,0.944
13112,0.9
13113,0.835
13114,0.626
13115,0.622
13121,0.897
13122,0.853
13123,0.788
13124,0.579
13125,0.575
13131,0.856
13132,0.812
13133,0.747
13134,0.538
13135,0.534
13141,0.591
13142,0.547
13143,0.482
13144,0.273
13145,0.269
