"state","value"
11111,1
11112,0.964
11113,0.841
11114,0.661
11115,0.415
11121,0.951
11122,0.915
11123,0.792
11124,0.612
11125,0.366
11131,0.841
11132,0.805
11133,0.682
11134,0.502
11135,0.256
11141,0.541
11142,0.505
11143,0.382
11144,0.202
11145,-0.044
11151,0.249
11152,0.213
11153,0.09
11154,-0.0900000000000001
11155,-0.336
11211,0.979
11212,0.943
11213,0.82
11214,0.64
11215,0.394
11221,0.93
11222,0.894
11223,0.771
11224,0.591
11225,0.345
11231,0.82
11232,0.784
11233,0.661
11234,0.481
11235,0.235
11241,0.52
11242,0.484
11243,0.361
11244,0.181
11245,-0.0649999999999999
11251,0.228
11252,0.192
11253,0.069
11254,-0.111
11255,-0.357
11311,0.954
11312,0.918
11313,0.795
11314,0.615
11315,0.369
11321,0.905
11322,0.869
11323,0.746
11324,0.566
11325,0.32
11331,0.795
11332,0.759
11333,0.636
11334,0.456
11335,0.21
11341,0.495
11342,0.459
11343,0.336
11344,0.156
11345,-0.0899999999999999
11351,0.203
11352,0.167
11353,0.0439999999999999
11354,-0.136
11355,-0.382
11411,0.858
11412,0.822
11413,0.699
11414,0.519
11415,0.273
11421,0.809
11422,0.773
11423,0.65
11424,0.47
11425,0.224
11431,0.699
11432,0.663
11433,0.54
11434,0.36
11435,0.114
11441,0.399
11442,0.363
11443,0.24
11444,0.0600000000000001
11445,-0.186
11451,0.107
11452,0.071
11453,-0.052
11454,-0.232
11455,-0.478
11511,0.732
11512,0.696
11513,0.573
11514,0.393
11515,0.147
11521,0.683
11522,0.647
11523,0.524
11524,0.344
11525,0.0980000000000001
11531,0.573
11532,0.537
11533,0.414
11534,0.234
11535,-0.012
11541,0.273
11542,0.237
11543,0.114
11544,-0.0660000000000001
11545,-0.312
11551,-0.0190000000000001
11552,-0.0550000000000002
11553,-0.178
11554,-0.358
11555,-0.604
12111,0.962
12112,0.926
12113,0.803
12114,0.623
12115,0.377
12121,0.913
12122,0.877
12123,0.754
12124,0.574
12125,0.328
12131,0.803
12132,0.767
12133,0.644
12134,0.464
12135,0.218
12141,0.503
12142,0.467
12143,0.344
12144,0.164
12145,-0.0819999999999999
12151,0.211
12152,0.175
12153,0.0519999999999999
12154,-0.128
12155,-0.374
12211,0.941
12212,0.905
12213,0.782
12214,0.602
12215,0.356
12221,0.892
12222,0.856
12223,0.733
12224,0.553
12225,0.307
12231,0.782
12232,0.746
12233,0.623
12234,0.443
12235,0.197
12241,0.482
12242,0.446
12243,0.323
12244,0.143
12245,-0.103
12251,0.19
12252,0.154
12253,0.0309999999999999
12254,-0.149
12255,-0.395
12311,0.916
12312,0.88
12313,0.757
12314,0.577
12315,0.331
12321,0.867
12322,0.831
12323,0.708
12324,0.528
12325,0.282
12331,0.757
12332,0.721
12333,0.598
12334,0.418
12335,0.172
12341,0.457
12342,0.421
12343,0.298
12344,0.118
12345,-0.128
12351,0.165
12352,0.129
12353,0.00600000000000001
12354,-0.174
12355,-0.42
12411,0.82
12412,0.784
12413,0.661
12414,0.481
12415,0.235
12421,0.771
12422,0.735
12423,0.612
12424,0.432
12425,0.186
12431,0.661
12432,0.625
12433,0.502
12434,0.322
12435,0.0760000000000001
12441,0.361
12442,0.325
12443,0.202
12444,0.022
12445,-0.224
12451,0.069
12452,0.0329999999999999
12453,-0.0900000000000001
12454,-0.27
12455,-0.516
12511,0.694
12512,0.658
12513,0.535
12514,0.355
12515,0.109
12521,0.645
12522,0.609
12523,0.486
12524,0.306
12525,0.0600000000000001
12531,0.535
12532,0.499
12533,0.376
12534,0.196
12535,-0.0499999999999998
12541,0.235
12542,0.199
12543,0.076
12544,-0.104
12545,-0.35
12551,-0.0569999999999999
12552,-0.093
12553,-0.216
12554,-0.396
12555,-0.642
13111,0.92
13112,0.884
13113,0.761
13114,0.581
13115,0.335
13121,0.871
13122,0.835
13123,0.712
13124,0.532
13125,0.286
13131,0.761
13132,0.725
13133,0.602
13134,0.422
13135,0.176
13141,0.461
13142,0.425
13143,0.302
13144,0.122
13145,-0.124
13151,0.169
13152,0.133
13153,0.01
13154,-0.17
13155,-0.416
13211,0.899
13212,0.863
13213,0.74
13214,0.56
13215,0.314
13221,0.85
13222,0.814
13223,0.691
13224,0.511
13225,0.265
13231,0.74
13232,0.704
13233,0.581
13234,0.401
13235,0.155
13241,0.44
13242,0.404
13243,0.281
13244,0.101
13245,-0.145
13251,0.148
13252,0.112
13253,-0.0109999999999999
13254,-0.191
13255,-0.437
13311,0.874
13312,0.838
13313,0.715
13314,0.535
13315,0.289
13321,0.825
13322,0.789
13323,0.666
13324,0.486
13325,0.24
13331,0.715
13332,0.679
13333,0.556
13334,0.376
13335,0.13
13341,0.415
13342,0.379
13343,0.256
13344,0.0760000000000001
13345,-0.17
13351,0.123
13352,0.087
13353,-0.036
13354,-0.216
13355,-0.462
13411,0.778
13412,0.742
13413,0.619
13414,0.439
13415,0.193
13421,0.729
13422,0.693
13423,0.57
13424,0.39
13425,0.144
13431,0.619
