"state","value"
11111,1
11112,0.9449
11113,0.9176
11114,0.8389
11115,0.6663
11121,0.9469
11122,0.8918
11123,0.8645
11124,0.7858
11125,0.6132
11131,0.9192
11132,0.8641
11133,0.8368
11134,0.7581
11135,0.5855
11141,0.7717
11142,0.7166
11143,0.6893
11144,0.6106
11145,0.438
11151,0.5421
11152,0.487
11153,0.4597
11154,0.381
11155,0.2084
11211,0.9447
11212,0.8896
11213,0.8623
11214,0.7836
11215,0.611
11221,0.8916
11222,0.8365
11223,0.8092
11224,0.7305
11225,0.5579
11231,0.8639
11232,0.8088
11233,0.7815
11234,0.7028
11235,0.5302
11241,0.7164
11242,0.6613
11243,0.634
11244,0.5553
11245,0.3827
11251,0.4868
11252,0.4317
11253,0.4044
11254,0.3257
11255,0.1531
11311,0.9048
11312,0.8497
11313,0.8224
11314,0.7437
11315,0.5711
11321,0.8517
11322,0.7966
11323,0.7693
11324,0.6906
11325,0.518
11331,0.824
11332,0.7689
11333,0.7416
11334,0.6629
11335,0.4903
11341,0.6765
11342,0.6214
11343,0.5941
11344,0.5154
11345,0.3428
11351,0.4469
11352,0.3918
11353,0.3645
11354,0.2858
11355,0.1132
11411,0.8202
11412,0.7651
11413,0.7378
11414,0.6591
11415,0.4865
11421,0.7671
11422,0.712
11423,0.6847
11424,0.606
11425,0.4334
11431,0.7394
11432,0.6843
11433,0.657
11434,0.5783
11435,0.4057
11441,0.5919
11442,0.5368
11443,0.5095
11444,0.4308
11445,0.2582
11451,0.3623
11452,0.3072
11453,0.2799
11454,0.2012
11455,0.0286
11511,0.7242
11512,0.6691
11513,0.6418
11514,0.5631
11515,0.3905
11521,0.6711
11522,0.616
11523,0.5887
11524,0.51
11525,0.3374
11531,0.6434
11532,0.5883
11533,0.561
11534,0.4823
11535,0.3097
11541,0.4959
11542,0.4408
11543,0.4135
11544,0.3348
11545,0.1622
11551,0.2663
11552,0.2112
11553,0.1839
11554,0.1052
11555,-0.0674
12111,0.9524
12112,0.8973
12113,0.87
12114,0.7913
12115,0.6187
12121,0.8993
12122,0.8442
12123,0.8169
12124,0.7382
12125,0.5656
12131,0.8716
12132,0.8165
12133,0.7892
12134,0.7105
12135,0.5379
12141,0.7241
12142,0.669
12143,0.6417
12144,0.563
12145,0.3904
12151,0.4945
12152,0.4394
12153,0.4121
12154,0.3334
12155,0.1608
12211,0.8971
12212,0.842
12213,0.8147
12214,0.736
12215,0.5634
12221,0.844
12222,0.7889
12223,0.7616
12224,0.6829
12225,0.5103
12231,0.8163
12232,0.7612
12233,0.7339
12234,0.6552
12235,0.4826
12241,0.6688
12242,0.6137
12243,0.5864
12244,0.5077
12245,0.3351
12251,0.4392
12252,0.3841
12253,0.3568
12254,0.2781
12255,0.1055
12311,0.8572
12312,0.8021
12313,0.7748
12314,0.6961
12315,0.5235
12321,0.8041
12322,0.749
12323,0.7217
12324,0.643
12325,0.4704
12331,0.7764
12332,0.7213
12333,0.694
12334,0.6153
12335,0.4427
12341,0.6289
12342,0.5738
12343,0.5465
12344,0.4678
12345,0.2952
12351,0.3993
12352,0.3442
12353,0.3169
12354,0.2382
12355,0.0656
12411,0.7726
12412,0.7175
12413,0.6902
12414,0.6115
12415,0.4389
12421,0.7195
12422,0.6644
12423,0.6371
12424,0.5584
12425,0.3858
12431,0.6918
12432,0.6367
12433,0.6094
12434,0.5307
12435,0.3581
12441,0.5443
12442,0.4892
12443,0.4619
12444,0.3832
12445,0.2106
12451,0.3147
12452,0.2596
12453,0.2323
12454,0.1536
12455,-0.019
12511,0.6766
12512,0.6215
12513,0.5942
12514,0.5155
12515,0.3429
12521,0.6235
12522,0.5684
12523,0.5411
12524,0.4624
12525,0.2898
12531,0.5958
12532,0.5407
12533,0.5134
12534,0.4347
12535,0.2621
12541,0.4483
12542,0.3932
12543,0.3659
12544,0.2872
12545,0.1146
12551,0.2187
12552,0.1636
12553,0.1363
12554,0.0576
12555,-0.115
13111,0.9181
13112,0.863
13113,0.8357
13114,0.757
13115,0.5844
13121,0.865
13122,0.8099
13123,0.7826
13124,0.7039
13125,0.5313
13131,0.8373
13132,0.7822
13133,0.7549
13134,0.6762
13135,0.5036
13141,0.6898
13142,0.6347
13143,0.6074
13144,0.5287
13145,0.3561
13151,0.4602
13152,0.4051
13153,0.3778
13154,0.2991
13155,0.1265
13211,0.8628
13212,0.8077
13213,0.7804
13214,0.7017
13215,0.5291
13221,0.8097
13222,0.7546
13223,0.7273
13224,0.6486
13225,0.476
13231,0.782
13232,0.7269
13233,0.6996
13234,0.6209
13235,0.4483
13241,0.6345
13242,0.5794
13243,0.5521
13244,0.4734
13245,0.3008
13251,0.4049
13252,0.3498
13253,0.3225
13254,0.2438
13255,0.0712
13311,0.8229
13312,0.7678
13313,0.7405
13314,0.6618
13315,0.4892
13321,0.7698
