"state","value"
11111,1
11112,0.928305876
11113,0.905048074
11114,0.769915159
11115,0.699608238
11121,0.919316174
11122,0.84762205
11123,0.824364249
11124,0.689231334
11125,0.618924412
11131,0.893142085
11132,0.821447961
11133,0.798190159
11134,0.663057244
11135,0.592750323
11141,0.7410649
11142,0.669370776
11143,0.646112974
11144,0.510980059
11145,0.440673138
11151,0.661942218
11152,0.590248094
11153,0.566990292
11154,0.431857377
11155,0.361550456
11211,0.951806968
11212,0.880112844
11213,0.856855042
11214,0.721722127
11215,0.651415206
11221,0.871123142
11222,0.799429018
11223,0.776171216
11224,0.641038301
11225,0.57073138
11231,0.844949052
11232,0.773254929
11233,0.749997127
11234,0.614864212
11235,0.544557291
11241,0.692871867
11242,0.621177743
11243,0.597919942
11244,0.462787027
11245,0.392480106
11251,0.613749185
11252,0.542055061
11253,0.51879726
11254,0.383664345
11255,0.313357423
11311,0.936172995
11312,0.864478871
11313,0.841221069
11314,0.706088154
11315,0.635781233
11321,0.855489169
11322,0.783795045
11323,0.760537244
11324,0.625404329
11325,0.555097407
11331,0.82931508
11332,0.757620956
11333,0.734363154
11334,0.599230239
11335,0.528923318
11341,0.677237895
11342,0.605543771
11343,0.582285969
11344,0.447153054
11345,0.376846133
11351,0.598115212
11352,0.526421088
11353,0.503163287
11354,0.368030372
11355,0.297723451
11411,0.845336193
11412,0.773642069
11413,0.750384267
11414,0.615251352
11415,0.544944431
11421,0.764652367
11422,0.692958243
11423,0.669700442
11424,0.534567527
11425,0.464260605
11431,0.738478278
11432,0.666784154
11433,0.643526352
11434,0.508393437
11435,0.438086516
11441,0.586401093
11442,0.514706969
11443,0.491449167
11444,0.356316252
11445,0.286009331
11451,0.50727841
11452,0.435584286
11453,0.412326485
11454,0.27719357
11455,0.206886649
11511,0.798075643
11512,0.726381519
11513,0.703123717
11514,0.567990802
11515,0.497683881
11521,0.717391817
11522,0.645697693
11523,0.622439892
11524,0.487306977
11525,0.417000055
11531,0.691217728
11532,0.619523604
11533,0.596265802
11534,0.461132887
11535,0.390825966
11541,0.539140543
11542,0.467446419
11543,0.444188617
11544,0.309055702
11545,0.238748781
11551,0.46001786
11552,0.388323736
11553,0.365065935
11554,0.22993302
11555,0.159626099
12111,0.937605397
12112,0.865911273
12113,0.842653472
12114,0.707520557
12115,0.637213635
12121,0.856921571
12122,0.785227448
12123,0.761969646
12124,0.626836731
12125,0.55652981
12131,0.830747482
12132,0.759053358
12133,0.735795556
12134,0.600662642
12135,0.53035572
12141,0.678670297
12142,0.606976173
12143,0.583718371
12144,0.448585456
12145,0.378278535
12151,0.599547615
12152,0.527853491
12153,0.504595689
12154,0.369462774
12155,0.299155853
12211,0.889412365
12212,0.817718241
12213,0.794460439
12214,0.659327524
12215,0.589020603
12221,0.808728539
12222,0.737034415
12223,0.713776614
12224,0.578643699
12225,0.508336777
12231,0.78255445
12232,0.710860326
12233,0.687602524
12234,0.552469609
12235,0.482162688
12241,0.630477265
12242,0.558783141
12243,0.535525339
12244,0.400392424
12245,0.330085503
12251,0.551354582
12252,0.479660458
12253,0.456402657
12254,0.321269742
12255,0.250962821
12311,0.873778392
12312,0.802084268
12313,0.778826466
12314,0.643693551
12315,0.57338663
12321,0.793094566
12322,0.721400442
12323,0.698142641
12324,0.563009726
12325,0.492702805
12331,0.766920477
