"state","value"
11111,1
11112,0.8834547
11113,0.8085545
11114,0.5966854
11115,0.5324406
11121,0.8871808
11122,0.8175588
11123,0.7426586
11124,0.5307895
11125,0.4665447
11131,0.8611076
11132,0.7914856
11133,0.7165854
11134,0.5047163
11135,0.4404715
11141,0.5931467
11142,0.5235247
11143,0.4486245
11144,0.2367554
11145,0.1725106
11151,0.5378625
11152,0.4682405
11153,0.3933403
11154,0.1814712
11155,0.1172264
11211,0.9139228
11212,0.8443008
11213,0.7694006
11214,0.5575315
11215,0.4932867
11221,0.8480269
11222,0.7784049
11223,0.7035047
11224,0.4916356
11225,0.4273908
11231,0.8219537
11232,0.7523317
11233,0.6774315
11234,0.4655624
11235,0.4013176
11241,0.5539928
11242,0.4843708
11243,0.4094706
11244,0.1976015
11245,0.1333567
11251,0.4987086
11252,0.4290866
11253,0.3541864
11254,0.1423173
11255,0.0780725
11311,0.8663208
11312,0.7966988
11313,0.7217986
11314,0.5099295
11315,0.4456847
11321,0.8004249
11322,0.7308029
11323,0.6559027
11324,0.4440336
11325,0.3797888
11331,0.7743517
11332,0.7047297
11333,0.6298295
11334,0.4179604
11335,0.3537156
11341,0.5063908
11342,0.4367688
11343,0.3618686
11344,0.1499995
11345,0.0857547
11351,0.4511066
11352,0.3814846
11353,0.3065844
11354,0.0947153
11355,0.0304705
11411,0.7606136
11412,0.6909916
11413,0.6160914
11414,0.4042223
11415,0.3399775
11421,0.6947177
11422,0.6250957
11423,0.5501955
11424,0.3383264
11425,0.2740816
11431,0.6686445
11432,0.5990225
11433,0.5241223
11434,0.3122532
11435,0.2480084
11441,0.4006836
11442,0.3310616
11443,0.2561614
11444,0.0442923
11445,-0.0199525
11451,0.3453994
11452,0.2757774
11453,0.2008772
11454,-0.0109919
11455,-0.0752367
11511,0.7606136
11512,0.6909916
11513,0.6160914
11514,0.4042223
11515,0.3399775
11521,0.6947177
11522,0.6250957
11523,0.5501955
11524,0.3383264
11525,0.2740816
11531,0.6686445
11532,0.5990225
11533,0.5241223
11534,0.3122532
11535,0.2480084
11541,0.4006836
11542,0.3310616
11543,0.2561614
11544,0.0442923
11545,-0.0199525
11551,0.3453994
11552,0.2757774
11553,0.2008772
11554,-0.0109919
11555,-0.0752367
12111,0.9149688
12112,0.8453468
12113,0.7704466
12114,0.5585775
12115,0.4943327
12121,0.8490729
12122,0.7794509
12123,0.7045507
12124,0.4926816
12125,0.4284368
12131,0.8229997
12132,0.7533777
12133,0.6784775
12134,0.4666084
12135,0.4023636
12141,0.5550388
12142,0.4854168
12143,0.4105166
12144,0.1986475
12145,0.1344027
12151,0.4997546
12152,0.4301326
12153,0.3552324
12154,0.1433633
12155,0.0791185
12211,0.8758149
12212,0.8061929
12213,0.7312927
12214,0.5194236
12215,0.4551788
12221,0.809919
12222,0.740297
12223,0.6653968
12224,0.4535277
12225,0.3892829
12231,0.7838458
12232,0.7142238
12233,0.6393236
12234,0.4274545
12235,0.3632097
12241,0.5158849
12242,0.4462629
12243,0.3713627
12244,0.1594936
12245,0.0952488
12251,0.4606007
12252,0.3909787
12253,0.3160785
12254,0.1042094
12255,0.0399646
12311,0.8282129
12312,0.7585909
12313,0.6836907
12314,0.4718216
12315,0.4075768
12321,0.762317
12322,0.692695
12323,0.6177948
12324,0.4059257
12325,0.3416809
12331,0.7362438
12332,0.6666218
12333,0.5917216
12334,0.3798525
12335,0.3156077
12341,0.4682829
12342,0.3986609
12343,0.3237607
12344,0.1118916
12345,0.0476468
12351,0.4129987
12352,0.3433767
12353,0.2684765
12354,0.0566074
12355,-0.0076374
12411,0.7225057
12412,0.6528837
12413,0.5779835
12414,0.3661144
12415,0.3018696
12421,0.6566098
12422,0.5869878
12423,0.5120876
12424,0.3002185
12425,0.2359737
12431,0.6305366
12432,0.5609146
12433,0.4860144
12434,0.2741453
12435,0.2099005
12441,0.3625757
12442,0.2929537
12443,0.2180535
12444,0.0061844
12445,-0.0580604
12451,0.3072915
12452,0.2376695
12453,0.1627693
12454,-0.0490998
12455,-0.1133446
12511,0.7225057
12512,0.6528837
12513,0.5779835
12514,0.3661144
12515,0.3018696
12521,0.6566098
12522,0.5869878
12523,0.5120876
12524,0.3002185
12525,0.2359737
12531,0.6305366
12532,0.5609146
12533,0.4860144
12534,0.2741453
12535,0.2099005
12541,0.3625757
12542,0.2929537
12543,0.2180535
12544,0.0061844
12545,-0.0580604
12551,0.3072915
12552,0.2376695
12553,0.1627693
12554,-0.0490998
12555,-0.1133446
13111,0.892542
13112,0.82292
13113,0.7480198
13114,0.5361507
13115,0.4719059
13121,0.8266461
13122,0.7570241
13123,0.6821239
13124,0.4702548
13125,0.40601
13131,0.8005729
13132,0.7309509
13133,0.6560507
13134,0.4441816
13135,0.3799368
13141,0.532612
13142,0.46299
13143,0.3880898
13144,0.1762207
13145,0.1119759
13151,0.4773278
13152,0.4077058
13153,0.3328056
13154,0.1209365
13155,0.0566917
13211,0.8533881
13212,0.7837661
13213,0.7088659
13214,0.4969968
13215,0.432752
13221,0.7874922
13222,0.7178702
13223,0.64297
13224,0.4311009
13225,0.3668561
13231,0.761419
13232,0.691797
13233,0.6168968
13234,0.4050277
13235,0.3407829
13241,0.4934581
13242,0.4238361
13243,0.3489359
13244,0.1370668
13245,0.072822
13251,0.4381739
13252,0.3685519
13253,0.2936517
13254,0.0817826
13255,0.0175378
13311,0.8057861
13312,0.7361641
13313,0.6612639
13314,0.4493948
13315,0.38515
13321,0.7398902
13322,0.6702682
13323,0.595368
13324,0.3834989
13325,0.3192541
13331,0.713817
13332,0.644195
13333,0.5692948
13334,0.3574257
13335,0.2931809
13341,0.4458561
13342,0.3762341
13343,0.3013339
13344,0.0894648
13345,0.02522
13351,0.3905719
13352,0.3209499
13353,0.2460497
13354,0.0341806
13355,-0.0300642
13411,0.7000789
13412,0.6304569
13413,0.5555567
13414,0.3436876
13415,0.2794428
13421,0.634183
13422,0.564561
13423,0.4896608
13424,0.2777917
13425,0.2135469
13431,0.6081098
13432,0.5384878
13433,0.4635876
13434,0.2517185
13435,0.1874737
13441,0.3401489
13442,0.2705269
13443,0.1956267
13444,-0.0162424
13445,-0.0804872
13451,0.2848647
13452,0.2152427
13453,0.1403425
13454,-0.0715266
13455,-0.1357714
13511,0.7000789
13512,0.6304569
13513,0.5555567
13514,0.3436876
13515,0.2794428
13521,0.634183
13522,0.564561
13523,0.4896608
13524,0.2777917
13525,0.2135469
13531,0.6081098
13532,0.5384878
13533,0.4635876
13534,0.2517185
13535,0.1874737
13541,0.3401489
13542,0.2705269
13543,0.1956267
13544,-0.0162424
13545,-0.0804872
13551,0.2848647
13552,0.2152427
13553,0.1403425
13554,-0.0715266
13555,-0.1357714
14111,0.7852915
14112,0.7156695
14113,0.6407693
14114,0.4289002
14115,0.3646554
14121,0.7193956
14122,0.6497736
14123,0.5748734
14124,0.3630043
14125,0.2987595
14131,0.6933224
14132,0.6237004
