state,value
11111,1
11112,0.928256
11113,0.850376
11114,0.6342
11115,0.528
11121,0.940568
11122,0.868824
11123,0.790944
11124,0.574768
11125,0.468568
11131,0.876053
11132,0.804309
11133,0.726429
11134,0.510253
11135,0.404053
11141,0.696975
11142,0.625231
11143,0.547351
11144,0.331175
11145,0.224975
11151,0.609
11152,0.537256
11153,0.459376
11154,0.2432
11155,0.137
11211,0.972792
11212,0.901048
11213,0.823168
11214,0.606992
11215,0.500792
11221,0.91336
11222,0.841616
11223,0.763736
11224,0.54756
11225,0.44136
11231,0.848845
11232,0.777101
11233,0.699221
11234,0.483045
11235,0.376845
11241,0.669767
11242,0.598023
11243,0.520143
11244,0.303967
11245,0.197767
11251,0.581792
11252,0.510048
11253,0.432168
11254,0.215992
11255,0.109792
11311,0.943257
11312,0.871513
11313,0.793633
11314,0.577457
11315,0.471257
11321,0.883825
11322,0.812081
11323,0.734201
11324,0.518025
11325,0.411825
11331,0.81931
11332,0.747566
11333,0.669686
11334,0.45351
11335,0.34731
11341,0.640232
11342,0.568488
11343,0.490608
11344,0.274432
11345,0.168232
11351,0.552257
11352,0.480513
11353,0.402633
11354,0.186457
11355,0.080257
11411,0.861275
11412,0.789531
11413,0.711651
11414,0.495475
11415,0.389275
11421,0.801843
11422,0.730099
11423,0.652219
11424,0.436043
11425,0.329843
11431,0.737328
11432,0.665584
11433,0.587704
11434,0.371528
11435,0.265328
11441,0.55825
11442,0.486506
11443,0.408626
11444,0.19245
11445,0.08625
11451,0.470275
11452,0.398531
11453,0.320651
11454,0.104475
11455,-0.001725
11511,0.821
11512,0.749256
11513,0.671376
11514,0.4552
11515,0.349
11521,0.761568
11522,0.689824
11523,0.611944
11524,0.395768
11525,0.289568
11531,0.697053
11532,0.625309
11533,0.547429
11534,0.331253
11535,0.225053
11541,0.517975
11542,0.446231
11543,0.368351
11544,0.152175
11545,0.045975
11551,0.43
11552,0.358256
11553,0.280376
11554,0.0642
11555,-0.042
12111,0.968688
12112,0.896944
12113,0.819064
12114,0.602888
12115,0.496688
12121,0.909256
12122,0.837512
12123,0.759632
12124,0.543456
12125,0.437256
12131,0.844741
12132,0.772997
12133,0.695117
12134,0.478941
12135,0.372741
12141,0.665663
12142,0.593919
12143,0.516039
12144,0.299863
12145,0.193663
12151,0.577688
12152,0.505944
12153,0.428064
12154,0.211888
12155,0.105688
12211,0.94148
12212,0.869736
12213,0.791856
12214,0.57568
12215,0.46948
12221,0.882048
12222,0.810304
12223,0.732424
12224,0.516248
12225,0.410048
12231,0.817533
12232,0.745789
12233,0.667909
12234,0.451733
12235,0.345533
12241,0.638455
12242,0.566711
12243,0.488831
12244,0.272655
12245,0.166455
12251,0.55048
12252,0.478736
12253,0.400856
12254,0.18468
12255,0.07848
12311,0.911945
12312,0.840201
12313,0.762321
12314,0.546145
12315,0.439945
12321,0.852513
12322,0.780769
12323,0.702889
12324,0.486713
12325,0.380513
12331,0.787998
12332,0.716254
12333,0.638374
12334,0.422198
12335,0.315998
12341,0.60892
12342,0.537176
12343,0.459296
12344,0.24312
12345,0.13692
12351,0.520945
12352,0.449201
12353,0.371321
12354,0.155145
12355,0.048945
12411,0.829963
12412,0.758219
12413,0.680339
12414,0.464163
12415,0.357963
12421,0.770531
12422,0.698787
12423,0.620907
12424,0.404731
12425,0.298531
12431,0.706016
12432,0.634272
12433,0.556392
12434,0.340216
12435,0.234016
12441,0.526938
12442,0.455194
12443,0.377314
12444,0.161138
12445,0.054938
12451,0.438963
12452,0.367219
12453,0.289339
12454,0.073163
12455,-0.033037
12511,0.789688
12512,0.717944
12513,0.640064
12514,0.423888
12515,0.317688
12521,0.730256
12522,0.658512
12523,0.580632
12524,0.364456
12525,0.258256
12531,0.665741
12532,0.593997
12533,0.516117
12534,0.299941
12535,0.193741
12541,0.486663
12542,0.414919
12543,0.337039
12544,0.120863
12545,0.014663
12551,0.398688
12552,0.326944
12553,0.249064
12554,0.032888
12555,-0.073312
