"state","value"
11111,1
11112,0.928
11113,0.843
11114,0.735
11115,0.611
11121,0.945
11122,0.873
11123,0.788
11124,0.68
11125,0.556
11131,0.87
11132,0.798
11133,0.713
11134,0.605
11135,0.481
11141,0.758
11142,0.686
11143,0.601
11144,0.493
11145,0.369
11151,0.619
11152,0.547
11153,0.462
11154,0.354
11155,0.23
11211,0.95
11212,0.878
11213,0.793
11214,0.685
11215,0.561
11221,0.895
11222,0.823
11223,0.738
11224,0.63
11225,0.506
11231,0.82
11232,0.748
11233,0.663
11234,0.555
11235,0.431
11241,0.708
11242,0.636
11243,0.551
11244,0.443
11245,0.319
11251,0.569
11252,0.497
11253,0.412
11254,0.304
11255,0.18
11311,0.883
11312,0.811
11313,0.726
11314,0.618
11315,0.494
11321,0.828
11322,0.756
11323,0.671
11324,0.563
11325,0.439
11331,0.753
11332,0.681
11333,0.596
11334,0.488
11335,0.364
11341,0.641
11342,0.569
11343,0.484
11344,0.376
11345,0.252
11351,0.502
11352,0.43
11353,0.345
11354,0.237
11355,0.113
11411,0.783
11412,0.711
11413,0.626
11414,0.518
11415,0.394
11421,0.728
11422,0.656
11423,0.571
11424,0.463
11425,0.339
11431,0.653
11432,0.581
11433,0.496
11434,0.388
11435,0.264
11441,0.541
11442,0.469
11443,0.384
11444,0.276
11445,0.152
11451,0.402
11452,0.33
11453,0.245
11454,0.137
11455,0.013
11511,0.66
11512,0.588
11513,0.503
11514,0.395
11515,0.271
11521,0.605
11522,0.533
11523,0.448
11524,0.34
11525,0.216
11531,0.53
11532,0.458
11533,0.373
11534,0.265
11535,0.141
11541,0.418
11542,0.346
11543,0.261
11544,0.153
11545,0.029
11551,0.279
11552,0.207
11553,0.122
11554,0.014
11555,-0.11
12111,0.934
12112,0.862
12113,0.777
12114,0.669
12115,0.545
12121,0.879
12122,0.807
12123,0.722
12124,0.614
12125,0.49
12131,0.804
12132,0.732
12133,0.647
12134,0.539
12135,0.415
12141,0.692
12142,0.62
12143,0.535
12144,0.427
12145,0.303
12151,0.553
12152,0.481
12153,0.396
12154,0.288
12155,0.164
12211,0.884
12212,0.812
12213,0.727
12214,0.619
12215,0.495
12221,0.829
12222,0.757
12223,0.672
12224,0.564
12225,0.44
12231,0.754
12232,0.682
12233,0.597
12234,0.489
12235,0.365
12241,0.642
12242,0.57
12243,0.485
12244,0.377
12245,0.253
12251,0.503
12252,0.431
12253,0.346
12254,0.238
12255,0.114
12311,0.817
12312,0.745
12313,0.66
12314,0.552
12315,0.428
12321,0.762
12322,0.69
12323,0.605
12324,0.497
12325,0.373
12331,0.687
12332,0.615
12333,0.53
12334,0.422
12335,0.298
12341,0.575
12342,0.503
12343,0.418
12344,0.31
12345,0.186
12351,0.436
12352,0.364
12353,0.279
12354,0.171
12355,0.047
12411,0.717
12412,0.645
12413,0.56
12414,0.452
12415,0.328
12421,0.662
12422,0.59
12423,0.505
12424,0.397
12425,0.273
12431,0.587
12432,0.515
12433,0.43
12434,0.322
12435,0.198
12441,0.475
12442,0.403
12443,0.318
12444,0.21
12445,0.086
12451,0.336
12452,0.264
12453,0.179
12454,0.071
12455,-0.053
12511,0.594
12512,0.522
12513,0.437
12514,0.329
12515,0.205
12521,0.539
12522,0.467
12523,0.382
12524,0.274
12525,0.15
12531,0.464
12532,0.392
12533,0.307
12534,0.199
12535,0.075
12541,0.352
12542,0.28
12543,0.195
12544,0.087
12545,-0.037
12551,0.213
12552,0.141
12553,0.056
12554,-0.052
12555,-0.176
13111,0.855
13112,0.783
13113,0.698
13114,0.59
13115,0.466
13121,0.8
13122,0.728
13123,0.643
13124,0.535
13125,0.411
13131,0.725
13132,0.653
13133,0.568
13134,0.46
