"state","value"
11111,1
11112,0.877
11113,0.874
11114,0.812
11115,0.578
11121,0.928
11122,0.805
11123,0.802
11124,0.74
11125,0.506
11131,0.868
11132,0.745
11133,0.742
11134,0.679
11135,0.445
11141,0.712
11142,0.589
11143,0.586
11144,0.524
11145,0.29
11151,0.524
11152,0.401
11153,0.398
11154,0.335
11155,0.102
11211,0.857
11212,0.734
11213,0.731
11214,0.668
11215,0.434
11221,0.785
11222,0.662
11223,0.659
11224,0.596
11225,0.362
11231,0.724
11232,0.601
11233,0.598
11234,0.536
11235,0.302
11241,0.569
11242,0.446
11243,0.443
11244,0.381
11245,0.147
11251,0.381
11252,0.258
11253,0.255
11254,0.192
11255,-0.042
11311,0.842
11312,0.719
11313,0.716
11314,0.654
11315,0.42
11321,0.77
11322,0.647
11323,0.644
11324,0.582
11325,0.348
11331,0.71
11332,0.587
11333,0.584
11334,0.522
11335,0.288
11341,0.555
11342,0.432
11343,0.429
11344,0.366
11345,0.133
11351,0.366
11352,0.243
11353,0.24
11354,0.178
11355,-0.056
11411,0.768
11412,0.645
11413,0.642
11414,0.58
11415,0.346
11421,0.696
11422,0.573
11423,0.57
11424,0.508
11425,0.274
11431,0.636
11432,0.513
11433,0.51
11434,0.447
11435,0.214
11441,0.481
11442,0.358
11443,0.355
11444,0.292
11445,0.058
11451,0.292
11452,0.169
11453,0.166
11454,0.104
11455,-0.13
11511,0.652
11512,0.529
11513,0.526
11514,0.463
11515,0.229
11521,0.58
11522,0.457
11523,0.454
11524,0.391
11525,0.157
11531,0.519
11532,0.396
11533,0.393
11534,0.331
11535,0.097
11541,0.364
11542,0.241
11543,0.238
11544,0.176
11545,-0.058
11551,0.176
11552,0.053
11553,0.05
11554,-0.013
11555,-0.247
12111,0.883
12112,0.76
12113,0.757
12114,0.694
12115,0.46
12121,0.811
12122,0.688
12123,0.685
12124,0.622
12125,0.388
12131,0.75
12132,0.627
12133,0.624
12134,0.562
12135,0.328
12141,0.595
12142,0.472
12143,0.469
12144,0.407
12145,0.173
12151,0.407
12152,0.284
12153,0.281
12154,0.218
12155,-0.016
12211,0.74
12212,0.617
12213,0.614
12214,0.551
12215,0.317
12221,0.668
12222,0.544
12223,0.542
12224,0.479
12225,0.245
12231,0.607
12232,0.484
12233,0.481
12234,0.419
12235,0.185
12241,0.452
12242,0.329
12243,0.326
12244,0.264
12245,0.03
12251,0.263
12252,0.14
12253,0.137
12254,0.075
12255,-0.159
12311,0.725
12312,0.602
12313,0.599
12314,0.537
12315,0.303
12321,0.653
12322,0.53
12323,0.527
12324,0.465
12325,0.231
12331,0.593
12332,0.47
12333,0.467
12334,0.405
12335,0.171
12341,0.438
12342,0.315
12343,0.312
12344,0.249
12345,0.015
12351,0.249
12352,0.126
12353,0.123
12354,0.061
12355,-0.173
12411,0.651
12412,0.528
12413,0.525
12414,0.463
12415,0.229
12421,0.579
12422,0.456
12423,0.453
12424,0.391
12425,0.157
12431,0.519
12432,0.396
12433,0.393
12434,0.33
12435,0.096
12441,0.363
12442,0.24
12443,0.237
12444,0.175
12445,-0.059
12451,0.175
12452,0.052
12453,0.049
12454,-0.014
12455,-0.248
12511,0.534
12512,0.411
12513,0.408
12514,0.346
12515,0.112
12521,0.462
12522,0.339
12523,0.336
12524,0.274
12525,0.04
12531,0.402
12532,0.279
12533,0.276
12534,0.214
12535,-0.02
12541,0.247
12542,0.124
12543,0.121
12544,0.058
12545,-0.175
12551,0.058
12552,-0.065
12553,-0.068
12554,-0.13
12555,-0.364
13111,0.785
13112,0.662
13113,0.659
13114,0.597
13115,0.363
13121,0.713
13122,0.59
13123,0.587
13124,0.525
13125,0.291
13131,0.653
13132,0.53
13133,0.527
13134,0.465
13135,0.231
13141,0.498
13142,0.375
13143,0.372
13144,0.309
13145,0.075
13151,0.309
13152,0.186
13153,0.183
13154,0.121
13155,-0.113
13211,0.642
13212,0.519
13213,0.516
13214,0.454
13215,0.22
13221,0.57
13222,0.447
13223,0.444
13224,0.382
13225,0.148
13231,0.51
13232,0.387
13233,0.384
13234,0.321
13235,0.087
13241,0.354
13242,0.231
13243,0.228
13244,0.166
13245,-0.068
13251,0.166
13252,0.043
13253,0.04
13254,-0.022
13255,-0.256
13311,0.628
13312,0.505
13313,0.502
13314,0.439
13315,0.205
13321,0.556
13322,0.433
13323,0.43
13324,0.367
13325,0.133
13331,0.495
13332,0.372
13333,0.369
13334,0.307
13335,0.073
13341,0.34
13342,0.217
13343,0.214
13344,0.152
13345,-0.082
13351,0.152
13352,0.029
13353,0.026
13354,-0.037
13355,-0.271
