"state","value"
11111,1
11112,0.982
11113,0.971
11114,0.892
11115,0.768
11121,0.97
11122,0.952
11123,0.941
11124,0.862
11125,0.738
11131,0.95
11132,0.932
11133,0.921
11134,0.842
11135,0.718
11141,0.739
11142,0.721
11143,0.71
11144,0.631
11145,0.507
11151,0.425
11152,0.407
11153,0.396
11154,0.317
11155,0.193
11211,0.977
11212,0.959
11213,0.948
11214,0.869
11215,0.745
11221,0.947
11222,0.929
11223,0.918
11224,0.839
11225,0.715
11231,0.927
11232,0.909
11233,0.898
11234,0.819
11235,0.695
11241,0.716
11242,0.698
11243,0.687
11244,0.608
11245,0.484
11251,0.402
11252,0.384
11253,0.373
11254,0.294
11255,0.17
11311,0.96
11312,0.942
11313,0.931
11314,0.852
11315,0.728
11321,0.93
11322,0.912
11323,0.901
11324,0.822
11325,0.698
11331,0.91
11332,0.892
11333,0.881
11334,0.802
11335,0.678
11341,0.699
11342,0.681
11343,0.67
11344,0.591
11345,0.467
11351,0.385
11352,0.367
11353,0.356
11354,0.277
11355,0.153
11411,0.903
11412,0.885
11413,0.874
11414,0.795
11415,0.671
11421,0.873
11422,0.855
11423,0.844
11424,0.765
11425,0.641
11431,0.853
11432,0.835
11433,0.824
11434,0.745
11435,0.621
11441,0.642
11442,0.624
11443,0.613
11444,0.534
11445,0.41
11451,0.328
11452,0.31
11453,0.299
11454,0.22
11455,0.096
11511,0.795
11512,0.777
11513,0.766
11514,0.687
11515,0.563
11521,0.765
11522,0.747
11523,0.736
11524,0.657
11525,0.533
11531,0.745
11532,0.727
11533,0.716
11534,0.637
11535,0.513
11541,0.534
11542,0.516
11543,0.505
11544,0.426
11545,0.302
11551,0.22
11552,0.202
11553,0.191
11554,0.112
11555,-0.012
12111,0.969
12112,0.951
12113,0.94
12114,0.861
12115,0.737
12121,0.939
12122,0.921
12123,0.91
12124,0.831
12125,0.707
12131,0.919
12132,0.901
12133,0.89
12134,0.811
12135,0.687
12141,0.708
12142,0.69
12143,0.679
12144,0.6
12145,0.476
12151,0.394
12152,0.376
12153,0.365
12154,0.286
12155,0.162
12211,0.946
12212,0.928
12213,0.917
12214,0.838
12215,0.714
12221,0.916
12222,0.898
12223,0.887
12224,0.808
12225,0.684
12231,0.896
12232,0.878
12233,0.867
12234,0.788
12235,0.664
12241,0.685
12242,0.667
12243,0.656
12244,0.577
12245,0.453
12251,0.371
12252,0.353
12253,0.342
12254,0.263
12255,0.139
12311,0.929
12312,0.911
12313,0.9
12314,0.821
12315,0.697
12321,0.899
12322,0.881
12323,0.87
12324,0.791
12325,0.667
12331,0.879
12332,0.861
12333,0.85
12334,0.771
12335,0.647
12341,0.668
12342,0.65
12343,0.639
12344,0.56
12345,0.436
12351,0.354
12352,0.336
12353,0.325
12354,0.246
12355,0.122
12411,0.872
12412,0.854
12413,0.843
12414,0.764
12415,0.64
12421,0.842
12422,0.824
12423,0.813
12424,0.734
12425,0.61
12431,0.822
12432,0.804
12433,0.793
12434,0.714
12435,0.59
12441,0.611
12442,0.593
12443,0.582
12444,0.503
12445,0.379
12451,0.297
12452,0.279
12453,0.268
12454,0.189
12455,0.065
12511,0.764
12512,0.746
12513,0.735
12514,0.656
12515,0.532
12521,0.734
12522,0.716
12523,0.705
12524,0.626
12525,0.502
12531,0.714
12532,0.696
12533,0.685
12534,0.606
12535,0.482
12541,0.503
12542,0.485
12543,0.474
12544,0.395
12545,0.271
12551,0.189
12552,0.171
12553,0.16
12554,0.081
12555,-0.043
13111,0.953
13112,0.935
13113,0.924
13114,0.845
13115,0.721
13121,0.923
13122,0.905
13123,0.894
13124,0.815
13125,0.691
13131,0.903
13132,0.885
13133,0.874
13134,0.795
13135,0.671
13141,0.692
13142,0.674
13143,0.663
13144,0.584
13145,0.46
13151,0.378
13152,0.36
13153,0.349
13154,0.27
13155,0.146
13211,0.93
13212,0.912
13213,0.901
13214,0.822
13215,0.698
13221,0.9
13222,0.882
13223,0.871
13224,0.792
13225,0.668
13231,0.88
13232,0.862
13233,0.851
13234,0.772
13235,0.648
13241,0.669
13242,0.651
13243,0.64
13244,0.561
13245,0.437
13251,0.355
13252,0.337
13253,0.326
13254,0.247
13255,0.123
13311,0.913
13312,0.895
13313,0.884
13314,0.805
13315,0.681
13321,0.883
13322,0.865
13323,0.854
13324,0.775
13325,0.651
13331,0.863
13332,0.845
13333,0.834
13334,0.755
13335,0.631
13341,0.652
13342,0.634
13343,0.623
13344,0.544
13345,0.42
13351,0.338
13352,0.32
13353,0.309
13354,0.23
13355,0.106
13411,0.856
13412,0.838
13413,0.827
13414,0.748
13415,0.624
13421,0.826
13422,0.808
13423,0.797
13424,0.718
13425,0.594
13431,0.806
13432,0.788
13433,0.777
13434,0.698
13435,0.574
13441,0.595
13442,0.577
13443,0.566
13444,0.487
13445,0.363
13451,0.281
13452,0.263
13453,0.252
13454,0.173
13455,0.049
13511,0.748
13512,0.73
13513,0.719
13514,0.64
13515,0.516
13521,0.718
13522,0.7
13523,0.689
13524,0.61
13525,0.486
13531,0.698
13532,0.68
13533,0.669
13534,0.59
13535,0.466
13541,0.487
13542,0.469
13543,0.458
13544,0.379
13545,0.255
13551,0.173
13552,0.155
13553,0.144
13554,0.065
13555,-0.059
14111,0.889
14112,0.871
14113,0.86
14114,0.781
14115,0.657
14121,0.859
14122,0.841
14123,0.83
14124,0.751
14125,0.627
14131,0.839
14132,0.821
14133,0.81
14134,0.731
14135,0.607
14141,0.628
14142,0.61
14143,0.599
14144,0.52
14145,0.396
14151,0.314
14152,0.296
14153,0.285
14154,0.206
14155,0.082
14211,0.866
14212,0.848
14213,0.837
14214,0.758
14215,0.634
14221,0.836
14222,0.818
14223,0.807
14224,0.728
14225,0.604
14231,0.816
14232,0.798
14233,0.787
14234,0.708
14235,0.584
14241,0.605
14242,0.587
14243,0.576
14244,0.497
14245,0.373
14251,0.291
14252,0.273
14253,0.262
14254,0.183
14255,0.059
14311,0.849
14312,0.831
14313,0.82
14314,0.741
14315,0.617
14321,0.819
14322,0.801
14323,0.79
14324,0.711
14325,0.587
14331,0.799
14332,0.781
14333,0.77
14334,0.691
14335,0.567
14341,0.588
14342,0.57
14343,0.559
14344,0.48
14345,0.356
14351,0.274
14352,0.256
14353,0.245
14354,0.166
14355,0.042
14411,0.792
14412,0.774
14413,0.763
14414,0.684
14415,0.56
14421,0.762
14422,0.744
14423,0.733
14424,0.654
14425,0.53
14431,0.742
14432,0.724
14433,0.713
14434,0.634
14435,0.51
14441,0.531
14442,0.513
14443,0.502
14444,0.423
14445,0.299
14451,0.217
14452,0.199
14453,0.188
14454,0.109
14455,-0.015
14511,0.684
14512,0.666
14513,0.655
14514,0.576
14515,0.452
14521,0.654
14522,0.636
14523,0.625
14524,0.546
14525,0.422
14531,0.634
14532,0.616
14533,0.605
14534,0.526
14535,0.402
14541,0.423
14542,0.405
14543,0.394
14544,0.315
14545,0.191
14551,0.109
14552,0.091
14553,0.08
14554,0.001
14555,-0.123
15111,0.736
15112,0.718
15113,0.707
15114,0.628
15115,0.504
15121,0.706
15122,0.688
15123,0.677
15124,0.598
15125,0.474
15131,0.686
15132,0.668
15133,0.657
15134,0.578
15135,0.454
15141,0.475
15142,0.457
15143,0.446
15144,0.367
15145,0.243
15151,0.161
15152,0.143
15153,0.132
15154,0.053
15155,-0.071
15211,0.713
15212,0.695
15213,0.684
15214,0.605
15215,0.481
15221,0.683
15222,0.665
15223,0.654
15224,0.575
15225,0.451
15231,0.663
15232,0.645
15233,0.634
15234,0.555
15235,0.431
15241,0.452
15242,0.434
15243,0.423
15244,0.344
15245,0.22
15251,0.138
15252,0.12
15253,0.109
15254,0.03
15255,-0.094
15311,0.696
15312,0.678
15313,0.667
15314,0.588
15315,0.464
15321,0.666
15322,0.648
15323,0.637
15324,0.558
15325,0.434
15331,0.646
15332,0.628
15333,0.617
15334,0.538
15335,0.414
15341,0.435
15342,0.417
15343,0.406
15344,0.327
15345,0.203
15351,0.121
15352,0.103
15353,0.092
15354,0.013
15355,-0.111
15411,0.639
15412,0.621
15413,0.61
15414,0.531
15415,0.407
15421,0.609
15422,0.591
15423,0.58
15424,0.501
15425,0.377
15431,0.589
15432,0.571
15433,0.56
15434,0.481
15435,0.357
15441,0.378
15442,0.36
15443,0.349
15444,0.27
15445,0.146
15451,0.064
15452,0.046
15453,0.035
15454,-0.044
15455,-0.168
15511,0.531
15512,0.513
15513,0.502
15514,0.423
15515,0.299
15521,0.501
15522,0.483
15523,0.472
15524,0.393
15525,0.269
15531,0.481
15532,0.463
15533,0.452
15534,0.373
15535,0.249
15541,0.27
15542,0.252
15543,0.241
15544,0.162
15545,0.038
15551,-0.044
15552,-0.062
15553,-0.073
15554,-0.152
15555,-0.276
21111,0.975
21112,0.957
21113,0.946
21114,0.867
21115,0.743
21121,0.945
21122,0.927
21123,0.916
21124,0.837
21125,0.713
21131,0.925
21132,0.907
21133,0.896
21134,0.817
21135,0.693
21141,0.714
21142,0.696
21143,0.685
21144,0.606
21145,0.482
21151,0.4
21152,0.382
21153,0.371
21154,0.292
21155,0.168
21211,0.952
21212,0.934
21213,0.923
21214,0.844
21215,0.72
21221,0.922
21222,0.904
21223,0.893
21224,0.814
21225,0.69
21231,0.902
21232,0.884
21233,0.873
21234,0.794
21235,0.67
21241,0.691
21242,0.673
21243,0.662
21244,0.583
21245,0.459
21251,0.377
21252,0.359
21253,0.348
21254,0.269
21255,0.145
21311,0.935
21312,0.917
21313,0.906
21314,0.827
21315,0.703
21321,0.905
21322,0.887
21323,0.876
21324,0.797
21325,0.673
21331,0.885
21332,0.867
21333,0.856
21334,0.777
21335,0.653
21341,0.674
21342,0.656
21343,0.645
21344,0.566
21345,0.442
21351,0.36
21352,0.342
21353,0.331
21354,0.252
21355,0.128
21411,0.878
21412,0.86
21413,0.849
21414,0.77
21415,0.646
21421,0.848
21422,0.83
21423,0.819
21424,0.74
21425,0.616
21431,0.828
21432,0.81
21433,0.799
21434,0.72
21435,0.596
21441,0.617
21442,0.599
21443,0.588
21444,0.509
21445,0.385
21451,0.303
21452,0.285
21453,0.274
21454,0.195
21455,0.071
21511,0.77
21512,0.752
21513,0.741
21514,0.662
21515,0.538
21521,0.74
21522,0.722
21523,0.711
21524,0.632
21525,0.508
21531,0.72
21532,0.702
21533,0.691
21534,0.612
21535,0.488
21541,0.509
21542,0.491
21543,0.48
21544,0.401
21545,0.277
21551,0.195
21552,0.177
21553,0.166
21554,0.087
21555,-0.037
22111,0.944
22112,0.926
22113,0.915
22114,0.836
22115,0.712
22121,0.914
22122,0.896
22123,0.885
22124,0.806
22125,0.682
22131,0.894
22132,0.876
22133,0.865
22134,0.786
22135,0.662
22141,0.683
22142,0.665
22143,0.654
22144,0.575
22145,0.451
22151,0.369
22152,0.351
22153,0.34
22154,0.261
22155,0.137
22211,0.921
22212,0.903
22213,0.892
22214,0.813
22215,0.689
22221,0.891
22222,0.873
22223,0.862
22224,0.783
22225,0.659
22231,0.871
22232,0.853
22233,0.842
22234,0.763
22235,0.639
22241,0.66
22242,0.642
22243,0.631
22244,0.552
22245,0.428
22251,0.346
22252,0.328
22253,0.317
22254,0.238
22255,0.114
22311,0.904
22312,0.886
22313,0.875
22314,0.796
22315,0.672
22321,0.874
22322,0.856
22323,0.845
22324,0.766
22325,0.642
22331,0.854
22332,0.836
22333,0.825
22334,0.746
22335,0.622
22341,0.643
22342,0.625
22343,0.614
22344,0.535
22345,0.411
22351,0.329
22352,0.311
22353,0.3
22354,0.221
22355,0.097
22411,0.847
22412,0.829
22413,0.818
22414,0.739
22415,0.615
22421,0.817
22422,0.799
22423,0.788
22424,0.709
22425,0.585
22431,0.797
22432,0.779
22433,0.768
22434,0.689
22435,0.565
22441,0.586
22442,0.568
22443,0.557
22444,0.478
22445,0.354
22451,0.272
22452,0.254
22453,0.243
22454,0.164
22455,0.04
22511,0.739
22512,0.721
22513,0.71
22514,0.631
22515,0.507
22521,0.709
22522,0.691
22523,0.68
22524,0.601
22525,0.477
22531,0.689
22532,0.671
22533,0.66
22534,0.581
22535,0.457
22541,0.478
22542,0.46
22543,0.449
22544,0.37
22545,0.246
22551,0.164
22552,0.146
22553,0.135
22554,0.056
22555,-0.068
23111,0.928
23112,0.91
23113,0.899
23114,0.82
23115,0.696
23121,0.898
23122,0.88
