"state","value"
11111,1
11112,0.962008
11113,0.9407959
11114,0.8898235
11115,0.7815847
11121,0.9468813
11122,0.9088893
11123,0.8876772
11124,0.8367048
11125,0.728466
11131,0.9225669
11132,0.8845749
11133,0.8633628
11134,0.8123904
11135,0.7041516
11141,0.8443473
11142,0.8063553
11143,0.7851432
11144,0.7341708
11145,0.625932
11151,0.6247528
11152,0.5867608
11153,0.5655487
11154,0.5145763
11155,0.4063375
11211,0.9608237
11212,0.9228317
11213,0.9016196
11214,0.8506472
11215,0.7424084
11221,0.907705
11222,0.869713
11223,0.8485009
11224,0.7975285
11225,0.6892897
11231,0.8833906
11232,0.8453986
11233,0.8241865
11234,0.7732141
11235,0.6649753
11241,0.805171
11242,0.767179
11243,0.7459669
11244,0.6949945
11245,0.5867557
11251,0.5855765
11252,0.5475845
11253,0.5263724
11254,0.4754
11255,0.3671612
11311,0.942298
11312,0.904306
11313,0.8830939
11314,0.8321215
11315,0.7238827
11321,0.8891793
11322,0.8511873
11323,0.8299752
11324,0.7790028
11325,0.670764
11331,0.8648649
11332,0.8268729
11333,0.8056608
11334,0.7546884
11335,0.6464496
11341,0.7866453
11342,0.7486533
11343,0.7274412
11344,0.6764688
11345,0.56823
11351,0.5670508
11352,0.5290588
11353,0.5078467
11354,0.4568743
11355,0.3486355
11411,0.8887458
11412,0.8507538
11413,0.8295417
11414,0.7785693
11415,0.6703305
11421,0.8356271
11422,0.7976351
11423,0.776423
11424,0.7254506
11425,0.6172118
11431,0.8113127
11432,0.7733207
11433,0.7521086
11434,0.7011362
11435,0.5928974
11441,0.7330931
11442,0.6951011
11443,0.673889
11444,0.6229166
11445,0.5146778
11451,0.5134986
11452,0.4755066
11453,0.4542945
11454,0.4033221
11455,0.2950833
11511,0.7966763
11512,0.7586843
11513,0.7374722
11514,0.6864998
11515,0.578261
11521,0.7435576
11522,0.7055656
11523,0.6843535
11524,0.6333811
11525,0.5251423
11531,0.7192432
11532,0.6812512
11533,0.6600391
11534,0.6090667
11535,0.5008279
11541,0.6410236
11542,0.6030316
11543,0.5818195
11544,0.5308471
11545,0.4226083
11551,0.4214291
11552,0.3834371
11553,0.362225
11554,0.3112526
11555,0.2030138
12111,0.9522496
12112,0.9142576
12113,0.8930455
12114,0.8420731
12115,0.7338343
12121,0.8991309
12122,0.8611389
12123,0.8399268
12124,0.7889544
12125,0.6807156
12131,0.8748165
12132,0.8368245
12133,0.8156124
12134,0.76464
12135,0.6564012
12141,0.7965969
12142,0.7586049
12143,0.7373928
12144,0.6864204
12145,0.5781816
12151,0.5770024
12152,0.5390104
12153,0.5177983
12154,0.4668259
12155,0.3585871
12211,0.9130733
12212,0.8750813
12213,0.8538692
12214,0.8028968
12215,0.694658
12221,0.8599546
12222,0.8219626
12223,0.8007505
12224,0.7497781
12225,0.6415393
12231,0.8356402
12232,0.7976482
12233,0.7764361
12234,0.7254637
12235,0.6172249
12241,0.7574206
12242,0.7194286
12243,0.6982165
12244,0.6472441
12245,0.5390053
12251,0.5378261
12252,0.4998341
12253,0.478622
12254,0.4276496
12255,0.3194108
12311,0.8945476
12312,0.8565556
12313,0.8353435
12314,0.7843711
12315,0.6761323
12321,0.8414289
12322,0.8034369
12323,0.7822248
12324,0.7312524
12325,0.6230136
12331,0.8171145
12332,0.7791225
12333,0.7579104
12334,0.706938
12335,0.5986992
12341,0.7388949
12342,0.7009029
12343,0.6796908
12344,0.6287184
12345,0.5204796
12351,0.5193004
12352,0.4813084
12353,0.4600963
12354,0.4091239
12355,0.3008851
12411,0.8409954
12412,0.8030034
12413,0.7817913
12414,0.7308189
12415,0.6225801
12421,0.7878767
12422,0.7498847
12423,0.7286726
12424,0.6777002
12425,0.5694614
12431,0.7635623
12432,0.7255703
12433,0.7043582
12434,0.6533858
12435,0.545147
12441,0.6853427
12442,0.6473507
12443,0.6261386
12444,0.5751662
12445,0.4669274
12451,0.4657482
12452,0.4277562
12453,0.4065441
12454,0.3555717
12455,0.2473329
12511,0.7489259
12512,0.7109339
12513,0.6897218
12514,0.6387494
12515,0.5305106
12521,0.6958072
12522,0.6578152
12523,0.6366031
12524,0.5856307
12525,0.4773919
12531,0.6714928
12532,0.6335008
12533,0.6122887
12534,0.5613163
12535,0.4530775
12541,0.5932732
12542,0.5552812
12543,0.5340691
12544,0.4830967
12545,0.3748579
12551,0.3736787
12552,0.3356867
12553,0.3144746
12554,0.2635022
12555,0.1552634
13111,0.9483038
13112,0.9103118
13113,0.8890997
13114,0.8381273
13115,0.7298885
13121,0.8951851
13122,0.8571931
13123,0.835981
13124,0.7850086
13125,0.6767698
13131,0.8708707
13132,0.8328787
13133,0.8116666
13134,0.7606942
13135,0.6524554
13141,0.7926511
13142,0.7546591
13143,0.733447
13144,0.6824746
13145,0.5742358
13151,0.5730566
13152,0.5350646
13153,0.5138525
13154,0.4628801
13155,0.3546413
13211,0.9091275
13212,0.8711355
13213,0.8499234
13214,0.798951
13215,0.6907122
13221,0.8560088
13222,0.8180168
13223,0.7968047
13224,0.7458323
13225,0.6375935
13231,0.8316944
13232,0.7937024
13233,0.7724903
13234,0.7215179
13235,0.6132791
13241,0.7534748
13242,0.7154828
13243,0.6942707
13244,0.6432983
13245,0.5350595
13251,0.5338803
13252,0.4958883
13253,0.4746762
13254,0.4237038
13255,0.315465
13311,0.8906018
13312,0.8526098
13313,0.8313977
13314,0.7804253
13315,0.6721865
13321,0.8374831
13322,0.7994911
13323,0.778279
13324,0.7273066
13325,0.6190678
13331,0.8131687
13332,0.7751767
13333,0.7539646
13334,0.7029922
13335,0.5947534
13341,0.7349491
13342,0.6969571
13343,0.675745
13344,0.6247726
13345,0.5165338
13351,0.5153546
13352,0.4773626
13353,0.4561505
13354,0.4051781
13355,0.2969393
13411,0.8370496
13412,0.7990576
13413,0.7778455
13414,0.7268731
13415,0.6186343
13421,0.7839309
13422,0.7459389
13423,0.7247268
13424,0.6737544
13425,0.5655156
13431,0.7596165
13432,0.7216245
13433,0.7004124
13434,0.64944
13435,0.5412012
13441,0.6813969
13442,0.6434049
13443,0.6221928
13444,0.5712204
13445,0.4629816
13451,0.4618024
13452,0.4238104
13453,0.4025983
13454,0.3516259
13455,0.2433871
13511,0.7449801
13512,0.7069881
13513,0.685776
13514,0.6348036
13515,0.5265648
13521,0.6918614
13522,0.6538694
13523,0.6326573
13524,0.5816849
13525,0.4734461
13531,0.667547
13532,0.629555
13533,0.6083429
13534,0.5573705
13535,0.4491317
13541,0.5893274
13542,0.5513354
13543,0.5301233
13544,0.4791509
13545,0.3709121
13551,0.3697329
13552,0.3317409
13553,0.3105288
13554,0.2595564
13555,0.1513176
14111,0.902165
14112,0.864173
14113,0.8429609
14114,0.7919885
14115,0.6837497
14121,0.8490463
14122,0.8110543
14123,0.7898422
14124,0.7388698
14125,0.630631
14131,0.8247319
14132,0.7867399
14133,0.7655278
14134,0.7145554
14135,0.6063166
14141,0.7465123
14142,0.7085203
14143,0.6873082
14144,0.6363358
14145,0.528097
14151,0.5269178
14152,0.4889258
14153,0.4677137
14154,0.4167413
14155,0.3085025
14211,0.8629887
14212,0.8249967
14213,0.8037846
14214,0.7528122
14215,0.6445734
14221,0.80987
14222,0.771878
14223,0.7506659
14224,0.6996935
14225,0.5914547
14231,0.7855556
14232,0.7475636
14233,0.7263515
14234,0.6753791
14235,0.5671403
14241,0.707336
14242,0.669344
14243,0.6481319
14244,0.5971595
14245,0.4889207
14251,0.4877415
14252,0.4497495
14253,0.4285374
14254,0.377565
14255,0.2693262
14311,0.844463
14312,0.806471
14313,0.7852589
14314,0.7342865
14315,0.6260477
14321,0.7913443
14322,0.7533523
14323,0.7321402
14324,0.6811678
14325,0.572929
14331,0.7670299
14332,0.7290379
14333,0.7078258
14334,0.6568534
14335,0.5486146
14341,0.6888103
14342,0.6508183
14343,0.6296062
14344,0.5786338
14345,0.470395
14351,0.4692158
14352,0.4312238
14353,0.4100117
14354,0.3590393
14355,0.2508005
14411,0.7909108
14412,0.7529188
14413,0.7317067
14414,0.6807343
14415,0.5724955
14421,0.7377921
14422,0.6998001
14423,0.678588
14424,0.6276156
14425,0.5193768
14431,0.7134777
14432,0.6754857
14433,0.6542736
14434,0.6033012
14435,0.4950624
14441,0.6352581
14442,0.5972661
14443,0.576054
14444,0.5250816
14445,0.4168428
14451,0.4156636
14452,0.3776716
14453,0.3564595
14454,0.3054871
14455,0.1972483
14511,0.6988413
14512,0.6608493
14513,0.6396372
14514,0.5886648
14515,0.480426
14521,0.6457226
14522,0.6077306
14523,0.5865185
14524,0.5355461
14525,0.4273073
14531,0.6214082
14532,0.5834162
14533,0.5622041
14534,0.5112317
14535,0.4029929
14541,0.5431886
14542,0.5051966
14543,0.4839845
14544,0.4330121
14545,0.3247733
14551,0.3235941
14552,0.2856021
14553,0.26439
14554,0.2134176
14555,0.1051788
15111,0.7673548
15112,0.7293628
15113,0.7081507
15114,0.6571783
15115,0.5489395
15121,0.7142361
15122,0.6762441
15123,0.655032
15124,0.6040596
15125,0.4958208
15131,0.6899217
15132,0.6519297
15133,0.6307176
15134,0.5797452
15135,0.4715064
15141,0.6117021
15142,0.5737101
15143,0.552498
15144,0.5015256
15145,0.3932868
15151,0.3921076
15152,0.3541156
15153,0.3329035
15154,0.2819311
15155,0.1736923
15211,0.7281785
15212,0.6901865
15213,0.6689744
15214,0.618002
15215,0.5097632
15221,0.6750598
15222,0.6370678
15223,0.6158557
15224,0.5648833
15225,0.4566445
15231,0.6507454
15232,0.6127534
15233,0.5915413
15234,0.5405689
15235,0.4323301
15241,0.5725258
15242,0.5345338
15243,0.5133217
15244,0.4623493
15245,0.3541105
15251,0.3529313
