"state","value"
11111,1
11112,0.958
11113,0.889
11114,0.732
11115,0.648
11121,0.961
11122,0.919
11123,0.85
11124,0.693
11125,0.609
11131,0.907
11132,0.865
11133,0.796
11134,0.639
11135,0.555
11141,0.659
11142,0.617
11143,0.548
11144,0.391
11145,0.307
11151,0.555
11152,0.513
11153,0.444
11154,0.287
11155,0.203
11211,0.976
11212,0.934
11213,0.865
11214,0.708
11215,0.624
11221,0.937
11222,0.895
11223,0.826
11224,0.669
11225,0.585
11231,0.883
11232,0.841
11233,0.772
11234,0.615
11235,0.531
11241,0.635
11242,0.593
11243,0.524
11244,0.367
11245,0.283
11251,0.531
11252,0.489
11253,0.42
11254,0.263
11255,0.179
11311,0.952
11312,0.91
11313,0.841
11314,0.684
11315,0.6
11321,0.913
11322,0.871
11323,0.802
11324,0.645
11325,0.561
11331,0.859
11332,0.817
11333,0.748
11334,0.591
11335,0.507
11341,0.611
11342,0.569
11343,0.5
11344,0.343
11345,0.259
11351,0.507
11352,0.465
11353,0.396
11354,0.239
11355,0.155
11411,0.88
11412,0.838
11413,0.769
11414,0.612
11415,0.528
11421,0.841
11422,0.799
11423,0.73
11424,0.573
11425,0.489
11431,0.787
11432,0.745
11433,0.676
11434,0.519
11435,0.435
11441,0.539
11442,0.497
11443,0.428
11444,0.271
11445,0.187
11451,0.435
11452,0.393
11453,0.324
11454,0.167
11455,0.083
11511,0.809
11512,0.767
11513,0.698
11514,0.541
11515,0.457
11521,0.77
11522,0.728
11523,0.659
11524,0.502
11525,0.418
11531,0.716
11532,0.674
11533,0.605
11534,0.448
11535,0.364
11541,0.468
11542,0.426
11543,0.357
11544,0.2
11545,0.116
11551,0.364
11552,0.322
11553,0.253
11554,0.096
11555,0.012
12111,0.964
12112,0.922
12113,0.853
12114,0.696
12115,0.612
12121,0.925
12122,0.883
12123,0.814
12124,0.657
12125,0.573
12131,0.871
12132,0.829
12133,0.76
12134,0.603
12135,0.519
12141,0.623
12142,0.581
12143,0.512
12144,0.355
12145,0.271
12151,0.519
12152,0.477
12153,0.408
12154,0.251
12155,0.167
12211,0.94
12212,0.898
12213,0.829
12214,0.672
12215,0.588
12221,0.901
12222,0.859
12223,0.79
12224,0.633
12225,0.549
12231,0.847
12232,0.805
12233,0.736
12234,0.579
12235,0.495
12241,0.599
12242,0.557
12243,0.488
12244,0.331
12245,0.247
12251,0.495
12252,0.453
12253,0.384
12254,0.227
12255,0.143
12311,0.916
12312,0.874
12313,0.805
12314,0.648
12315,0.564
12321,0.877
12322,0.835
12323,0.766
12324,0.609
12325,0.525
12331,0.823
12332,0.781
12333,0.712
12334,0.555
12335,0.471
12341,0.575
12342,0.533
12343,0.464
12344,0.307
12345,0.223
12351,0.471
12352,0.429
12353,0.36
12354,0.203
12355,0.119
12411,0.844
12412,0.802
12413,0.733
12414,0.576
12415,0.492
12421,0.805
12422,0.763
12423,0.694
12424,0.537
12425,0.453
12431,0.751
12432,0.709
12433,0.64
12434,0.483
12435,0.399
12441,0.503
12442,0.461
12443,0.392
12444,0.235
12445,0.151
12451,0.399
12452,0.357
12453,0.288
12454,0.131
12455,0.047
12511,0.773
12512,0.731
12513,0.662
12514,0.505
12515,0.421
12521,0.734
12522,0.692
12523,0.623
12524,0.466
12525,0.382
12531,0.68
12532,0.638
12533,0.569
12534,0.412
12535,0.328
12541,0.432
12542,0.39
12543,0.321
12544,0.164
12545,0.08
12551,0.328
12552,0.286
12553,0.217
12554,0.06
12555,-0.024
13111,0.94
13112,0.898
13113,0.829
13114,0.672
13115,0.588
