"state","value"
11111,0.976
11112,0.943
11113,0.889
11114,0.775
11115,0.739
11121,0.965
11122,0.932
11123,0.878
11124,0.765
11125,0.729
11131,0.933
11132,0.9
11133,0.846
11134,0.733
11135,0.697
11141,0.873
11142,0.841
11143,0.786
11144,0.673
11145,0.637
11151,0.776
11152,0.743
11153,0.689
11154,0.576
11155,0.542
11211,0.921
11212,0.888
11213,0.834
11214,0.72
11215,0.684
11221,0.91
11222,0.877
11223,0.823
11224,0.71
11225,0.674
11231,0.878
11232,0.845
11233,0.791
11234,0.678
11235,0.642
11241,0.818
11242,0.786
11243,0.731
11244,0.618
11245,0.582
11251,0.721
11252,0.688
11253,0.634
11254,0.521
11255,0.487
11311,0.861
11312,0.829
11313,0.774
11314,0.661
11315,0.625
11321,0.85
11322,0.818
11323,0.764
11324,0.65
11325,0.614
11331,0.818
11332,0.786
11333,0.732
11334,0.618
11335,0.582
11341,0.759
11342,0.726
11343,0.672
11344,0.559
11345,0.523
11351,0.662
11352,0.629
11353,0.575
11354,0.461
11355,0.428
11411,0.812
11412,0.779
11413,0.725
11414,0.611
11415,0.575
11421,0.801
11422,0.768
11423,0.714
11424,0.601
11425,0.565
11431,0.769
11432,0.736
11433,0.682
11434,0.569
11435,0.533
11441,0.709
11442,0.677
11443,0.622
11444,0.509
11445,0.473
11451,0.612
11452,0.579
11453,0.525
11454,0.412
11455,0.378
11511,0.809
11512,0.777
11513,0.723
11514,0.609
11515,0.575
11521,0.798
11522,0.766
11523,0.712
11524,0.598
11525,0.565
11531,0.767
11532,0.734
11533,0.68
11534,0.566
11535,0.533
11541,0.707
11542,0.674
11543,0.62
11544,0.507
11545,0.473
11551,0.612
11552,0.579
11553,0.525
11554,0.412
11555,0.378
12111,0.95
12112,0.918
12113,0.863
12114,0.75
12115,0.714
12121,0.939
12122,0.907
12123,0.853
12124,0.739
12125,0.703
12131,0.907
12132,0.875
12133,0.821
12134,0.707
12135,0.671
12141,0.848
12142,0.815
12143,0.761
12144,0.648
12145,0.612
12151,0.75
12152,0.718
12153,0.664
12154,0.55
12155,0.517
12211,0.895
12212,0.863
12213,0.808
12214,0.695
12215,0.659
12221,0.884
12222,0.852
12223,0.798
12224,0.684
12225,0.648
12231,0.852
12232,0.82
12233,0.766
12234,0.652
12235,0.616
12241,0.793
12242,0.76
12243,0.706
12244,0.593
12245,0.557
12251,0.696
12252,0.663
12253,0.609
12254,0.495
12255,0.462
12311,0.836
12312,0.803
12313,0.749
12314,0.636
12315,0.6
12321,0.825
12322,0.792
12323,0.738
12324,0.625
12325,0.589
12331,0.793
12332,0.761
12333,0.706
12334,0.593
12335,0.557
12341,0.733
12342,0.701
12343,0.647
12344,0.533
12345,0.497
12351,0.636
12352,0.604
12353,0.549
12354,0.436
12355,0.402
12411,0.786
12412,0.754
12413,0.699
12414,0.586
12415,0.55
12421,0.775
12422,0.743
12423,0.689
12424,0.575
12425,0.539
12431,0.743
12432,0.711
12433,0.657
12434,0.543
12435,0.507
12441,0.684
12442,0.651
12443,0.597
12444,0.484
12445,0.448
12451,0.587
12452,0.554
12453,0.5
12454,0.386
12455,0.353
12511,0.784
12512,0.751
12513,0.697
12514,0.584
12515,0.55
12521,0.773
12522,0.741
12523,0.686
12524,0.573
12525,0.539
12531,0.741
12532,0.709
12533,0.654
12534,0.541
12535,0.507
12541,0.681
12542,0.649
12543,0.595
12544,0.481
12545,0.448
12551,0.587
12552,0.554
12553,0.5
12554,0.386
12555,0.353
13111,0.894
13112,0.861
13113,0.807
13114,0.694
13115,0.658
13121,0.883
13122,0.851
13123,0.796
13124,0.683
13125,0.647
13131,0.851
13132,0.819
13133,0.764
13134,0.651
13135,0.615
13141,0.791
13142,0.759
13143,0.705
13144,0.591
13145,0.555
13151,0.694
13152,0.662
13153,0.607
13154,0.494
13155,0.46
13211,0.839
13212,0.806
13213,0.752
13214,0.639
13215,0.603
13221,0.828
13222,0.796
13223,0.741
13224,0.628
13225,0.592
13231,0.796
13232,0.764
13233,0.709
13234,0.596
13235,0.56
13241,0.737
13242,0.704
13243,0.65
13244,0.536
13245,0.5
13251,0.639
13252,0.607
13253,0.552
13254,0.439
13255,0.405
13311,0.78
13312,0.747
13313,0.693
13314,0.579
13315,0.543
13321,0.769
13322,0.736
13323,0.682
13324,0.569
13325,0.533
13331,0.737
13332,0.704
13333,0.65
13334,0.537
13335,0.501
13341,0.677
13342,0.645
13343,0.59
13344,0.477
13345,0.441
13351,0.58
13352,0.547
13353,0.493
13354,0.38
13355,0.346
13411,0.73
13412,0.697
13413,0.643
13414,0.53
13415,0.494
13421,0.719
13422,0.687
13423,0.632
13424,0.519
13425,0.483
13431,0.687
13432,0.655
13433,0.6
13434,0.487
13435,0.451
13441,0.628
13442,0.595
13443,0.541
13444,0.427
13445,0.391
13451,0.53
13452,0.498
13453,0.443
13454,0.33
13455,0.296
13511,0.728
13512,0.695
13513,0.641
13514,0.527
13515,0.494
13521,0.717
13522,0.684
13523,0.63
13524,0.517
13525,0.483
13531,0.685
13532,0.652
13533,0.598
13534,0.485
13535,0.451
13541,0.625
13542,0.593
13543,0.538
13544,0.425
13545,0.391
13551,0.53
13552,0.498
13553,0.443
13554,0.33
13555,0.296
14111,0.893
14112,0.861
14113,0.806
14114,0.693
14115,0.657
14121,0.882
14122,0.85
14123,0.795
14124,0.682
14125,0.646
14131,0.85
14132,0.818
14133,0.764
14134,0.65
14135,0.614
14141,0.791
14142,0.758
14143,0.704
14144,0.591
14145,0.554
14151,0.693
14152,0.661
14153,0.607
14154,0.493
14155,0.46
14211,0.838
14212,0.806
14213,0.751
14214,0.638
14215,0.602
14221,0.827
14222,0.795
14223,0.741
14224,0.627
14225,0.591
14231,0.795
14232,0.763
14233,0.709
14234,0.595
14235,0.559
14241,0.736
14242,0.703
14243,0.649
14244,0.536
14245,0.5
14251,0.639
14252,0.606
14253,0.552
14254,0.438
14255,0.405
14311,0.779
14312,0.746
14313,0.692
14314,0.579
14315,0.543
14321,0.768
14322,0.736
14323,0.681
14324,0.568
14325,0.532
14331,0.736
14332,0.704
14333,0.649
14334,0.536
14335,0.5
14341,0.676
14342,0.644
14343,0.59
14344,0.476
14345,0.44
14351,0.579
14352,0.547
14353,0.492
14354,0.379
14355,0.345
14411,0.729
14412,0.697
14413,0.642
14414,0.529
14415,0.493
14421,0.718
14422,0.686
14423,0.632
14424,0.518
14425,0.482
14431,0.686
14432,0.654
14433,0.6
14434,0.486
14435,0.45
14441,0.627
14442,0.594
14443,0.54
14444,0.427
14445,0.391
14451,0.53
14452,0.497
14453,0.443
14454,0.329
14455,0.296
14511,0.727
14512,0.694
14513,0.64
14514,0.527
14515,0.493
14521,0.716
14522,0.684
14523,0.629
14524,0.516
14525,0.482
14531,0.684
14532,0.652
14533,0.597
14534,0.484
14535,0.45
14541,0.625
14542,0.592
14543,0.538
14544,0.424
14545,0.391
14551,0.53
14552,0.497
14553,0.443
14554,0.329
14555,0.296
15111,0.891
15112,0.858
15113,0.804
15114,0.691
15115,0.657
15121,0.88
15122,0.848
15123,0.793
15124,0.68
15125,0.646
15131,0.848
15132,0.816
15133,0.761
15134,0.648
15135,0.614
15141,0.788
15142,0.756
15143,0.702
15144,0.588
15145,0.554
15151,0.693
15152,0.661
15153,0.607
15154,0.493
15155,0.46
15211,0.836
15212,0.803
15213,0.749
15214,0.636
15215,0.602
15221,0.825
15222,0.793
15223,0.738
15224,0.625
15225,0.591
15231,0.793
15232,0.761
15233,0.706
15234,0.593
15235,0.559
15241,0.734
15242,0.701
15243,0.647
15244,0.533
15245,0.5
15251,0.639
15252,0.606
15253,0.552
15254,0.438
15255,0.405
15311,0.777
15312,0.744
15313,0.69
15314,0.576
15315,0.543
15321,0.766
15322,0.733
15323,0.679
15324,0.566
15325,0.532
15331,0.734
15332,0.701
15333,0.647
15334,0.534
15335,0.5
15341,0.674
15342,0.642
15343,0.587
15344,0.474
15345,0.44
15351,0.579
15352,0.547
15353,0.492
15354,0.379
15355,0.345
15411,0.727
15412,0.694
15413,0.64
15414,0.527
15415,0.493
15421,0.716
15422,0.684
15423,0.629
15424,0.516
15425,0.482
15431,0.684
15432,0.652
15433,0.597
15434,0.484
15435,0.45
15441,0.625
15442,0.592
15443,0.538
15444,0.424
15445,0.391
15451,0.53
15452,0.497
15453,0.443
15454,0.329
15455,0.296
15511,0.727
15512,0.694
15513,0.64
15514,0.527
15515,0.493
15521,0.716
15522,0.684
15523,0.629
15524,0.516
15525,0.482
15531,0.684
15532,0.652
15533,0.597
15534,0.484
15535,0.45
15541,0.625
15542,0.592
15543,0.538
15544,0.424
15545,0.391
15551,0.53
15552,0.497
15553,0.443
15554,0.329
15555,0.296
21111,0.947
21112,0.914
21113,0.86
21114,0.747
21115,0.711
21121,0.936
21122,0.904
21123,0.849
21124,0.736
21125,0.7
21131,0.904
21132,0.872
21133,0.817
21134,0.704
21135,0.668
21141,0.844
21142,0.812
21143,0.758
21144,0.644
21145,0.608
21151,0.747
21152,0.715
21153,0.66
21154,0.547
21155,0.513
21211,0.892
21212,0.859
21213,0.805
21214,0.692
21215,0.656
21221,0.881
21222,0.849
21223,0.794
21224,0.681
21225,0.645
21231,0.849
21232,0.817
21233,0.762
21234,0.649
21235,0.613
21241,0.789
21242,0.757
21243,0.703
21244,0.589
21245,0.553
21251,0.692
21252,0.66
21253,0.605
21254,0.492
21255,0.458
21311,0.833
21312,0.8
21313,0.746
21314,0.632
21315,0.596
21321,0.822
21322,0.789
21323,0.735
21324,0.622
21325,0.586
21331,0.79
21332,0.757
21333,0.703
21334,0.59
21335,0.553
21341,0.73
21342,0.698
21343,0.643
21344,0.53
21345,0.494
21351,0.633
21352,0.6
21353,0.546
21354,0.433
21355,0.399
21411,0.783
21412,0.75
21413,0.696
21414,0.583
21415,0.547
21421,0.772
21422,0.74
21423,0.685
21424,0.572
21425,0.536
21431,0.74
21432,0.708
21433,0.653
21434,0.54
21435,0.504
21441,0.68
21442,0.648
21443,0.594
21444,0.48
21445,0.444
21451,0.583
21452,0.551
21453,0.496
21454,0.383
21455,0.349
21511,0.781
21512,0.748
21513,0.694
21514,0.58
21515,0.547
21521,0.77
21522,0.737
21523,0.683
21524,0.57
21525,0.536
21531,0.738
21532,0.705
21533,0.651
21534,0.538
21535,0.504
21541,0.678
21542,0.646
21543,0.591
21544,0.478
21545,0.444
21551,0.583
21552,0.551
21553,0.496
21554,0.383
21555,0.349
22111,0.921
22112,0.889
22113,0.835
22114,0.721
22115,0.685
22121,0.911
22122,0.878
22123,0.824
22124,0.71
22125,0.674
22131,0.879
22132,0.846
22133,0.792
22134,0.678
22135,0.642
22141,0.819
22142,0.786
22143,0.732
22144,0.619
22145,0.583
22151,0.722
22152,0.689
22153,0.635
22154,0.522
22155,0.488
22211,0.867
22212,0.834
22213,0.78
22214,0.666
22215,0.63
22221,0.856
22222,0.823
22223,0.769
22224,0.656
22225,0.62
22231,0.824
22232,0.791
22233,0.737
22234,0.624
22235,0.588
22241,0.764
22242,0.732
22243,0.677
22244,0.564
22245,0.528
22251,0.667
22252,0.634
22253,0.58
22254,0.467
22255,0.433
22311,0.807
22312,0.775
22313,0.72
22314,0.607
22315,0.571
22321,0.796
22322,0.764
22323,0.71
22324,0.596
22325,0.56
22331,0.764
22332,0.732
22333,0.677
22334,0.564
22335,0.528
22341,0.705
22342,0.672
22343,0.618
22344,0.505
22345,0.469
22351,0.607
22352,0.575
22353,0.521
22354,0.407
22355,0.374
22411,0.758
22412,0.725
22413,0.671
22414,0.557
22415,0.521
22421,0.747
22422,0.714
22423,0.66
22424,0.547
22425,0.511
22431,0.715
22432,0.682
22433,0.628
22434,0.515
22435,0.479
22441,0.655
22442,0.623
22443,0.568
22444,0.455
22445,0.419
22451,0.558
22452,0.525
22453,0.471
22454,0.358
22455,0.324
22511,0.755
22512,0.723
22513,0.668
22514,0.555
22515,0.521
22521,0.744
22522,0.712
22523,0.658
22524,0.544
22525,0.511
22531,0.712
22532,0.68
22533,0.626
22534,0.512
22535,0.479
22541,0.653
22542,0.62
22543,0.566
22544,0.453
22545,0.419
22551,0.558
22552,0.525
22553,0.471
22554,0.358
22555,0.324
23111,0.865
23112,0.833
23113,0.778
23114,0.665
23115,0.629
23121,0.854
23122,0.822
23123,0.768
23124,0.654
23125,0.618
23131,0.822
23132,0.79
23133,0.736
23134,0.622
23135,0.586
23141,0.763
23142,0.73
23143,0.676
23144,0.562
23145,0.527
23151,0.665
23152,0.633
23153,0.579
23154,0.465
23155,0.432
23211,0.81
23212,0.778
23213,0.723
23214,0.61
23215,0.574
23221,0.799
23222,0.767
23223,0.713
23224,0.599
23225,0.563
23231,0.767
23232,0.735
23233,0.681
23234,0.567
23235,0.531
23241,0.708
23242,0.675
23243,0.621
23244,0.508
23245,0.472
23251,0.611
23252,0.578
23253,0.524
23254,0.41
23255,0.377
23311,0.751
23312,0.718
23313,0.664
23314,0.551
23315,0.515
23321,0.74
23322,0.708
23323,0.653
23324,0.54
23325,0.504
23331,0.708
23332,0.675
23333,0.621
23334,0.508
23335,0.472
23341,0.648
23342,0.616
23343,0.562
23344,0.448
23345,0.412
23351,0.551
23352,0.519
23353,0.464
23354,0.351
23355,0.317
23411,0.701
23412,0.669
23413,0.614
23414,0.501
23415,0.465
23421,0.69
23422,0.658
23423,0.604
23424,0.49
23425,0.454
23431,0.658
23432,0.626
23433,0.572
23434,0.458
23435,0.422
23441,0.599
23442,0.566
23443,0.512
23444,0.399
23445,0.363
23451,0.502
23452,0.469
23453,0.415
23454,0.301
23455,0.268
23511,0.699
23512,0.666
23513,0.612
23514,0.499
23515,0.465
23521,0.688
23522,0.656
23523,0.601
23524,0.488
23525,0.454
23531,0.656
23532,0.624
23533,0.569
23534,0.456
23535,0.422
23541,0.597
23542,0.564
23543,0.51
23544,0.396
23545,0.363
23551,0.502
23552,0.469
23553,0.415
23554,0.301
23555,0.268
24111,0.864
24112,0.832
24113,0.778
24114,0.664
24115,0.628
24121,0.854
24122,0.821
24123,0.767
24124,0.653
24125,0.617
24131,0.822
24132,0.789
24133,0.735
24134,0.621
24135,0.585
24141,0.762
24142,0.73
24143,0.675
24144,0.562
24145,0.526
24151,0.665
24152,0.632
24153,0.578
24154,0.464
24155,0.431
24211,0.809
24212,0.777
24213,0.723
24214,0.609
24215,0.573
24221,0.799
24222,0.766
24223,0.712
24224,0.599
24225,0.562
24231,0.767
24232,0.734
24233,0.68
24234,0.567
24235,0.531
24241,0.707
24242,0.675
24243,0.62
24244,0.507
24245,0.471
24251,0.61
24252,0.577
24253,0.523
24254,0.41
24255,0.376
24311,0.75
24312,0.718
24313,0.663
24314,0.55
24315,0.514
24321,0.739
24322,0.707
24323,0.653
24324,0.539
24325,0.503
24331,0.707
24332,0.675
24333,0.621
24334,0.507
24335,0.471
24341,0.648
24342,0.615
24343,0.561
24344,0.448
24345,0.412
24351,0.55
24352,0.518
24353,0.464
24354,0.35
24355,0.317
24411,0.701
24412,0.668
24413,0.614
24414,0.5
24415,0.464
24421,0.69
24422,0.657
24423,0.603
24424,0.49
24425,0.454
24431,0.658
24432,0.625
24433,0.571
24434,0.458
24435,0.422
24441,0.598
24442,0.566
24443,0.511
24444,0.398
24445,0.362
24451,0.501
24452,0.468
24453,0.414
24454,0.301
24455,0.267
24511,0.698
24512,0.666
24513,0.611
24514,0.498
24515,0.464
24521,0.687
24522,0.655
24523,0.601
24524,0.487
24525,0.454
24531,0.655
24532,0.623
24533,0.569
24534,0.455
24535,0.422
24541,0.596
24542,0.563
24543,0.509
24544,0.396
24545,0.362
24551,0.501
24552,0.468
24553,0.414
24554,0.301
24555,0.267
25111,0.862
25112,0.83
25113,0.775
25114,0.662
25115,0.628
25121,0.851
25122,0.819
25123,0.765
25124,0.651
25125,0.617
25131,0.819
25132,0.787
25133,0.733
25134,0.619
25135,0.585
25141,0.76
25142,0.727
25143,0.673
25144,0.559
25145,0.526
25151,0.665
25152,0.632
25153,0.578
25154,0.464
25155,0.431
25211,0.807
25212,0.775
25213,0.72
25214,0.607
25215,0.573
25221,0.796
25222,0.764
25223,0.71
25224,0.596
25225,0.562
25231,0.764
25232,0.732
25233,0.678
25234,0.564
25235,0.531
25241,0.705
25242,0.672
25243,0.618
25244,0.505
25245,0.471
25251,0.61
25252,0.577
25253,0.523
25254,0.41
25255,0.376
25311,0.748
25312,0.715
25313,0.661
25314,0.548
25315,0.514
25321,0.737
25322,0.705
25323,0.65
25324,0.537
25325,0.503
25331,0.705
25332,0.672
25333,0.618
25334,0.505
25335,0.471
25341,0.645
25342,0.613
25343,0.559
25344,0.445
25345,0.412
25351,0.55
25352,0.518
25353,0.464
25354,0.35
25355,0.317
25411,0.698
25412,0.666
25413,0.611
25414,0.498
25415,0.464
25421,0.687
25422,0.655
25423,0.601
25424,0.487
25425,0.454
