"state","value"
11111,1
11112,0.943
11113,0.882
11114,0.641
11115,0.537
11121,0.961
11122,0.904
11123,0.843
11124,0.602
11125,0.498
11131,0.896
11132,0.839
11133,0.778
11134,0.537
11135,0.433
11141,0.605
11142,0.548
11143,0.487
11144,0.246
11145,0.142
11151,0.249
11152,0.192
11153,0.131
11154,-0.11
11155,-0.214
11211,0.952
11212,0.895
11213,0.834
11214,0.593
11215,0.489
11221,0.913
11222,0.856
11223,0.795
11224,0.554
11225,0.45
11231,0.848
11232,0.791
11233,0.73
11234,0.489
11235,0.385
11241,0.557
11242,0.5
11243,0.439
11244,0.198
11245,0.094
11251,0.201
11252,0.144
11253,0.083
11254,-0.158
11255,-0.262
11311,0.909
11312,0.852
11313,0.791
11314,0.55
11315,0.446
11321,0.87
11322,0.813
11323,0.752
11324,0.511
11325,0.407
11331,0.805
11332,0.748
11333,0.687
11334,0.446
11335,0.342
11341,0.514
11342,0.457
11343,0.396
11344,0.155
11345,0.051
11351,0.158
11352,0.101
11353,0.04
11354,-0.201
11355,-0.305
11411,0.797
11412,0.74
11413,0.679
11414,0.438
11415,0.334
11421,0.758
11422,0.701
11423,0.64
11424,0.399
11425,0.295
11431,0.693
11432,0.636
11433,0.575
11434,0.334
11435,0.23
11441,0.402
11442,0.345
11443,0.284
11444,0.043
11445,-0.061
11451,0.046
11452,-0.011
11453,-0.072
11454,-0.313
11455,-0.417
11511,0.783
11512,0.726
11513,0.665
11514,0.424
11515,0.32
11521,0.744
11522,0.687
11523,0.626
11524,0.385
11525,0.281
11531,0.679
11532,0.622
11533,0.561
11534,0.32
11535,0.216
11541,0.388
11542,0.331
11543,0.27
11544,0.029
11545,-0.075
11551,0.032
11552,-0.025
11553,-0.086
11554,-0.327
11555,-0.431
12111,0.952
12112,0.895
12113,0.834
12114,0.593
12115,0.489
12121,0.913
12122,0.856
12123,0.795
12124,0.554
12125,0.45
12131,0.848
12132,0.791
12133,0.73
12134,0.489
12135,0.385
12141,0.557
12142,0.5
12143,0.439
12144,0.198
12145,0.094
12151,0.201
