"state","value"
11111,1
11112,0.98
11113,0.926
11114,0.839
11115,0.736
11121,0.956
11122,0.936
11123,0.882
11124,0.795
11125,0.692
11131,0.872
11132,0.852
11133,0.798
11134,0.711
11135,0.608
11141,0.689
11142,0.669
11143,0.615
11144,0.528
11145,0.425
11151,0.52
11152,0.5
11153,0.446
11154,0.359
11155,0.256
11211,0.989
11212,0.969
11213,0.915
11214,0.828
11215,0.725
11221,0.945
11222,0.925
11223,0.871
11224,0.784
11225,0.681
11231,0.861
11232,0.841
11233,0.787
11234,0.7
11235,0.597
11241,0.678
11242,0.658
11243,0.604
11244,0.517
11245,0.414
11251,0.509
11252,0.489
11253,0.435
11254,0.348
11255,0.245
11311,0.935
11312,0.915
11313,0.861
11314,0.774
11315,0.671
11321,0.891
11322,0.871
11323,0.817
11324,0.73
11325,0.627
11331,0.807
11332,0.787
11333,0.733
11334,0.646
11335,0.543
11341,0.624
11342,0.604
11343,0.55
11344,0.463
11345,0.36
11351,0.455
11352,0.435
11353,0.381
11354,0.294
11355,0.191
11411,0.854
11412,0.834
11413,0.78
11414,0.693
11415,0.59
11421,0.81
11422,0.79
11423,0.736
11424,0.649
11425,0.546
11431,0.726
11432,0.706
11433,0.652
11434,0.565
11435,0.462
11441,0.543
11442,0.523
11443,0.469
11444,0.382
11445,0.279
11451,0.374
11452,0.354
11453,0.3
11454,0.213
11455,0.11
11511,0.781
11512,0.761
11513,0.707
11514,0.62
11515,0.517
11521,0.737
11522,0.717
11523,0.663
11524,0.576
11525,0.473
11531,0.653
11532,0.633
11533,0.579
11534,0.492
11535,0.389
11541,0.47
11542,0.45
11543,0.396
11544,0.309
11545,0.206
11551,0.301
11552,0.281
11553,0.227
11554,0.14
11555,0.037
12111,0.976
12112,0.956
12113,0.902
12114,0.815
12115,0.712
12121,0.932
12122,0.912
12123,0.858
12124,0.771
12125,0.668
12131,0.848
12132,0.828
12133,0.774
12134,0.687
12135,0.584
12141,0.665
12142,0.645
12143,0.591
12144,0.504
12145,0.401
12151,0.496
12152,0.476
12153,0.422
12154,0.335
12155,0.232
12211,0.965
12212,0.945
12213,0.891
12214,0.804
12215,0.701
12221,0.921
12222,0.901
12223,0.847
12224,0.76
12225,0.657
12231,0.837
12232,0.817
