"state","value"
11111,1
11112,0.9363
11113,0.8171
11114,0.6599
11115,0.5788
11121,0.9132
11122,0.8495
11123,0.7303
11124,0.5731
11125,0.492
11131,0.8422
11132,0.7785
11133,0.6593
11134,0.5021
11135,0.421
11141,0.6598
11142,0.5961
11143,0.4769
11144,0.3197
11145,0.2386
11151,0.5466
11152,0.4829
11153,0.3637
11154,0.2065
11155,0.1254
11211,0.9274
11212,0.8637
11213,0.7445
11214,0.5873
11215,0.5062
11221,0.8406
11222,0.7769
11223,0.6577
11224,0.5005
11225,0.4194
11231,0.7696
11232,0.7059
11233,0.5867
11234,0.4295
11235,0.3484
11241,0.5872
11242,0.5235
11243,0.4043
11244,0.2471
11245,0.166
11251,0.474
11252,0.4103
11253,0.2911
11254,0.1339
11255,0.0528
11311,0.8766
11312,0.8129
11313,0.6937
11314,0.5365
11315,0.4554
11321,0.7898
11322,0.7261
11323,0.6069
11324,0.4497
11325,0.3686
11331,0.7188
11332,0.6551
11333,0.5359
11334,0.3787
11335,0.2976
11341,0.5364
11342,0.4727
11343,0.3535
11344,0.1963
11345,0.1152
11351,0.4232
11352,0.3595
11353,0.2403
11354,0.0831
11355,0.002
11411,0.7198
11412,0.6561
11413,0.5369
11414,0.3797
11415,0.2986
11421,0.633
11422,0.5693
11423,0.4501
11424,0.2929
11425,0.2118
11431,0.562
11432,0.4983
11433,0.3791
11434,0.2219
11435,0.1408
11441,0.3796
11442,0.3159
11443,0.1967
11444,0.0395
11445,-0.0416
11451,0.2664
11452,0.2027
11453,0.0835
11454,-0.0737
11455,-0.1548
11511,0.6495
11512,0.5858
11513,0.4666
11514,0.3094
11515,0.2283
11521,0.5627
11522,0.499
11523,0.3798
11524,0.2226
11525,0.1415
11531,0.4917
11532,0.428
11533,0.3088
11534,0.1516
11535,0.0705
11541,0.3093
11542,0.2456
11543,0.1264
11544,-0.0308
11545,-0.1119
11551,0.1961
11552,0.1324
11553,0.0132
11554,-0.144
11555,-0.2251
12111,0.9243
12112,0.8606
12113,0.7414
12114,0.5842
12115,0.5031
12121,0.8375
12122,0.7738
12123,0.6546
12124,0.4974
12125,0.4163
12131,0.7665
12132,0.7028
12133,0.5836
12134,0.4264
12135,0.3453
12141,0.5841
12142,0.5204
12143,0.4012
12144,0.244
12145,0.1629
12151,0.4709
12152,0.4072
12153,0.288
12154,0.1308
12155,0.0497
12211,0.8517
12212,0.788
12213,0.6688
12214,0.5116
12215,0.4305
12221,0.7649
12222,0.7012
12223,0.582
12224,0.4248
12225,0.3437
12231,0.6939
12232,0.6302
12233,0.511
12234,0.3538
12235,0.2727
12241,0.5115
12242,0.4478
12243,0.3286
12244,0.1714
12245,0.0903
12251,0.3983
12252,0.3346
12253,0.2154
12254,0.0582
12255,-0.0229
12311,0.8009
12312,0.7372
12313,0.618
12314,0.4608
12315,0.3797
12321,0.7141
12322,0.6504
12323,0.5312
12324,0.374
12325,0.2929
12331,0.6431
12332,0.5794
12333,0.4602
12334,0.303
12335,0.2219
12341,0.4607
12342,0.397
12343,0.2778
12344,0.1206
12345,0.0395
12351,0.3475
12352,0.2838
12353,0.1646
12354,0.0074
12355,-0.0737
12411,0.6441
12412,0.5804
12413,0.4612
12414,0.304
12415,0.2229
12421,0.5573
12422,0.4936
12423,0.3744
12424,0.2172
12425,0.1361
12431,0.4863
12432,0.4226
12433,0.3034
12434,0.1462
12435,0.0651
12441,0.3039
12442,0.2402
12443,0.121
12444,-0.0362
12445,-0.1173
12451,0.1907
12452,0.127
12453,0.0078
12454,-0.1494
12455,-0.2305
12511,0.5738
12512,0.5101
12513,0.3909
12514,0.2337
12515,0.1526
12521,0.487
12522,0.4233
12523,0.3041
12524,0.1469
12525,0.0658
12531,0.416
12532,0.3523
12533,0.2331
12534,0.0759
12535,-0.0052
12541,0.2336
12542,0.1699
12543,0.0507
12544,-0.1065
12545,-0.1876
12551,0.1204
12552,0.0567
12553,-0.0625
12554,-0.2197
12555,-0.3008
13111,0.8678
13112,0.8041
13113,0.6849
13114,0.5277
13115,0.4466
13121,0.781
13122,0.7173
13123,0.5981
13124,0.4409
13125,0.3598
13131,0.71
13132,0.6463
13133,0.5271
13134,0.3699
13135,0.2888
13141,0.5276
13142,0.4639
13143,0.3447
13144,0.1875
13145,0.1064
13151,0.4144
13152,0.3507
13153,0.2315
13154,0.0743
13155,-0.0068
13211,0.7952
13212,0.7315
13213,0.6123
13214,0.4551
13215,0.374
13221,0.7084
13222,0.6447
13223,0.5255
13224,0.3683
13225,0.2872
13231,0.6374
13232,0.5737
13233,0.4545
13234,0.2973
13235,0.2162
13241,0.455
13242,0.3913
13243,0.2721
13244,0.1149
13245,0.0338
13251,0.3418
13252,0.2781
13253,0.1589
13254,0.0017
13255,-0.0794
13311,0.7444
13312,0.6807
13313,0.5615
13314,0.4043
13315,0.3232
13321,0.6576
13322,0.5939
13323,0.4747
13324,0.3175
13325,0.2364
13331,0.5866
13332,0.5229
13333,0.4037
