"state","value"
11111,1
11112,0.95
11113,0.873
11114,0.765
11115,0.718
11121,0.918
11122,0.868
11123,0.791
11124,0.683
11125,0.636
11131,0.862
11132,0.812
11133,0.735
11134,0.627
11135,0.58
11141,0.42
11142,0.37
11143,0.293
11144,0.185
11145,0.138
11151,0.202
11152,0.152
11153,0.075
11154,-0.033
11155,-0.08
11211,0.94
11212,0.89
11213,0.813
11214,0.705
11215,0.658
11221,0.858
11222,0.808
11223,0.731
11224,0.623
11225,0.576
11231,0.802
11232,0.752
11233,0.675
11234,0.567
11235,0.52
11241,0.36
11242,0.31
11243,0.233
11244,0.125
11245,0.078
11251,0.142
11252,0.092
11253,0.015
11254,-0.093
11255,-0.14
11311,0.919
11312,0.869
11313,0.792
11314,0.684
11315,0.637
11321,0.837
11322,0.787
11323,0.71
11324,0.602
11325,0.555
11331,0.781
11332,0.731
11333,0.654
11334,0.546
11335,0.499
11341,0.339
11342,0.289
11343,0.212
11344,0.104
11345,0.057
11351,0.121
11352,0.071
11353,-0.006
11354,-0.114
11355,-0.161
11411,0.757
11412,0.707
11413,0.63
11414,0.522
11415,0.475
11421,0.675
11422,0.625
11423,0.548
11424,0.44
11425,0.393
11431,0.619
11432,0.569
11433,0.492
11434,0.384
11435,0.337
11441,0.177
11442,0.127
11443,0.05
11444,-0.058
11445,-0.105
11451,-0.041
11452,-0.091
11453,-0.168
11454,-0.276
11455,-0.323
11511,0.694
11512,0.644
11513,0.567
11514,0.459
11515,0.412
11521,0.612
11522,0.562
11523,0.485
11524,0.377
11525,0.33
11531,0.556
11532,0.506
11533,0.429
11534,0.321
11535,0.274
11541,0.114
11542,0.064
11543,-0.013
11544,-0.121
11545,-0.168
11551,-0.104
11552,-0.154
11553,-0.231
11554,-0.339
11555,-0.386
12111,0.932
12112,0.882
12113,0.805
12114,0.697
12115,0.65
12121,0.85
12122,0.8
12123,0.723
12124,0.615
12125,0.568
12131,0.794
12132,0.744
12133,0.667
12134,0.559
12135,0.512
12141,0.352
12142,0.302
12143,0.225
12144,0.117
12145,0.07
12151,0.134
12152,0.084
12153,0.007
12154,-0.101
12155,-0.148
12211,0.872
12212,0.822
12213,0.745
12214,0.637
12215,0.59
12221,0.79
12222,0.74
12223,0.663
12224,0.555
12225,0.508
12231,0.734
12232,0.684
12233,0.607
12234,0.499
12235,0.452
12241,0.292
12242,0.242
12243,0.165
12244,0.057
12245,0.01
12251,0.074
12252,0.024
12253,-0.053
12254,-0.161
12255,-0.208
12311,0.851
12312,0.801
12313,0.724
12314,0.616
12315,0.569
12321,0.769
12322,0.719
12323,0.642
12324,0.534
12325,0.487
12331,0.713
12332,0.663
12333,0.586
12334,0.478
12335,0.431
12341,0.271
12342,0.221
12343,0.144
12344,0.036
12345,-0.011
12351,0.053
12352,0.003
12353,-0.074
12354,-0.182
12355,-0.229
12411,0.689
12412,0.639
12413,0.562
12414,0.454
12415,0.407
12421,0.607
12422,0.557
12423,0.48
12424,0.372
12425,0.325
12431,0.551
12432,0.501
12433,0.424
12434,0.316
12435,0.269
12441,0.109
12442,0.059
12443,-0.018
12444,-0.126
12445,-0.173
12451,-0.109
12452,-0.159
12453,-0.236
12454,-0.344
12455,-0.391
12511,0.626
12512,0.576
12513,0.499
12514,0.391
12515,0.344
12521,0.544
12522,0.494
12523,0.417
12524,0.309
12525,0.262
12531,0.488
12532,0.438
12533,0.361
12534,0.253
12535,0.206
12541,0.046
12542,-0.004
12543,-0.081
12544,-0.189
12545,-0.236
12551,-0.172
12552,-0.222
12553,-0.299
12554,-0.407
12555,-0.454
13111,0.89
13112,0.84
13113,0.763
13114,0.655
13115,0.608
13121,0.808
13122,0.758
13123,0.681
13124,0.573
13125,0.526
13131,0.752
13132,0.702
13133,0.625
13134,0.517
13135,0.47
13141,0.31
13142,0.26
13143,0.183
13144,0.075
13145,0.028
13151,0.092
13152,0.042
13153,-0.035
13154,-0.143
13155,-0.19
13211,0.83
13212,0.78
13213,0.703
13214,0.595
13215,0.548
13221,0.748
13222,0.698
13223,0.621
13224,0.513
13225,0.466
13231,0.692
13232,0.642
13233,0.565
13234,0.457
13235,0.41
13241,0.25
13242,0.2
13243,0.123
13244,0.015
13245,-0.032
13251,0.032
13252,-0.018
13253,-0.095
13254,-0.203
13255,-0.25
13311,0.809
13312,0.759
13313,0.682
13314,0.574
13315,0.527
13321,0.727
13322,0.677
13323,0.6
13324,0.492
13325,0.445
13331,0.671
13332,0.621
13333,0.544
13334,0.436
13335,0.389
13341,0.229
13342,0.179
13343,0.102
13344,-0.006
13345,-0.053
13351,0.011
13352,-0.039
13353,-0.116
13354,-0.224
13355,-0.271
13411,0.647
13412,0.597
13413,0.52
13414,0.412
13415,0.365
13421,0.565
13422,0.515
13423,0.438
13424,0.33
13425,0.283
13431,0.509
13432,0.459
13433,0.382
13434,0.274
13435,0.227
13441,0.067
13442,0.017
13443,-0.06
13444,-0.168
13445,-0.215
13451,-0.151
13452,-0.201
13453,-0.278
13454,-0.386
13455,-0.433
13511,0.584
13512,0.534
13513,0.457
13514,0.349
13515,0.302
13521,0.502
13522,0.452
13523,0.375
13524,0.267
13525,0.22
13531,0.446
13532,0.396
13533,0.319
13534,0.211
13535,0.164
13541,0.004
13542,-0.046
13543,-0.123
13544,-0.231
13545,-0.278
13551,-0.214
13552,-0.264
13553,-0.341
13554,-0.449
13555,-0.496
14111,0.76
14112,0.71
14113,0.633
14114,0.525
14115,0.478
14121,0.678
14122,0.628
14123,0.551
14124,0.443
14125,0.396
14131,0.622
14132,0.572
14133,0.495
14134,0.387
14135,0.34
14141,0.18
14142,0.13
14143,0.053
14144,-0.055
14145,-0.102
14151,-0.038
14152,-0.088
14153,-0.165
14154,-0.273
14155,-0.32
14211,0.7
14212,0.65
14213,0.573
14214,0.465
14215,0.418
14221,0.618
14222,0.568
14223,0.491
14224,0.383
14225,0.336
14231,0.562
14232,0.512
14233,0.435
14234,0.327
14235,0.28
14241,0.12
14242,0.07
14243,-0.007
14244,-0.115
14245,-0.162
14251,-0.098
14252,-0.148
14253,-0.225
14254,-0.333
14255,-0.38
14311,0.679
14312,0.629
14313,0.552
14314,0.444
14315,0.397
14321,0.597
14322,0.547
14323,0.47
14324,0.362
14325,0.315
14331,0.541
14332,0.491
14333,0.414
14334,0.306
14335,0.259
14341,0.099
14342,0.049
14343,-0.028
14344,-0.136
14345,-0.183
14351,-0.119
14352,-0.169
14353,-0.246
14354,-0.354
14355,-0.401
14411,0.517
14412,0.467
14413,0.39
14414,0.282
14415,0.235
14421,0.435
14422,0.385
14423,0.308
14424,0.2
14425,0.153
14431,0.379
14432,0.329
14433,0.252
14434,0.144
14435,0.097
14441,-0.063
14442,-0.113
