"state","value"
11111,1
11112,0.9779586
11113,0.9439009
11114,0.8831711
11115,0.8103494
11121,0.970333
11122,0.9608548
11123,0.9267971
11124,0.8660673
11125,0.7932456
11131,0.9266976
11132,0.9172194
11133,0.8831617
11134,0.8224319
11135,0.7496102
11141,0.8003896
11142,0.7909114
11143,0.7568537
11144,0.6961239
11145,0.6233022
11151,0.7169154
11152,0.7074372
11153,0.6733795
11154,0.6126497
11155,0.539828
11211,0.9450237
11212,0.9355455
11213,0.9014878
11214,0.840758
11215,0.7679363
11221,0.9279199
11222,0.9184417
11223,0.884384
11224,0.8236542
11225,0.7508325
11231,0.8842845
11232,0.8748063
11233,0.8407486
11234,0.7800188
11235,0.7071971
11241,0.7579765
11242,0.7484983
11243,0.7144406
11244,0.6537108
11245,0.5808891
11251,0.6745023
11252,0.6650241
11253,0.6309664
11254,0.5702366
11255,0.4974149
11311,0.9419155
11312,0.9324373
11313,0.8983796
11314,0.8376498
11315,0.7648281
11321,0.9248117
11322,0.9153335
11323,0.8812758
11324,0.820546
11325,0.7477243
11331,0.8811763
11332,0.8716981
11333,0.8376404
11334,0.7769106
11335,0.7040889
11341,0.7548683
11342,0.7453901
11343,0.7113324
11344,0.6506026
11345,0.5777809
11351,0.6713941
11352,0.6619159
11353,0.6278582
11354,0.5671284
11355,0.4943067
11411,0.8691815
11412,0.8597033
11413,0.8256456
11414,0.7649158
11415,0.6920941
11421,0.8520777
11422,0.8425995
11423,0.8085418
11424,0.747812
11425,0.6749903
11431,0.8084423
11432,0.7989641
11433,0.7649064
11434,0.7041766
11435,0.6313549
11441,0.6821343
11442,0.6726561
11443,0.6385984
11444,0.5778686
11445,0.5050469
11451,0.5986601
11452,0.5891819
11453,0.5551242
11454,0.4943944
11455,0.4215727
11511,0.7559379
11512,0.7464597
11513,0.712402
11514,0.6516722
11515,0.5788505
11521,0.7388341
11522,0.7293559
11523,0.6952982
11524,0.6345684
11525,0.5617467
11531,0.6951987
11532,0.6857205
11533,0.6516628
11534,0.590933
11535,0.5181113
11541,0.5688907
