"state","value"
11111,1
11112,0.9362
11113,0.8874
11114,0.8287
11115,0.7612
11121,0.9161
11122,0.8523
11123,0.8035
11124,0.7448
11125,0.6773
11131,0.8479
11132,0.7841
11133,0.7353
11134,0.6766
11135,0.6091
11141,0.73
11142,0.6662
11143,0.6174
11144,0.5587
11145,0.4912
11151,0.6334
11152,0.5696
11153,0.5208
11154,0.4621
11155,0.3946
11211,0.9536
11212,0.8898
11213,0.841
11214,0.7823
11215,0.7148
11221,0.8697
11222,0.8059
11223,0.7571
11224,0.6984
11225,0.6309
11231,0.8015
11232,0.7377
11233,0.6889
11234,0.6302
11235,0.5627
11241,0.6836
11242,0.6198
11243,0.571
11244,0.5123
11245,0.4448
11251,0.587
11252,0.5232
11253,0.4744
11254,0.4157
11255,0.3482
11311,0.9413
11312,0.8775
11313,0.8287
11314,0.77
11315,0.7025
11321,0.8574
11322,0.7936
11323,0.7448
11324,0.6861
11325,0.6186
11331,0.7892
11332,0.7254
11333,0.6766
11334,0.6179
11335,0.5504
11341,0.6713
11342,0.6075
11343,0.5587
11344,0.5
11345,0.4325
11351,0.5747
11352,0.5109
11353,0.4621
11354,0.4034
11355,0.3359
11411,0.8265
11412,0.7627
11413,0.7139
11414,0.6552
11415,0.5877
11421,0.7426
11422,0.6788
11423,0.63
11424,0.5713
11425,0.5038
11431,0.6744
11432,0.6106
11433,0.5618
11434,0.5031
11435,0.4356
11441,0.5565
11442,0.4927
11443,0.4439
11444,0.3852
11445,0.3177
11451,0.4599
11452,0.3961
11453,0.3473
11454,0.2886
11455,0.2211
11511,0.7011
11512,0.6373
11513,0.5885
11514,0.5298
11515,0.4623
11521,0.6172
11522,0.5534
11523,0.5046
11524,0.4459
11525,0.3784
11531,0.549
11532,0.4852
11533,0.4364
11534,0.3777
11535,0.3102
11541,0.4311
11542,0.3673
11543,0.3185
11544,0.2598
11545,0.1923
11551,0.3345
11552,0.2707
11553,0.2219
11554,0.1632
11555,0.0957
12111,0.9572
12112,0.8934
12113,0.8446
12114,0.7859
12115,0.7184
12121,0.8733
12122,0.8095
12123,0.7607
12124,0.702
12125,0.6345
12131,0.8051
12132,0.7413
12133,0.6925
12134,0.6338
12135,0.5663
12141,0.6872
12142,0.6234
12143,0.5746
12144,0.5159
12145,0.4484
12151,0.5906
12152,0.5268
12153,0.478
12154,0.4193
12155,0.3518
12211,0.9108
12212,0.847
12213,0.7982
12214,0.7395
12215,0.672
12221,0.8269
12222,0.7631
12223,0.7143
12224,0.6556
12225,0.5881
12231,0.7587
12232,0.6949
12233,0.6461
12234,0.5874
12235,0.5199
12241,0.6408
12242,0.577
12243,0.5282
12244,0.4695
12245,0.402
12251,0.5442
12252,0.4804
12253,0.4316
12254,0.3729
12255,0.3054
12311,0.8985
12312,0.8347
12313,0.7859
12314,0.7272
12315,0.6597
12321,0.8146
12322,0.7508
12323,0.702
12324,0.6433
12325,0.5758
12331,0.7464
12332,0.6826
12333,0.6338
12334,0.5751
12335,0.5076
12341,0.6285
12342,0.5647
12343,0.5159
12344,0.4572
12345,0.3897
12351,0.5319
12352,0.4681
12353,0.4193
12354,0.3606
12355,0.2931
12411,0.7837
12412,0.7199
12413,0.6711
12414,0.6124
12415,0.5449
12421,0.6998
12422,0.636
12423,0.5872
12424,0.5285
12425,0.461
12431,0.6316
12432,0.5678
12433,0.519
12434,0.4603
12435,0.3928
12441,0.5137
12442,0.4499
12443,0.4011
12444,0.3424
12445,0.2749
12451,0.4171
12452,0.3533
12453,0.3045
12454,0.2458
12455,0.1783
12511,0.6583
12512,0.5945
12513,0.5457
12514,0.487
12515,0.4195
12521,0.5744
12522,0.5106
12523,0.4618
12524,0.4031
12525,0.3356
12531,0.5062
12532,0.4424
12533,0.3936
12534,0.3349
12535,0.2674
12541,0.3883
12542,0.3245
12543,0.2757
12544,0.217
12545,0.1495
12551,0.2917
12552,0.2279
12553,0.1791
12554,0.1204
12555,0.0529
13111,0.954
13112,0.8902
13113,0.8414
13114,0.7827
13115,0.7152
13121,0.8701
13122,0.8063
13123,0.7575
13124,0.6988
13125,0.6313
13131,0.8019
13132,0.7381
13133,0.6893
13134,0.6306
13135,0.5631
13141,0.684
13142,0.6202
13143,0.5714
13144,0.5127
13145,0.4452
13151,0.5874
13152,0.5236
13153,0.4748
13154,0.4161
13155,0.3486
13211,0.9076
13212,0.8438
13213,0.795
13214,0.7363
13215,0.6688
13221,0.8237
13222,0.7599
13223,0.7111
13224,0.6524
13225,0.5849
13231,0.7555
13232,0.6917
13233,0.6429
13234,0.5842
13235,0.5167
13241,0.6376
13242,0.5738
13243,0.525
13244,0.4663
13245,0.3988
13251,0.541
13252,0.4772
13253,0.4284
13254,0.3697
13255,0.3022
13311,0.8953
13312,0.8315
13313,0.7827
13314,0.724
13315,0.6565
13321,0.8114
13322,0.7476
13323,0.6988
13324,0.6401
13325,0.5726
13331,0.7432
13332,0.6794
13333,0.6306
13334,0.5719
13335,0.5044
13341,0.6253
13342,0.5615
13343,0.5127
13344,0.454
13345,0.3865
13351,0.5287
13352,0.4649
13353,0.4161
13354,0.3574
13355,0.2899
13411,0.7805
13412,0.7167
13413,0.6679
13414,0.6092
13415,0.5417
13421,0.6966
13422,0.6328
13423,0.584
13424,0.5253
13425,0.4578
13431,0.6284
13432,0.5646
13433,0.5158
13434,0.4571
13435,0.3896
13441,0.5105
13442,0.4467
13443,0.3979
13444,0.3392
13445,0.2717
13451,0.4139
13452,0.3501
13453,0.3013
13454,0.2426
13455,0.1751
13511,0.6551
13512,0.5913
13513,0.5425
13514,0.4838
13515,0.4163
13521,0.5712
13522,0.5074
13523,0.4586
13524,0.3999
13525,0.3324
13531,0.503
13532,0.4392
13533,0.3904
13534,0.3317
13535,0.2642
13541,0.3851
13542,0.3213
13543,0.2725
13544,0.2138
13545,0.1463
13551,0.2885
13552,0.2247
13553,0.1759
13554,0.1172
13555,0.0497
14111,0.853
14112,0.7892
14113,0.7404
14114,0.6817
14115,0.6142
14121,0.7691
14122,0.7053
14123,0.6565
14124,0.5978
14125,0.5303
14131,0.7009
14132,0.6371
14133,0.5883
14134,0.5296
14135,0.4621
14141,0.583
14142,0.5192
14143,0.4704
14144,0.4117
14145,0.3442
14151,0.4864
14152,0.4226
14153,0.3738
14154,0.3151
14155,0.2476
14211,0.8066
14212,0.7428
14213,0.694
14214,0.6353
14215,0.5678
14221,0.7227
14222,0.6589
14223,0.6101
14224,0.5514
14225,0.4839
14231,0.6545
14232,0.5907
14233,0.5419
14234,0.4832
14235,0.4157
14241,0.5366
14242,0.4728
14243,0.424
14244,0.3653
14245,0.2978
14251,0.44
14252,0.3762
14253,0.3274
14254,0.2687
14255,0.2012
14311,0.7943
14312,0.7305
14313,0.6817
14314,0.623
14315,0.5555
14321,0.7104
14322,0.6466
14323,0.5978
14324,0.5391
14325,0.4716
14331,0.6422
14332,0.5784
14333,0.5296
14334,0.4709
14335,0.4034
14341,0.5243
14342,0.4605
14343,0.4117
14344,0.353
14345,0.2855
14351,0.4277
14352,0.3639
14353,0.3151
14354,0.2564
14355,0.1889
14411,0.6795
14412,0.6157
14413,0.5669
14414,0.5082
14415,0.4407
14421,0.5956
14422,0.5318
14423,0.483
14424,0.4243
14425,0.3568
14431,0.5274
14432,0.4636
14433,0.4148
14434,0.3561
14435,0.2886
14441,0.4095
14442,0.3457
14443,0.2969
14444,0.2382
14445,0.1707
14451,0.3129
14452,0.2491
14453,0.2003
14454,0.1416
14455,0.0741
14511,0.5541
14512,0.4903
14513,0.4415
14514,0.3828
14515,0.3153
14521,0.4702
14522,0.4064
14523,0.3576
14524,0.2989
14525,0.2314
14531,0.402
14532,0.3382
14533,0.2894
14534,0.2307
14535,0.1632
14541,0.2841
14542,0.2203
14543,0.1715
14544,0.1128
14545,0.0453
14551,0.1875
14552,0.1237
14553,0.0749
14554,0.0162
14555,-0.0513
15111,0.7689
15112,0.7051
15113,0.6563
15114,0.5976
15115,0.5301
15121,0.685
15122,0.6212
15123,0.5724
15124,0.5137
15125,0.4462
15131,0.6168
15132,0.553
15133,0.5042
15134,0.4455
15135,0.378
15141,0.4989
15142,0.4351
15143,0.3863
15144,0.3276
15145,0.2601
15151,0.4023
15152,0.3385
15153,0.2897
15154,0.231
15155,0.1635
15211,0.7225
15212,0.6587
15213,0.6099
15214,0.5512
15215,0.4837
15221,0.6386
15222,0.5748
15223,0.526
15224,0.4673
15225,0.3998
15231,0.5704
15232,0.5066
15233,0.4578
15234,0.3991
15235,0.3316
15241,0.4525
15242,0.3887
15243,0.3399
15244,0.2812
15245,0.2137
15251,0.3559
15252,0.2921
15253,0.2433
15254,0.1846
15255,0.1171
15311,0.7102
15312,0.6464
15313,0.5976
15314,0.5389
15315,0.4714
15321,0.6263
15322,0.5625
15323,0.5137
15324,0.455
15325,0.3875
15331,0.5581
15332,0.4943
15333,0.4455
15334,0.3868
15335,0.3193
15341,0.4402
15342,0.3764
15343,0.3276
15344,0.2689
15345,0.2014
15351,0.3436
15352,0.2798
15353,0.231
15354,0.1723
15355,0.1048
15411,0.5954
15412,0.5316
15413,0.4828
15414,0.4241
15415,0.3566
15421,0.5115
15422,0.4477
15423,0.3989
15424,0.3402
15425,0.2727
15431,0.4433
15432,0.3795
15433,0.3307
15434,0.272
15435,0.2045
15441,0.3254
15442,0.2616
15443,0.2128
15444,0.1541
15445,0.0866
15451,0.2288
15452,0.165
15453,0.1162
15454,0.0575
15455,-0.01
15511,0.47
15512,0.4062
15513,0.3574
15514,0.2987
15515,0.2312
15521,0.3861
15522,0.3223
15523,0.2735
15524,0.2148
15525,0.1473
15531,0.3179
15532,0.2541
15533,0.2053
15534,0.1466
15535,0.0791
15541,0.2
15542,0.1362
15543,0.0874
15544,0.0287
15545,-0.0388
15551,0.1034
15552,0.0396
15553,-0.0092
15554,-0.0679
15555,-0.1354
21111,0.9308
21112,0.867
21113,0.8182
21114,0.7595
21115,0.692
21121,0.8469
21122,0.7831
21123,0.7343
21124,0.6756
21125,0.6081
21131,0.7787
21132,0.7149
21133,0.6661
21134,0.6074
21135,0.5399
21141,0.6608
21142,0.597
21143,0.5482
21144,0.4895
21145,0.422
21151,0.5642
21152,0.5004
21153,0.4516
21154,0.3929
21155,0.3254
21211,0.8844
21212,0.8206
21213,0.7718
21214,0.7131
21215,0.6456
21221,0.8005
21222,0.7367
21223,0.6879
21224,0.6292
21225,0.5617
21231,0.7323
21232,0.6685
21233,0.6197
21234,0.561
21235,0.4935
21241,0.6144
21242,0.5506
21243,0.5018
21244,0.4431
21245,0.3756
21251,0.5178
21252,0.454
21253,0.4052
21254,0.3465
21255,0.279
21311,0.8721
21312,0.8083
21313,0.7595
21314,0.7008
21315,0.6333
21321,0.7882
21322,0.7244
21323,0.6756
21324,0.6169
21325,0.5494
21331,0.72
21332,0.6562
21333,0.6074
21334,0.5487
21335,0.4812
21341,0.6021
21342,0.5383
21343,0.4895
21344,0.4308
21345,0.3633
21351,0.5055
21352,0.4417
21353,0.3929
21354,0.3342
21355,0.2667
21411,0.7573
21412,0.6935
21413,0.6447
21414,0.586
21415,0.5185
21421,0.6734
21422,0.6096
21423,0.5608
21424,0.5021
21425,0.4346
21431,0.6052
21432,0.5414
21433,0.4926
21434,0.4339
21435,0.3664
21441,0.4873
21442,0.4235
21443,0.3747
21444,0.316
21445,0.2485
21451,0.3907
21452,0.3269
21453,0.2781
21454,0.2194
21455,0.1519
21511,0.6319
21512,0.5681
21513,0.5193
21514,0.4606
21515,0.3931
21521,0.548
21522,0.4842
21523,0.4354
21524,0.3767
21525,0.3092
21531,0.4798
21532,0.416
21533,0.3672
21534,0.3085
21535,0.241
21541,0.3619
21542,0.2981
21543,0.2493
21544,0.1906
21545,0.1231
21551,0.2653
21552,0.2015
21553,0.1527
21554,0.094
21555,0.0265
22111,0.888
22112,0.8242
22113,0.7754
22114,0.7167
22115,0.6492
22121,0.8041
22122,0.7403
22123,0.6915
22124,0.6328
22125,0.5653
22131,0.7359
22132,0.6721
22133,0.6233
22134,0.5646
22135,0.4971
22141,0.618
22142,0.5542
22143,0.5054
22144,0.4467
22145,0.3792
22151,0.5214
22152,0.4576
22153,0.4088
22154,0.3501
22155,0.2826
22211,0.8416
22212,0.7778
22213,0.729
22214,0.6703
