Version,Name,Name_short,Country_code,VS_code,doi,citation
5L,Australia,Australia,AU,AU,10.1007/s40273-023-01243-0,"Norman R, Mulhern B, Lancsar E, Lorgelly P, Ratcliffe J, Street D, Viney R. The Use of a Discrete Choice Experiment Including Both Duration and Dead for the Development of an EQ-5D-5L Value Set for Australia. PharmacoEconomics. 2023;41(4):427-438. doi:10.1007/s40273-023-01243-0"
5L,Belgium,Belgium,BE,BE,10.1007/s41669-022-00353-3,"Bouckaert N, Cleemput I, Devriese S, Gerkens S. An EQ-5D-5L Value Set for Belgium. PharmacoEconomics - Open. 2022;6(6):823-836. doi:10.1007/s41669-022-00353-3"
5L,Canada,Canada,CA,CA,10.1097/MLR.0000000000000447,"Xie F, Pullenayegum E, Gaebel K, Bansback N, Bryan S, Ohinmaa A, Poissant L, Johnson JA. A Time Trade-off-derived Value Set of the EQ-5D-5L for Canada. Medical Care. 2016;54(1):98-105. doi:10.1097/MLR.0000000000000447"
5L,China,China,CN,CN_new,10.1016/j.jval.2016.11.015,"Luo N, Liu G, Li M, Guan H, Jin X, Rand-Hendriksen K. Estimating an EQ-5D-5L Value Set for China. Value in Health. 2017;20(4):662-669. doi:10.1016/j.jval.2016.11.016"
5L,China,China,CN,CN_old,10.1016/j.jval.2016.11.016,"Luo N, Liu G, Li M, Guan H, Jin X, Rand-Hendriksen K. Estimating an EQ-5D-5L Value Set for China. Value in Health. 2017;20(4):662-669. doi:10.1016/j.jval.2016.11.017"
5L,Denmark,Denmark,DK,DK,10.1007/s40258-021-00639-3,"Jensen CE, S<U+00F8>rensen SS, Gudex C, Jensen MB, Pedersen KM, Ehlers LH. The Danish EQ-5D-5L Value Set: A Hybrid Model Using cTTO and DCE Data. Applied Health Economics and Health Policy. 2021;19(4):579-591. doi:10.1007/s40258-021-00639-3"
5L,Ethiopia,Ethiopia,ET,ET,10.1016/j.vhri.2019.08.475,"Welie AG, Gebretekle GB, Stolk E, Mukuria C, Krahn MD, Enquoselassie F, Fenta TG. Valuing Health State: An EQ-5D-5L Value Set for Ethiopians. Value in Health Regional Issues. 2020;22(list(list(2020, 9))):7-14. doi:10.1016/j.vhri.2019.08.475"
5L,France,France,FR,FR,10.1007/s40273-019-00876-4,"Andrade LF, Ludwig K, Goni JMR, Oppe M, de Pouvourville G. A French Value Set for the EQ-5D-5L. PharmacoEconomics. 2020;38(4):413-425. doi:10.1007/s40273-019-00876-4"
5L,Germany,Germany,DE,DE,10.1007/s40273-018-0615-8,"Ludwig K, Graf von der Schulenburg J, Greiner W. German Value Set for the EQ-5D-5L. PharmacoEconomics. 2018;36(6):663-674. doi:10.1007/s40273-018-0615-8"
5L,Ghana,Ghana,GH,GH,10.1016/j.vhri.2024.101045,"Addo R, Mulhern B, Norman R, Owusu R, Viney R, Nonvignon J. An EQ-5D-5L Value Set for Ghana Using an Adapted EuroQol Valuation Technology Protocol. Value in Health Regional Issues. 2025;45(list(list(2025, 1))):101045. doi:10.1016/j.vhri.2024.101045"
