"state","value"
11111,1
11112,0.89544697
11113,0.66976333
11121,0.84329491
11122,0.73874188
11123,0.51305824
11131,0.51334121
11132,0.40878818
11133,0.18310454
11211,0.8962254
11212,0.79167237
11213,0.56598873
11221,0.73952031
11222,0.63496728
11223,0.40928364
11231,0.40956661
11232,0.30501358
11233,0.07932994
11311,0.71861661
11312,0.61406358
11313,0.38837994
11321,0.56191152
11322,0.45735849
11323,0.23167485
11331,0.23195782
11332,0.12740479
11333,-0.09827885
12111,0.95419984
12112,0.84964681
12113,0.62396317
12121,0.79749475
12122,0.69294172
12123,0.46725808
12131,0.46754105
12132,0.36298802
12133,0.13730438
12211,0.85042524
12212,0.74587221
12213,0.52018857
12221,0.69372015
12222,0.58916712
12223,0.36348348
12231,0.36376645
12232,0.25921342
12233,0.0335297800000001
12311,0.67281645
12312,0.56826342
12313,0.34257978
12321,0.51611136
12322,0.41155833
12323,0.18587469
12331,0.18615766
12332,0.08160463
12333,-0.14407901
13111,0.82564503
13112,0.721092
13113,0.49540836
13121,0.66893994
13122,0.56438691
13123,0.33870327
13131,0.33898624
13132,0.23443321
13133,0.00874956999999998
13211,0.72187043
13212,0.6173174
13213,0.39163376
13221,0.56516534
13222,0.46061231
13223,0.23492867
13231,0.23521164
13232,0.13065861
13233,-0.09502503
13311,0.54426164
13312,0.43970861
13313,0.21402497
13321,0.38755655
13322,0.28300352
13323,0.05731988
13331,0.05760285
13332,-0.04695018
13333,-0.27263382
21111,0.93572901
21112,0.83117598
21113,0.60549234
21121,0.77902392
21122,0.67447089
21123,0.44878725
21131,0.44907022
21132,0.34451719
21133,0.11883355
21211,0.83195441
21212,0.72740138
21213,0.50171774
21221,0.67524932
21222,0.57069629
21223,0.34501265
21231,0.34529562
21232,0.24074259
21233,0.01505895
21311,0.65434562
21312,0.54979259
21313,0.32410895
21321,0.49764053
21322,0.3930875
21323,0.16740386
21331,0.16768683
21332,0.0631337999999999
21333,-0.16254984
22111,0.88992885
22112,0.78537582
22113,0.55969218
22121,0.73322376
22122,0.62867073
22123,0.40298709
22131,0.40327006
22132,0.29871703
22133,0.07303339
22211,0.78615425
22212,0.68160122
22213,0.45591758
22221,0.62944916
22222,0.52489613
22223,0.29921249
22231,0.29949546
22232,0.19494243
22233,-0.03074121
22311,0.60854546
22312,0.50399243
22313,0.27830879
22321,0.45184037
22322,0.34728734
22323,0.1216037
22331,0.12188667
22332,0.01733364
22333,-0.20835
23111,0.76137404
23112,0.65682101
23113,0.43113737
23121,0.60466895
23122,0.50011592
23123,0.27443228
23131,0.27471525
23132,0.17016222
23133,-0.05552142
23211,0.65759944
23212,0.55304641
23213,0.32736277
23221,0.50089435
23222,0.39634132
23223,0.17065768
23231,0.17094065
23232,0.06638762
23233,-0.15929602
23311,0.47999065
23312,0.37543762
23313,0.14975398
23321,0.32328556
23322,0.21873253
23323,-0.00695111000000004
23331,-0.00666814000000004
23332,-0.11122117
23333,-0.33690481
31111,0.79715833
31112,0.6926053
31113,0.46692166
31121,0.64045324
31122,0.53590021
31123,0.31021657
31131,0.31049954
31132,0.20594651
31133,-0.01973713
31211,0.69338373
31212,0.5888307
31213,0.36314706
31221,0.53667864
31222,0.43212561
31223,0.20644197
31231,0.20672494
31232,0.10217191
31233,-0.12351173
31311,0.51577494
31312,0.41122191
31313,0.18553827
31321,0.35906985
31322,0.25451682
31323,0.02883318
31331,0.02911615
31332,-0.07543688
31333,-0.30112052
32111,0.75135817
32112,0.64680514
32113,0.4211215
32121,0.59465308
32122,0.49010005
32123,0.26441641
32131,0.26469938
32132,0.16014635
32133,-0.06553729
32211,0.64758357
32212,0.54303054
32213,0.3173469
32221,0.49087848
32222,0.38632545
32223,0.16064181
32231,0.16092478
32232,0.0563717500000001
32233,-0.16931189
32311,0.46997478
32312,0.36542175
32313,0.13973811
32321,0.31326969
32322,0.20871666
32323,-0.01696698
32331,-0.01668401
32332,-0.12123704
32333,-0.34692068
33111,0.62280336
33112,0.51825033
33113,0.29256669
33121,0.46609827
33122,0.36154524
33123,0.1358616
33131,0.13614457
33132,0.03159154
33133,-0.1940921
33211,0.51902876
33212,0.41447573
33213,0.18879209
33221,0.36232367
33222,0.25777064
33223,0.0320870000000001
33231,0.0323699700000001
33232,-0.0721830599999999
33233,-0.2978667
33311,0.34141997
33312,0.23686694
33313,0.0111833
33321,0.18471488
33322,0.08016185
33323,-0.14552179
33331,-0.14523882
33332,-0.24979185
33333,-0.47547549
